date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,2.7,2.72,2.69,2.72,2.72,8106300.0,0.0,1.0
2018-07-17,2.72,2.72,2.66,2.7,2.7,14374500.0,0.0,1.0
2018-07-16,2.7,2.72,2.68,2.7,2.7,7263400.0,0.0,1.0
2018-07-13,2.71,2.72,2.69,2.71,2.71,6673900.0,0.0,1.0
2018-07-12,2.71,2.72,2.69,2.72,2.72,8324351.0,0.0,1.0
2018-07-11,2.7,2.71,2.67,2.71,2.71,7969700.0,0.0,1.0
2018-07-10,2.7,2.71,2.68,2.71,2.71,6889000.0,0.0,1.0
2018-07-09,2.68,2.72,2.67,2.71,2.71,12541500.0,0.0,1.0
2018-07-06,2.65,2.67,2.63,2.67,2.67,8608100.0,0.0,1.0
2018-07-05,2.65,2.66,2.63,2.65,2.65,4111500.0,0.0,1.0
2018-07-04,2.64,2.65,2.63,2.64,2.64,8444600.0,0.0,1.0
2018-07-03,2.61,2.66,2.6,2.65,2.65,9932800.0,0.0,1.0
2018-07-02,2.64,2.65,2.61,2.61,2.61,5903100.0,0.0,1.0
2018-06-29,2.65,2.66,2.64,2.64,2.64,9834400.0,0.0,1.0
2018-06-28,2.62,2.65,2.61,2.64,2.64,5280600.0,0.0,1.0
2018-06-27,2.63,2.64,2.61,2.62,2.62,5099200.0,0.0,1.0
2018-06-26,2.59,2.63,2.59,2.62,2.62,6059600.0,0.0,1.0
2018-06-25,2.6,2.6,2.57,2.58,2.58,5948900.0,0.0,1.0
2018-06-22,2.6,2.61,2.59,2.6,2.6,3131700.0,0.0,1.0
2018-06-21,2.61,2.62,2.59,2.61,2.61,3603500.0,0.0,1.0
2018-06-20,2.59,2.63,2.57,2.61,2.61,7844100.0,0.0,1.0
2018-06-19,2.61,2.61,2.58,2.58,2.58,10181600.0,0.0,1.0
2018-06-18,2.58,2.62,2.57,2.61,2.61,15741600.0,0.0,1.0
2018-06-14,2.66,2.66,2.62,2.62,2.62,18846900.0,0.0,1.0
2018-06-13,2.67,2.67,2.65,2.67,2.67,8183500.0,0.0,1.0
2018-06-12,2.67,2.68,2.66,2.66,2.66,6097400.0,0.0,1.0
2018-06-11,2.66,2.67,2.64,2.67,2.67,12199900.0,0.0,1.0
2018-06-08,2.66,2.67,2.65,2.65,2.65,4049700.0,0.0,1.0
2018-06-07,2.67,2.68,2.64,2.67,2.67,8124500.0,0.0,1.0
2018-06-06,2.67,2.68,2.66,2.67,2.67,4242500.0,0.0,1.0
2018-06-05,2.67,2.7,2.66,2.68,2.68,11766200.0,0.0,1.0
2018-06-04,2.66,2.67,2.65,2.67,2.67,4340600.0,0.0,1.0
2018-06-01,2.64,2.67,2.64,2.66,2.66,10776200.0,0.0,1.0
2018-05-31,2.66,2.67,2.64,2.65,2.65,10948500.0,0.0,1.0
