date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,1.74,1.77,1.74,1.76,1.76,12024500.0,0.0,1.0
2018-07-17,1.74,1.74,1.71,1.74,1.74,13549700.0,0.0,1.0
2018-07-16,1.74,1.77,1.73,1.73,1.73,6339000.0,0.0,1.0
2018-07-13,1.75,1.75,1.74,1.75,1.75,2731500.0,0.0,1.0
2018-07-12,1.74,1.76,1.72,1.75,1.75,14270200.0,0.0,1.0
2018-07-11,1.73,1.76,1.71,1.74,1.74,18946800.0,0.0,1.0
2018-07-10,1.73,1.74,1.7,1.74,1.74,13436000.0,0.0,1.0
2018-07-09,1.7,1.75,1.7,1.73,1.73,22942500.0,0.0,1.0
2018-07-06,1.65,1.7,1.65,1.7,1.7,18551100.0,0.0,1.0
2018-07-05,1.66,1.67,1.65,1.67,1.67,8694000.0,0.0,1.0
2018-07-04,1.66,1.67,1.64,1.66,1.66,14301600.0,0.0,1.0
2018-07-03,1.63,1.67,1.62,1.66,1.66,18152100.0,0.0,1.0
2018-07-02,1.66,1.66,1.63,1.63,1.63,16044200.0,0.0,1.0
2018-06-29,1.63,1.67,1.62,1.66,1.66,17479000.0,0.0,1.0
2018-06-28,1.65,1.66,1.63,1.63,1.63,14428600.0,0.0,1.0
2018-06-27,1.65,1.66,1.63,1.65,1.65,10080500.0,0.0,1.0
2018-06-26,1.64,1.67,1.62,1.66,1.66,20782797.0,0.0,1.0
2018-06-25,1.64,1.65,1.62,1.64,1.64,12704200.0,0.0,1.0
2018-06-22,1.64,1.65,1.63,1.64,1.64,4802000.0,0.0,1.0
2018-06-21,1.65,1.65,1.63,1.64,1.64,8037200.0,0.0,1.0
2018-06-20,1.64,1.67,1.63,1.65,1.65,9963200.0,0.0,1.0
2018-06-19,1.63,1.66,1.63,1.64,1.64,13694100.0,0.0,1.0
2018-06-18,1.65,1.65,1.61,1.63,1.63,11489000.0,0.0,1.0
2018-06-14,1.68,1.69,1.64,1.64,1.64,29336400.0,0.0,1.0
2018-06-13,1.7,1.71,1.68,1.69,1.69,8042100.0,0.0,1.0
2018-06-12,1.7,1.71,1.69,1.7,1.7,4526700.0,0.0,1.0
2018-06-11,1.7,1.7,1.68,1.7,1.7,7653200.0,0.0,1.0
2018-06-08,1.71,1.73,1.69,1.7,1.7,8714300.0,0.0,1.0
2018-06-07,1.73,1.73,1.71,1.72,1.72,6633800.0,0.0,1.0
2018-06-06,1.73,1.74,1.72,1.73,1.73,7744500.0,0.0,1.0
2018-06-05,1.72,1.74,1.71,1.73,1.73,11693900.0,0.0,1.0
2018-06-04,1.7,1.71,1.7,1.71,1.71,6460800.0,0.0,1.0
2018-06-01,1.7,1.71,1.68,1.69,1.69,9641235.0,0.0,1.0
2018-05-31,1.71,1.71,1.7,1.71,1.71,10283100.0,0.0,1.0
2018-05-30,1.7,1.71,1.69,1.7,1.7,19984800.0,0.0,1.0
2018-05-28,1.71,1.71,1.7,1.7,1.7,3200000.0,0.0,1.0
