date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,3.1,3.14,3.1,3.11,3.11,12441500.0,0.0,1.0
2018-07-17,3.06,3.08,3.05,3.07,3.07,9627300.0,0.0,1.0
2018-07-16,3.08,3.09,3.04,3.05,3.05,4179700.0,0.0,1.0
2018-07-13,3.08,3.1,3.06,3.06,3.06,7305500.0,0.0,1.0
2018-07-12,3.04,3.09,3.04,3.06,3.06,13095300.0,0.0,1.0
2018-07-11,3.06,3.06,3.02,3.02,3.02,15259600.0,0.0,1.0
2018-07-10,3.05,3.08,3.03,3.07,3.07,14790800.0,0.0,1.0
2018-07-09,3.01,3.1,3.01,3.02,3.02,20695900.0,0.0,1.0
2018-07-06,3.1,3.1,2.98,2.99,2.99,32744200.0,0.0,1.0
2018-07-05,3.14,3.2,3.12,3.18,3.18,10533600.0,0.0,1.0
2018-07-04,3.15,3.16,3.12,3.13,3.13,7463400.0,0.0,1.0
2018-07-03,3.16,3.18,3.13,3.16,3.16,11376800.0,0.0,1.0
2018-07-02,3.18,3.18,3.12,3.14,3.14,6288400.0,0.0,1.0
2018-06-29,3.14,3.18,3.13,3.16,3.16,11684100.0,0.0,1.0
2018-06-28,3.12,3.16,3.11,3.13,3.13,8817800.0,0.0,1.0
2018-06-27,3.2,3.21,3.13,3.13,3.13,11327200.0,0.0,1.0
2018-06-26,3.17,3.2,3.12,3.2,3.2,13575600.0,0.0,1.0
2018-06-25,3.2,3.21,3.16,3.18,3.18,9477800.0,0.0,1.0
2018-06-22,3.21,3.22,3.16,3.22,3.22,14371000.0,0.0,1.0
2018-06-21,3.31,3.33,3.24,3.25,3.25,13459400.0,0.0,1.0
2018-06-20,3.32,3.36,3.3,3.33,3.33,5849800.0,0.0,1.0
2018-06-19,3.35,3.38,3.3,3.31,3.31,8162700.0,0.0,1.0
2018-06-18,3.34,3.37,3.31,3.35,3.35,11271000.0,0.0,1.0
2018-06-14,3.45,3.46,3.37,3.39,3.39,15010600.0,0.0,1.0
2018-06-13,3.49,3.49,3.45,3.45,3.45,10143700.0,0.0,1.0
2018-06-12,3.49,3.51,3.47,3.49,3.49,5815100.0,0.0,1.0
2018-06-11,3.52,3.52,3.48,3.49,3.49,7822200.0,0.0,1.0
2018-06-08,3.51,3.53,3.5,3.5,3.5,7420300.0,0.0,1.0
2018-06-07,3.55,3.56,3.52,3.53,3.53,10085500.0,0.0,1.0
2018-06-06,3.54,3.57,3.52,3.53,3.53,11192100.0,0.0,1.0
2018-06-05,3.51,3.55,3.49,3.54,3.54,8382400.0,0.0,1.0
2018-06-04,3.51,3.54,3.5,3.52,3.52,11276500.0,0.0,1.0
2018-06-01,3.46,3.51,3.45,3.51,3.51,9140096.0,0.0,1.0
2018-05-31,3.52,3.54,3.46,3.46,3.46,18573900.0,0.0,1.0
2018-05-30,3.51,3.53,3.46,3.48,3.48,16150400.0,0.0,1.0
2018-05-28,3.55,3.56,3.52,3.54,3.54,6062400.0,0.0,1.0
2018-05-25,3.55,3.57,3.54,3.55,3.55,5230800.0,0.0,1.0
2018-05-24,3.54,3.56,3.52,3.56,3.56,6384800.0,0.0,1.0
2018-05-23,3.59,3.59,3.52,3.52,3.52,12503700.0,0.0,1.0
2018-05-22,3.59,3.61,3.57,3.59,3.59,8540900.0,0.0,1.0
2018-05-21,3.56,3.59,3.55,3.57,3.57,8149400.0,0.0,1.0
2018-05-18,3.57,3.57,3.55,3.55,3.55,6907600.0,0.0,1.0
2018-05-17,3.58,3.61,3.56,3.58,3.58,8540400.0,0.0,1.0
2018-05-16,3.6,3.61,3.57,3.57,3.57,10180900.0,0.0,1.0
2018-05-15,3.63,3.64,3.61,3.61,3.61,5656400.0,0.0,1.0
2018-05-14,3.66,3.67,3.63,3.63,3.63,4506600.0,0.0,1.0
2018-05-11,3.66,3.67,3.64,3.67,3.67,4096300.0,0.0,1.0
2018-05-10,3.62,3.66,3.61,3.64,3.64,5048800.0,0.0,1.0
2018-05-09,3.66,3.67,3.61,3.62,3.62,5924700.0,0.0,1.0
2018-05-08,3.65,3.67,3.63,3.66,3.66,11419100.0,0.0,1.0
2018-05-07,3.75,3.76,3.73,3.74,3.62,3684600.0,0.0,1.0
2018-05-04,3.76,3.78,3.72,3.75,3.6297,5569200.0,0.0,1.0
2018-05-03,3.75,3.77,3.75,3.77,3.649,5814400.0,0.0,1.0
2018-05-02,3.77,3.8,3.75,3.76,3.6394,14436900.0,0.0,1.0
2018-04-30,3.76,3.8,3.75,3.76,3.6394,10822300.0,0.0,1.0
2018-04-27,3.76,3.76,3.72,3.75,3.6297,5849500.0,0.0,1.0
2018-04-26,3.76,3.76,3.72,3.75,3.6297,11488200.0,0.0,1.0
2018-04-25,3.73,3.75,3.71,3.75,3.6297,10283800.0,0.0,1.0
2018-04-24,3.72,3.75,3.71,3.72,3.6006,7911500.0,0.0,1.0
2018-04-23,3.73,3.77,3.72,3.75,3.6297,7492500.0,0.0,1.0
2018-04-20,3.72,3.77,3.71,3.73,3.6103,7691600.0,0.0,1.0
2018-04-19,3.75,3.78,3.73,3.77,3.649,11124700.0,0.0,1.0
2018-04-18,3.68,3.74,3.66,3.73,3.6103,15409800.0,0.0,1.0
2018-04-17,3.65,3.67,3.63,3.65,3.5329,8654200.0,0.0,1.0
2018-04-16,3.68,3.69,3.62,3.64,3.5232,10014000.0,0.0,1.0
2018-04-13,3.69,3.7,3.67,3.68,3.5619,8386000.0,0.0,1.0
2018-04-12,3.68,3.7,3.65,3.66,3.5426,9507700.0,0.0,1.0
2018-04-11,3.64,3.7,3.64,3.69,3.5716,11362000.0,0.0,1.0
2018-04-10,3.62,3.64,3.6,3.63,3.5135,11979400.0,0.0,1.0
2018-04-09,3.58,3.63,3.58,3.61,3.4942,8052300.0,0.0,1.0
2018-04-06,3.56,3.62,3.55,3.61,3.4942,10065100.0,0.0,1.0
2018-04-05,3.57,3.6,3.56,3.58,3.4651,10244700.0,0.0,1.0
2018-04-04,3.6,3.61,3.52,3.53,3.4167,15353200.0,0.0,1.0
2018-04-03,3.6,3.62,3.55,3.6,3.4845,10743200.0,0.0,1.0
2018-04-02,3.58,3.63,3.57,3.62,3.5038,6440200.0,0.0,1.0
2018-03-29,3.53,3.6,3.53,3.57,3.4555,14551100.0,0.0,1.0
2018-03-28,3.57,3.59,3.53,3.54,3.4264,8399800.0,0.0,1.0
2018-03-27,3.62,3.64,3.56,3.57,3.4555,9882800.0,0.0,1.0
2018-03-26,3.56,3.61,3.55,3.59,3.4748,8540900.0,0.0,1.0
2018-03-23,3.6,3.62,3.54,3.58,3.4651,14584600.0,0.0,1.0
2018-03-22,3.66,3.68,3.64,3.64,3.5232,6717000.0,0.0,1.0
2018-03-21,3.69,3.7,3.67,3.68,3.5619,3179300.0,0.0,1.0
2018-03-20,3.66,3.69,3.66,3.68,3.5619,4163900.0,0.0,1.0
2018-03-19,3.66,3.7,3.66,3.67,3.5522,6026100.0,0.0,1.0
2018-03-16,3.67,3.69,3.66,3.66,3.5426,8662600.0,0.0,1.0
2018-03-15,3.65,3.68,3.64,3.68,3.5619,8575000.0,0.0,1.0
2018-03-14,3.68,3.7,3.64,3.69,3.5716,6674000.0,0.0,1.0
2018-03-13,3.67,3.7,3.67,3.69,3.5716,12255900.0,0.0,1.0
2018-03-12,3.62,3.67,3.62,3.65,3.5329,7497700.0,0.0,1.0
2018-03-09,3.58,3.62,3.57,3.6,3.4845,5138400.0,0.0,1.0
2018-03-08,3.59,3.62,3.56,3.58,3.4651,9213200.0,0.0,1.0
2018-03-07,3.58,3.62,3.57,3.59,3.4748,6665300.0,0.0,1.0
2018-03-06,3.59,3.62,3.58,3.6,3.4845,10038900.0,0.0,1.0
2018-03-05,3.59,3.6,3.53,3.55,3.4361,8817400.0,0.0,1.0
2018-03-02,3.58,3.62,3.57,3.59,3.4748,6451100.0,0.0,1.0
2018-03-01,3.6,3.63,3.59,3.61,3.4942,6747700.0,0.0,1.0
2018-02-28,3.61,3.64,3.57,3.63,3.5135,12959000.0,0.0,1.0
2018-02-27,3.65,3.68,3.61,3.61,3.4942,8543550.0,0.0,1.0
2018-02-26,3.58,3.65,3.57,3.63,3.5135,10238800.0,0.0,1.0
2018-02-23,3.55,3.61,3.55,3.59,3.4748,7946000.0,0.0,1.0
