date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,2.12,2.13,2.09,2.12,2.12,16835700.0,0.0,1.0
2018-07-17,2.15,2.15,2.11,2.13,2.13,15827800.0,0.0,1.0
2018-07-16,2.12,2.15,2.12,2.15,2.15,13178000.0,0.0,1.0
2018-07-13,2.12,2.14,2.1,2.12,2.12,16098700.0,0.0,1.0
2018-07-12,2.1,2.12,2.1,2.11,2.11,13381400.0,0.0,1.0
2018-07-11,2.08,2.11,2.07,2.11,2.11,10637900.0,0.0,1.0
2018-07-10,2.09,2.11,2.08,2.09,2.09,10418600.0,0.0,1.0
2018-07-09,2.09,2.11,2.06,2.1,2.1,16534400.0,0.0,1.0
2018-07-06,2.05,2.1,2.03,2.08,2.08,17977100.0,0.0,1.0
2018-07-05,2.03,2.05,2.03,2.05,2.05,6470600.0,0.0,1.0
2018-07-04,2.03,2.04,2.02,2.03,2.03,2517700.0,0.0,1.0
2018-07-03,2.02,2.05,2.02,2.04,2.04,9118400.0,0.0,1.0
2018-07-02,2.07,2.07,2.02,2.02,2.02,8713800.0,0.0,1.0
2018-06-29,2.04,2.08,2.03,2.07,2.07,17925400.0,0.0,1.0
2018-06-28,2.02,2.05,2.02,2.04,2.04,8997400.0,0.0,1.0
2018-06-27,2.04,2.04,2.01,2.03,2.03,7985500.0,0.0,1.0
2018-06-26,2.02,2.05,2.01,2.04,2.04,15041700.0,0.0,1.0
2018-06-25,2.03,2.04,2.01,2.02,2.02,8329300.0,0.0,1.0
2018-06-22,2.04,2.05,2.03,2.03,2.03,5500500.0,0.0,1.0
2018-06-21,2.04,2.05,2.03,2.04,2.04,7809900.0,0.0,1.0
2018-06-20,2.01,2.06,2.0,2.05,2.05,16568000.0,0.0,1.0
2018-06-19,2.01,2.04,2.01,2.02,2.02,10915500.0,0.0,1.0
2018-06-18,2.01,2.03,2.01,2.02,2.02,9546700.0,0.0,1.0
2018-06-14,2.06,2.07,2.03,2.03,2.03,19143700.0,0.0,1.0
2018-06-13,2.07,2.09,2.06,2.07,2.07,11955800.0,0.0,1.0
2018-06-12,2.07,2.08,2.06,2.07,2.07,4658200.0,0.0,1.0
2018-06-11,2.07,2.09,2.07,2.07,2.07,7021400.0,0.0,1.0
2018-06-08,2.1,2.11,2.07,2.08,2.08,15537400.0,0.0,1.0
2018-06-07,2.11,2.11,2.1,2.11,2.11,5150100.0,0.0,1.0
2018-06-06,2.1,2.11,2.09,2.11,2.11,8123000.0,0.0,1.0
2018-06-05,2.1,2.1,2.09,2.09,2.09,5392500.0,0.0,1.0
2018-06-04,2.09,2.09,2.07,2.09,2.09,6032600.0,0.0,1.0
2018-06-01,2.07,2.09,2.06,2.08,2.08,11627466.0,0.0,1.0
2018-05-31,2.11,2.12,2.07,2.07,2.07,42401600.0,0.0,1.0
2018-05-30,2.11,2.12,2.09,2.1,2.1,16313900.0,0.0,1.0
2018-05-28,2.1,2.11,2.09,2.1,2.1,7653100.0,0.0,1.0
2018-05-25,2.1,2.11,2.08,2.1,2.1,12033600.0,0.0,1.0
2018-05-24,2.08,2.1,2.07,2.09,2.09,13036353.0,0.0,1.0
2018-05-23,2.09,2.1,2.07,2.08,2.08,10873400.0,0.0,1.0
2018-05-22,2.09,2.11,2.08,2.1,2.1,13144700.0,0.0,1.0
2018-05-21,2.07,2.09,2.06,2.08,2.08,4846300.0,0.0,1.0
2018-05-18,2.08,2.09,2.05,2.07,2.07,9795700.0,0.0,1.0
2018-05-17,2.08,2.09,2.07,2.09,2.09,7150100.0,0.0,1.0
2018-05-16,2.1,2.1,2.06,2.08,2.08,20427300.0,0.0,1.0
2018-05-15,2.11,2.11,2.1,2.11,2.11,7742000.0,0.0,1.0
2018-05-14,2.1,2.12,2.09,2.1,2.1,9331700.0,0.0,1.0
2018-05-11,2.1,2.11,2.08,2.1,2.1,5878600.0,0.0,1.0
2018-05-10,2.09,2.1,2.08,2.08,2.08,5990700.0,0.0,1.0
2018-05-09,2.09,2.1,2.07,2.09,2.09,9721700.0,0.0,1.0
2018-05-08,2.09,2.09,2.06,2.07,2.07,12322000.0,0.0,1.0
2018-05-07,2.1,2.11,2.09,2.09,2.09,5029500.0,0.0,1.0
2018-05-04,2.1,2.11,2.09,2.1,2.1,8382900.0,0.0,1.0
2018-05-03,2.1,2.12,2.09,2.1,2.1,7451200.0,0.0,1.0
2018-05-02,2.1,2.12,2.1,2.11,2.11,13881800.0,0.0,1.0
2018-04-30,2.1,2.11,2.09,2.1,2.1,12232300.0,0.0,1.0
2018-04-27,2.05,2.08,2.05,2.08,2.08,7021900.0,0.0,1.0
2018-04-26,2.07,2.07,2.03,2.05,2.05,11462600.0,0.0,1.0
2018-04-25,2.08,2.08,2.06,2.08,2.0522,7017100.0,0.0,1.0
2018-04-24,2.09,2.1,2.08,2.08,2.0522,7597300.0,0.0,1.0
2018-04-23,2.1,2.11,2.07,2.1,2.0719,14059400.0,0.0,1.0
2018-04-20,2.1,2.12,2.09,2.1,2.0719,6906500.0,0.0,1.0
2018-04-19,2.11,2.12,2.09,2.12,2.0917,9534600.0,0.0,1.0
2018-04-18,2.1,2.12,2.09,2.11,2.0818,12420600.0,0.0,1.0
2018-04-17,2.08,2.1,2.06,2.09,2.0621,13170400.0,0.0,1.0
2018-04-16,2.1,2.1,2.07,2.09,2.0621,5672600.0,0.0,1.0
2018-04-13,2.07,2.1,2.07,2.08,2.0522,8275100.0,0.0,1.0
2018-04-12,2.09,2.1,2.07,2.08,2.0522,4396500.0,0.0,1.0
2018-04-11,2.09,2.1,2.08,2.09,2.0621,10135200.0,0.0,1.0
2018-04-10,2.07,2.09,2.07,2.09,2.0621,9110100.0,0.0,1.0
2018-04-09,2.07,2.08,2.06,2.07,2.0423,5814100.0,0.0,1.0
2018-04-06,2.07,2.08,2.05,2.07,2.0423,14898400.0,0.0,1.0
2018-04-05,2.07,2.07,2.05,2.07,2.0423,4201600.0,0.0,1.0
2018-04-04,2.08,2.08,2.05,2.05,2.0226,17320100.0,0.0,1.0
2018-04-03,2.06,2.09,2.05,2.08,2.0522,18509000.0,0.0,1.0
2018-04-02,2.09,2.09,2.06,2.07,2.0423,6829200.0,0.0,1.0
2018-03-29,2.06,2.08,2.06,2.08,2.0522,13821400.0,0.0,1.0
2018-03-28,2.06,2.07,2.05,2.05,2.0226,12981000.0,0.0,1.0
2018-03-27,2.04,2.07,2.04,2.07,2.0423,13514100.0,0.0,1.0
2018-03-26,2.03,2.04,2.0,2.03,2.0029,15912400.0,0.0,1.0
2018-03-23,2.03,2.05,2.02,2.04,2.0127,8696100.0,0.0,1.0
2018-03-22,2.06,2.08,2.05,2.06,2.0325,7334400.0,0.0,1.0
2018-03-21,2.08,2.08,2.05,2.06,2.0325,8534600.0,0.0,1.0
2018-03-20,2.08,2.09,2.05,2.08,2.0522,8186100.0,0.0,1.0
2018-03-19,2.08,2.09,2.07,2.08,2.0522,6179606.0,0.0,1.0
2018-03-16,2.07,2.08,2.05,2.08,2.0522,12768000.0,0.0,1.0
2018-03-15,2.04,2.06,2.01,2.06,2.0325,14679400.0,0.0,1.0
2018-03-14,2.05,2.06,2.04,2.05,2.0226,5678800.0,0.0,1.0
2018-03-13,2.05,2.07,2.04,2.06,2.0325,13351900.0,0.0,1.0
2018-03-12,2.02,2.05,2.02,2.04,2.0127,10487100.0,0.0,1.0
2018-03-09,2.02,2.04,2.01,2.02,1.993,11926500.0,0.0,1.0
2018-03-08,2.0,2.02,2.0,2.02,1.993,7205200.0,0.0,1.0
2018-03-07,2.01,2.02,1.99,1.99,1.9634,11426300.0,0.0,1.0
2018-03-06,2.0,2.02,1.99,2.01,1.9831,13492700.0,0.0,1.0
2018-03-05,2.01,2.03,1.98,1.98,1.9535,14463300.0,0.0,1.0
2018-03-02,2.0,2.03,1.99,2.0,1.9733,8602000.0,0.0,1.0
2018-03-01,1.99,2.02,1.98,2.02,1.993,7570400.0,0.0,1.0
2018-02-28,2.02,2.02,1.99,2.02,1.993,15316200.0,0.0,1.0
2018-02-27,2.0,2.03,2.0,2.02,1.993,8393200.0,0.0,1.0
2018-02-26,1.98,2.01,1.97,2.0,1.9733,11622000.0,0.0,1.0
2018-02-23,1.99,1.99,1.96,1.97,1.9437,11079600.0,0.0,1.0
