date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-19,9.86,9.93,9.85,9.86,9.86,803200.0,0.0,1.0
2018-07-18,9.66,9.87,9.65,9.78,9.78,2618300.0,0.0,1.0
2018-07-17,9.62,9.65,9.56,9.64,9.64,2492600.0,0.0,1.0
2018-07-16,9.71,9.77,9.57,9.64,9.64,2167300.0,0.0,1.0
2018-07-13,9.68,9.78,9.66,9.7,9.7,1674500.0,0.0,1.0
2018-07-12,9.64,9.74,9.58,9.65,9.65,2514800.0,0.0,1.0
2018-07-11,9.55,9.67,9.5,9.59,9.59,4293300.0,0.0,1.0
2018-07-10,9.69,9.78,9.54,9.68,9.68,5350100.0,0.0,1.0
2018-07-09,9.46,9.83,9.41,9.62,9.62,7638500.0,0.0,1.0
2018-07-06,9.9,9.94,9.22,9.46,9.46,23672700.0,0.0,1.0
2018-07-05,10.92,11.38,10.86,11.21,11.21,2514500.0,0.0,1.0
2018-07-04,10.82,10.99,10.82,10.93,10.93,1267100.0,0.0,1.0
2018-07-03,10.88,10.93,10.76,10.92,10.92,1085300.0,0.0,1.0
2018-07-02,10.86,10.94,10.84,10.88,10.88,872200.0,0.0,1.0
2018-06-29,10.85,11.07,10.7,10.93,10.93,2667400.0,0.0,1.0
2018-06-28,10.93,10.95,10.81,10.83,10.83,1392600.0,0.0,1.0
2018-06-27,11.03,11.06,10.9,10.92,10.92,1743200.0,0.0,1.0
2018-06-26,10.95,11.12,10.87,11.09,11.09,1276400.0,0.0,1.0
2018-06-25,11.12,11.14,10.95,11.0,11.0,1066600.0,0.0,1.0
2018-06-22,11.12,11.18,11.01,11.12,11.12,741900.0,0.0,1.0
2018-06-21,11.21,11.25,11.12,11.13,11.13,781000.0,0.0,1.0
2018-06-20,11.09,11.39,11.09,11.25,11.25,1524400.0,0.0,1.0
2018-06-19,11.24,11.3,11.05,11.07,11.07,1452400.0,0.0,1.0
2018-06-18,10.9,11.31,10.73,11.22,11.22,2346900.0,0.0,1.0
2018-06-14,11.3,11.38,11.15,11.21,11.21,2239400.0,0.0,1.0
2018-06-13,11.49,11.49,11.38,11.4,11.4,1506900.0,0.0,1.0
2018-06-12,11.63,11.63,11.44,11.52,11.52,2597500.0,0.0,1.0
2018-06-11,11.92,11.92,11.46,11.69,11.69,3171200.0,0.0,1.0
2018-06-08,11.94,11.96,11.82,11.84,11.84,1938700.0,0.0,1.0
2018-06-07,11.65,11.98,11.65,11.9,11.9,2946300.0,0.0,1.0
2018-06-06,11.49,11.63,11.42,11.62,11.62,2968900.0,0.0,1.0
2018-06-05,11.42,11.56,11.38,11.48,11.48,2391100.0,0.0,1.0
2018-06-04,11.26,11.39,11.26,11.36,11.36,1199800.0,0.0,1.0
2018-06-01,11.1,11.29,11.1,11.25,11.25,1222100.0,0.0,1.0
2018-05-31,11.4,11.44,11.21,11.21,11.21,2865900.0,0.0,1.0
2018-05-30,11.31,11.47,11.09,11.33,11.33,2951900.0,0.0,1.0
2018-05-28,11.62,11.66,11.44,11.5,11.5,1220700.0,0.0,1.0
2018-05-25,11.73,11.73,11.58,11.6,11.6,1246400.0,0.0,1.0
2018-05-24,11.63,11.8,11.6,11.76,11.76,1758500.0,0.0,1.0
2018-05-23,11.84,11.85,11.54,11.58,11.58,2691200.0,0.0,1.0
2018-05-22,12.05,12.08,11.82,11.84,11.84,1442800.0,0.0,1.0
2018-05-21,11.82,12.11,11.81,12.04,12.04,1877100.0,0.0,1.0
2018-05-18,11.86,11.86,11.7,11.78,11.78,2152900.0,0.0,1.0
2018-05-17,12.06,12.06,11.88,11.89,11.89,1110500.0,0.0,1.0
2018-05-16,12.16,12.17,11.83,11.97,11.97,2741100.0,0.0,1.0
2018-05-15,12.33,12.35,12.2,12.22,12.22,1965800.0,0.0,1.0
2018-05-14,12.46,12.47,12.38,12.4,12.4,970400.0,0.0,1.0
2018-05-11,12.64,12.64,12.44,12.53,12.53,1403800.0,0.0,1.0
2018-05-10,12.5,12.62,12.5,12.55,12.55,580300.0,0.0,1.0
2018-05-09,12.63,12.63,12.51,12.52,12.52,703200.0,0.0,1.0
2018-05-08,12.5,12.62,12.49,12.57,12.57,851500.0,0.0,1.0
2018-05-07,12.54,12.58,12.38,12.44,12.44,1039600.0,0.0,1.0
2018-05-04,12.67,12.67,12.4,12.46,12.46,1196200.0,0.0,1.0
2018-05-03,12.54,12.7,12.53,12.62,12.62,1583900.0,0.0,1.0
2018-05-02,12.67,12.75,12.53,12.55,12.55,2971900.0,0.0,1.0
2018-04-30,12.56,12.68,12.54,12.67,12.67,2109400.0,0.0,1.0
2018-04-27,12.5,12.63,12.48,12.51,12.51,1135700.0,0.0,1.0
2018-04-26,12.6,12.61,12.5,12.51,12.43,864100.0,0.0,1.0
2018-04-25,12.5,12.61,12.5,12.52,12.4399,1538000.0,0.0,1.0
2018-04-24,12.65,12.67,12.39,12.53,12.4499,2340500.0,0.0,1.0
2018-04-23,12.72,12.75,12.59,12.65,12.5691,1087300.0,0.0,1.0
2018-04-20,12.78,12.79,12.62,12.66,12.579,1438100.0,0.0,1.0
2018-04-19,12.8,12.99,12.69,12.85,12.7678,2330500.0,0.0,1.0
2018-04-18,12.64,12.8,12.59,12.74,12.6585,2493700.0,0.0,1.0
2018-04-17,12.7,12.71,12.57,12.6,12.5194,1688500.0,0.0,1.0
2018-04-16,12.85,12.85,12.58,12.66,12.579,1612200.0,0.0,1.0
2018-04-13,12.63,12.84,12.62,12.82,12.738,1484700.0,0.0,1.0
2018-04-12,12.64,12.69,12.54,12.57,12.4896,2477900.0,0.0,1.0
2018-04-11,12.71,12.77,12.63,12.67,12.589,2219600.0,0.0,1.0
2018-04-10,12.75,12.83,12.62,12.73,12.6486,1809500.0,0.0,1.0
2018-04-09,12.87,12.95,12.74,12.87,12.7877,705500.0,0.0,1.0
2018-04-06,12.82,13.0,12.75,12.88,12.7976,1650600.0,0.0,1.0
2018-04-05,12.79,12.95,12.77,12.79,12.7082,1433800.0,0.0,1.0
