date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,2.35,2.36,2.29,2.29,2.29,5262374.0,0.0,1.0
2018-07-17,2.35,2.35,2.31,2.34,2.34,3720800.0,0.0,1.0
2018-07-16,2.36,2.39,2.34,2.35,2.35,5585000.0,0.0,1.0
2018-07-13,2.36,2.37,2.33,2.35,2.35,2703200.0,0.0,1.0
2018-07-12,2.36,2.38,2.35,2.38,2.38,3257400.0,0.0,1.0
2018-07-11,2.33,2.37,2.31,2.36,2.36,2826600.0,0.0,1.0
2018-07-10,2.34,2.37,2.31,2.37,2.37,7531500.0,0.0,1.0
2018-07-09,2.28,2.33,2.28,2.32,2.32,4312600.0,0.0,1.0
2018-07-06,2.37,2.38,2.27,2.29,2.29,9655700.0,0.0,1.0
2018-07-05,2.39,2.42,2.34,2.37,2.37,5732600.0,0.0,1.0
2018-07-04,2.3,2.37,2.28,2.37,2.37,6296800.0,0.0,1.0
2018-07-03,2.27,2.3,2.24,2.3,2.3,6203200.0,0.0,1.0
2018-07-02,2.36,2.36,2.25,2.26,2.26,6012400.0,0.0,1.0
2018-06-29,2.3,2.37,2.3,2.35,2.35,13553600.0,0.0,1.0
2018-06-28,2.28,2.3,2.25,2.26,2.26,3345800.0,0.0,1.0
2018-06-27,2.26,2.32,2.25,2.28,2.28,9315900.0,0.0,1.0
2018-06-26,2.19,2.27,2.19,2.26,2.26,9069100.0,0.0,1.0
2018-06-25,2.22,2.23,2.19,2.21,2.21,6711100.0,0.0,1.0
2018-06-22,2.23,2.26,2.21,2.23,2.23,12461400.0,0.0,1.0
2018-06-21,2.3,2.33,2.19,2.23,2.23,12296900.0,0.0,1.0
2018-06-20,2.32,2.36,2.3,2.33,2.33,8550700.0,0.0,1.0
2018-06-19,2.28,2.32,2.28,2.3,2.3,10772300.0,0.0,1.0
2018-06-18,2.33,2.33,2.27,2.28,2.28,10966400.0,0.0,1.0
2018-06-14,2.41,2.42,2.32,2.32,2.32,17955600.0,0.0,1.0
2018-06-13,2.43,2.44,2.42,2.43,2.43,5261500.0,0.0,1.0
2018-06-12,2.4,2.43,2.38,2.42,2.42,8822300.0,0.0,1.0
2018-06-11,2.4,2.42,2.38,2.4,2.4,7334900.0,0.0,1.0
2018-06-08,2.46,2.46,2.39,2.4,2.4,6173700.0,0.0,1.0
2018-06-07,2.47,2.48,2.44,2.46,2.46,10653200.0,0.0,1.0
2018-06-06,2.5,2.51,2.44,2.47,2.47,16788800.0,0.0,1.0
2018-06-05,2.46,2.51,2.46,2.51,2.51,13667800.0,0.0,1.0
2018-06-04,2.5,2.5,2.46,2.47,2.47,7133600.0,0.0,1.0
2018-06-01,2.46,2.5,2.45,2.5,2.5,15141900.0,0.0,1.0
2018-05-31,2.44,2.48,2.43,2.46,2.46,22950500.0,0.0,1.0
2018-05-30,2.42,2.43,2.38,2.41,2.41,17304500.0,0.0,1.0
2018-05-28,2.41,2.47,2.4,2.45,2.45,13177700.0,0.0,1.0
2018-05-25,2.42,2.42,2.39,2.41,2.41,9984600.0,0.0,1.0
2018-05-24,2.34,2.45,2.33,2.43,2.43,30368690.0,0.0,1.0
2018-05-23,2.38,2.38,2.32,2.34,2.34,7548900.0,0.0,1.0
2018-05-22,2.39,2.39,2.36,2.39,2.39,5100500.0,0.0,1.0
2018-05-21,2.38,2.4,2.38,2.39,2.39,4188300.0,0.0,1.0
2018-05-18,2.39,2.4,2.36,2.39,2.39,8014500.0,0.0,1.0
2018-05-17,2.38,2.39,2.37,2.39,2.39,9870280.0,0.0,1.0
2018-05-16,2.35,2.38,2.32,2.38,2.38,13076700.0,0.0,1.0
2018-05-15,2.35,2.38,2.34,2.35,2.35,11065000.0,0.0,1.0
2018-05-14,2.33,2.35,2.32,2.34,2.34,9459000.0,0.0,1.0
2018-05-11,2.35,2.35,2.32,2.33,2.33,5471100.0,0.0,1.0
2018-05-10,2.34,2.35,2.33,2.34,2.34,11426300.0,0.0,1.0
2018-05-09,2.27,2.34,2.26,2.34,2.34,19555400.0,0.0,1.0
2018-05-08,2.2,2.27,2.19,2.27,2.27,11273000.0,0.0,1.0
2018-05-07,2.21,2.22,2.19,2.19,2.19,3237300.0,0.0,1.0
2018-05-04,2.21,2.22,2.19,2.2,2.2,2674400.0,0.0,1.0
2018-05-03,2.23,2.23,2.19,2.2,2.2,5394200.0,0.0,1.0
2018-05-02,2.24,2.29,2.23,2.26,2.1995,12232400.0,0.0,1.0
2018-04-30,2.25,2.25,2.23,2.25,2.1898,10789800.0,0.0,1.0
2018-04-27,2.21,2.25,2.2,2.25,2.1898,10906400.0,0.0,1.0
2018-04-26,2.22,2.22,2.19,2.21,2.1508,9895200.0,0.0,1.0
2018-04-25,2.2,2.23,2.18,2.23,2.1703,8000600.0,0.0,1.0
2018-04-24,2.18,2.21,2.17,2.21,2.1508,6503000.0,0.0,1.0
2018-04-23,2.18,2.21,2.18,2.19,2.1314,7451900.0,0.0,1.0
2018-04-20,2.23,2.24,2.18,2.19,2.1314,13048400.0,0.0,1.0
2018-04-19,2.17,2.24,2.17,2.24,2.18,15360600.0,0.0,1.0
2018-04-18,2.17,2.19,2.15,2.16,2.1022,11238600.0,0.0,1.0
2018-04-17,2.15,2.19,2.13,2.18,2.1216,8184700.0,0.0,1.0
2018-04-16,2.18,2.19,2.14,2.18,2.1216,7129800.0,0.0,1.0
2018-04-13,2.12,2.22,2.11,2.19,2.1314,20912900.0,0.0,1.0
2018-04-12,2.1,2.12,2.09,2.11,2.0535,9510400.0,0.0,1.0
2018-04-11,2.08,2.11,2.07,2.1,2.0438,11042700.0,0.0,1.0
2018-04-10,2.07,2.09,2.05,2.08,2.0243,5211900.0,0.0,1.0
2018-04-09,2.08,2.09,2.06,2.08,2.0243,5020600.0,0.0,1.0
2018-04-06,2.06,2.08,2.05,2.08,2.0243,4606400.0,0.0,1.0
