date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,26.07,26.19,25.86,25.86,25.86,3220000.0,0.0,1.0
2018-07-17,25.96,26.17,25.8,26.01,26.01,3926400.0,0.0,1.0
2018-07-16,26.26,26.4,25.87,25.87,25.87,4107100.0,0.0,1.0
2018-07-13,26.07,26.26,26.04,26.25,26.25,3871100.0,0.0,1.0
2018-07-12,26.15,26.15,25.82,26.0,26.0,3214700.0,0.0,1.0
2018-07-11,26.01,26.06,25.61,26.01,26.01,5468900.0,0.0,1.0
2018-07-10,26.06,26.47,26.06,26.3,26.3,8014676.0,0.0,1.0
2018-07-09,25.47,25.82,25.37,25.71,25.71,3901600.0,0.0,1.0
2018-07-06,25.5,25.6,25.01,25.35,25.35,8518800.0,0.0,1.0
2018-07-05,26.32,26.32,25.96,26.03,26.03,4465265.0,0.0,1.0
2018-07-04,26.15,26.36,26.06,26.34,26.34,5402800.0,0.0,1.0
2018-07-03,26.44,26.56,26.08,26.15,26.15,6699600.0,0.0,1.0
2018-07-02,26.8,26.81,26.29,26.38,26.38,3488500.0,0.0,1.0
2018-06-29,26.45,26.81,26.35,26.61,26.61,7326500.0,0.0,1.0
2018-06-28,26.38,26.59,26.36,26.49,26.49,6500100.0,0.0,1.0
2018-06-27,27.05,27.2,26.52,26.61,26.61,4402800.0,0.0,1.0
2018-06-26,26.5,26.97,26.4,26.94,26.94,4271700.0,0.0,1.0
2018-06-25,26.7,26.9,26.31,26.66,26.66,4900300.0,0.0,1.0
2018-06-22,26.95,27.04,26.84,26.89,26.89,5196100.0,0.0,1.0
2018-06-21,27.05,27.3,26.97,27.03,27.03,5342800.0,0.0,1.0
2018-06-20,27.11,27.2,26.93,27.01,27.01,4236400.0,0.0,1.0
2018-06-19,27.34,27.52,26.92,27.1,27.1,6250270.0,0.0,1.0
2018-06-18,26.91,27.42,26.82,27.26,27.26,5401200.0,0.0,1.0
2018-06-14,28.0,28.08,27.58,27.61,27.61,8328400.0,0.0,1.0
2018-06-13,28.56,28.57,27.98,28.16,28.16,4636500.0,0.0,1.0
2018-06-12,28.55,28.67,28.41,28.48,28.48,2497800.0,0.0,1.0
2018-06-11,28.66,28.78,28.5,28.65,28.65,2430600.0,0.0,1.0
2018-06-08,28.6,28.98,28.4,28.5,28.5,4075700.0,0.0,1.0
2018-06-07,29.25,29.25,28.61,28.8,28.8,4367500.0,0.0,1.0
2018-06-06,29.12,29.2,28.76,28.82,28.82,3905100.0,0.0,1.0
2018-06-05,29.08,29.13,28.89,29.12,29.12,3694500.0,0.0,1.0
2018-06-04,28.48,28.8,28.48,28.8,28.8,2766400.0,0.0,1.0
2018-06-01,28.35,28.4,28.16,28.3,28.3,3080904.0,0.0,1.0
2018-05-31,28.65,28.65,28.3,28.37,28.37,9261700.0,0.0,1.0
2018-05-30,28.34,28.58,28.14,28.23,28.23,8061100.0,0.0,1.0
2018-05-28,29.0,29.25,28.98,29.15,29.15,2262700.0,0.0,1.0
2018-05-25,28.78,29.0,28.65,28.94,28.94,2724200.0,0.0,1.0
2018-05-24,28.9,28.99,28.54,28.95,28.95,3133615.0,0.0,1.0
2018-05-23,29.24,29.27,28.7,28.73,28.73,4368200.0,0.0,1.0
2018-05-22,29.4,29.53,29.12,29.18,29.18,2267200.0,0.0,1.0
2018-05-21,29.3,29.52,29.3,29.4,29.4,4796800.0,0.0,1.0
2018-05-18,29.0,29.0,28.79,29.0,29.0,3115400.0,0.0,1.0
2018-05-17,29.12,29.18,28.81,28.85,28.85,3563600.0,0.0,1.0
2018-05-16,28.8,29.17,28.68,28.92,28.92,4171900.0,0.0,1.0
2018-05-15,29.08,29.15,28.87,28.88,28.88,3191900.0,0.0,1.0
2018-05-14,29.47,29.59,29.12,29.22,29.22,2548000.0,0.0,1.0
2018-05-11,29.0,29.55,28.85,29.47,29.47,5420700.0,0.0,1.0
2018-05-10,28.92,29.03,28.74,28.84,28.84,4516900.0,0.0,1.0
2018-05-09,29.0,29.0,28.51,28.76,28.76,4733700.0,0.0,1.0
2018-05-08,28.94,29.04,28.85,28.99,28.99,4232100.0,0.0,1.0
2018-05-07,29.0,29.02,28.79,28.97,28.97,4528000.0,0.0,1.0
2018-05-04,29.35,29.35,28.56,28.8,28.8,7381550.0,0.0,1.0
2018-05-03,29.19,29.33,28.91,29.28,29.28,11557410.0,0.0,1.0
2018-05-02,31.08,31.28,30.51,30.61,30.01,9388900.0,0.0,1.0
2018-04-30,30.6,30.98,30.43,30.84,30.2355,7770197.0,0.0,1.0
2018-04-27,29.96,30.0,29.75,30.0,29.412,5278100.0,0.0,1.0
2018-04-26,29.99,29.99,29.7,29.74,29.1571,4234600.0,0.0,1.0
2018-04-25,29.86,29.99,29.64,29.79,29.2061,5346000.0,0.0,1.0
2018-04-24,29.77,30.0,29.48,29.99,29.4022,5357200.0,0.0,1.0
2018-04-23,29.33,29.77,29.23,29.63,29.0492,2930700.0,0.0,1.0
2018-04-20,29.71,29.95,29.45,29.59,29.01,5021100.0,0.0,1.0
2018-04-19,29.59,29.95,29.5,29.91,29.3237,6838600.0,0.0,1.0
2018-04-18,29.02,29.45,28.99,29.36,28.7845,6982400.0,0.0,1.0
2018-04-17,28.62,28.88,28.42,28.73,28.1668,3449700.0,0.0,1.0
2018-04-16,28.5,28.6,28.28,28.55,27.9904,3467600.0,0.0,1.0
2018-04-13,28.29,28.49,28.25,28.42,27.8629,5484200.0,0.0,1.0
2018-04-12,28.15,28.3,28.0,28.08,27.5296,2632439.0,0.0,1.0
2018-04-11,27.98,28.17,27.95,28.07,27.5198,3494100.0,0.0,1.0
2018-04-10,27.6,28.05,27.58,27.99,27.4414,4626500.0,0.0,1.0
2018-04-09,27.6,28.05,27.3,27.8,27.2551,4317600.0,0.0,1.0
2018-04-06,27.12,27.78,27.0,27.66,27.1178,6679700.0,0.0,1.0
2018-04-05,27.0,27.43,26.86,27.28,26.7453,6472200.0,0.0,1.0
2018-04-04,27.21,27.21,26.35,26.47,25.9511,5806862.0,0.0,1.0
2018-04-03,27.05,27.18,26.86,27.18,26.6472,4794800.0,0.0,1.0
2018-04-02,27.47,27.54,27.31,27.32,26.7845,2869800.0,0.0,1.0
2018-03-29,27.0,27.59,26.98,27.5,26.961,9875400.0,0.0,1.0
2018-03-28,27.4,27.4,26.86,26.86,26.3335,8325696.0,0.0,1.0
2018-03-27,27.51,27.63,27.33,27.59,27.0492,7213100.0,0.0,1.0
2018-03-26,27.0,27.47,26.92,27.21,26.6766,7938200.0,0.0,1.0
2018-03-23,27.67,27.67,27.26,27.4,26.8629,8572000.0,0.0,1.0
2018-03-22,28.5,28.5,28.12,28.12,27.5688,2906600.0,0.0,1.0
2018-03-21,28.36,28.5,28.26,28.4,27.8433,2879500.0,0.0,1.0
2018-03-20,27.9,28.4,27.88,28.32,27.7649,3288500.0,0.0,1.0
2018-03-19,28.35,28.35,28.05,28.07,27.5198,2641600.0,0.0,1.0
2018-03-16,28.45,28.45,28.23,28.25,27.6963,5152900.0,0.0,1.0
2018-03-15,28.99,28.99,28.52,28.61,28.0492,7002702.0,0.0,1.0
2018-03-14,29.1,29.19,28.81,29.12,28.5492,6274618.0,0.0,1.0
2018-03-13,28.73,29.07,28.71,29.07,28.5002,5332600.0,0.0,1.0
2018-03-12,28.4,28.83,28.4,28.74,28.1767,5274700.0,0.0,1.0
