date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,1.26,1.27,1.25,1.25,1.25,25700700.0,0.0,1.0
2018-07-17,1.25,1.26,1.23,1.25,1.25,22887800.0,0.0,1.0
2018-07-16,1.26,1.27,1.25,1.25,1.25,20501400.0,0.0,1.0
2018-07-13,1.25,1.26,1.24,1.26,1.26,28984300.0,0.0,1.0
2018-07-12,1.22,1.25,1.22,1.25,1.25,44761800.0,0.0,1.0
2018-07-11,1.2,1.24,1.18,1.21,1.21,57851600.0,0.0,1.0
2018-07-10,1.19,1.21,1.19,1.21,1.21,33021500.0,0.0,1.0
2018-07-09,1.17,1.19,1.17,1.18,1.18,21791000.0,0.0,1.0
2018-07-06,1.18,1.2,1.15,1.17,1.17,55443700.0,0.0,1.0
2018-07-05,1.18,1.2,1.15,1.18,1.18,37770400.0,0.0,1.0
2018-07-04,1.21,1.23,1.17,1.18,1.18,56198200.0,0.0,1.0
2018-07-03,1.21,1.25,1.21,1.21,1.21,54372200.0,0.0,1.0
2018-07-02,1.23,1.25,1.21,1.21,1.21,29103000.0,0.0,1.0
2018-06-29,1.23,1.24,1.21,1.22,1.22,36499900.0,0.0,1.0
2018-06-28,1.2,1.22,1.19,1.21,1.21,44377900.0,0.0,1.0
2018-06-27,1.22,1.24,1.19,1.2,1.2,42078200.0,0.0,1.0
2018-06-26,1.19,1.22,1.19,1.22,1.22,36680600.0,0.0,1.0
2018-06-25,1.22,1.24,1.19,1.2,1.2,48376000.0,0.0,1.0
2018-06-22,1.22,1.23,1.2,1.23,1.23,18167100.0,0.0,1.0
2018-06-21,1.23,1.24,1.22,1.23,1.23,21807800.0,0.0,1.0
2018-06-20,1.23,1.25,1.22,1.23,1.23,32032200.0,0.0,1.0
2018-06-19,1.23,1.26,1.22,1.22,1.22,32390600.0,0.0,1.0
2018-06-18,1.23,1.25,1.21,1.23,1.23,45392200.0,0.0,1.0
2018-06-14,1.27,1.27,1.22,1.22,1.22,63702200.0,0.0,1.0
2018-06-13,1.27,1.28,1.25,1.28,1.28,36806400.0,0.0,1.0
2018-06-12,1.26,1.29,1.26,1.27,1.27,36907200.0,0.0,1.0
2018-06-11,1.26,1.27,1.24,1.26,1.26,21018900.0,0.0,1.0
2018-06-08,1.25,1.26,1.24,1.25,1.25,15101100.0,0.0,1.0
2018-06-07,1.25,1.27,1.24,1.25,1.25,29977800.0,0.0,1.0
2018-06-06,1.28,1.29,1.22,1.24,1.24,47998500.0,0.0,1.0
2018-06-05,1.26,1.28,1.26,1.28,1.28,20231100.0,0.0,1.0
2018-06-04,1.25,1.27,1.25,1.26,1.26,15615700.0,0.0,1.0
2018-06-01,1.26,1.26,1.24,1.25,1.25,20210400.0,0.0,1.0
2018-05-31,1.26,1.28,1.26,1.26,1.26,28933000.0,0.0,1.0
2018-05-30,1.28,1.28,1.24,1.25,1.25,45520300.0,0.0,1.0
2018-05-28,1.27,1.3,1.27,1.3,1.3,30481200.0,0.0,1.0
2018-05-25,1.29,1.29,1.26,1.27,1.27,26727100.0,0.0,1.0
2018-05-24,1.28,1.29,1.27,1.29,1.29,21191212.0,0.0,1.0
2018-05-23,1.31,1.31,1.26,1.27,1.27,37589300.0,0.0,1.0
2018-05-22,1.29,1.31,1.29,1.31,1.31,19536100.0,0.0,1.0
