date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,0.275,0.275,0.265,0.27,0.27,30273400.0,0.0,1.0
2018-07-17,0.27,0.28,0.27,0.28,0.28,13751000.0,0.0,1.0
2018-07-16,0.28,0.28,0.27,0.27,0.27,12946300.0,0.0,1.0
2018-07-13,0.27,0.285,0.27,0.28,0.28,23961200.0,0.0,1.0
2018-07-12,0.27,0.27,0.265,0.265,0.265,12903400.0,0.0,1.0
2018-07-11,0.285,0.285,0.265,0.27,0.27,41019500.0,0.0,1.0
2018-07-10,0.285,0.295,0.285,0.29,0.29,38029800.0,0.0,1.0
2018-07-09,0.3,0.3,0.285,0.29,0.29,28534400.0,0.0,1.0
2018-07-06,0.305,0.305,0.3,0.3,0.3,16235500.0,0.0,1.0
2018-07-05,0.305,0.31,0.3,0.305,0.305,6155100.0,0.0,1.0
2018-07-04,0.305,0.31,0.305,0.305,0.305,5374400.0,0.0,1.0
2018-07-03,0.305,0.31,0.3,0.31,0.31,19436200.0,0.0,1.0
2018-07-02,0.305,0.31,0.305,0.305,0.305,10175300.0,0.0,1.0
2018-06-29,0.31,0.31,0.305,0.305,0.305,18835611.0,0.0,1.0
2018-06-28,0.305,0.315,0.305,0.31,0.31,15058400.0,0.0,1.0
2018-06-27,0.315,0.315,0.305,0.305,0.305,12747100.0,0.0,1.0
2018-06-26,0.32,0.325,0.31,0.315,0.315,16582100.0,0.0,1.0
2018-06-25,0.325,0.33,0.32,0.32,0.32,8633100.0,0.0,1.0
2018-06-22,0.315,0.33,0.315,0.33,0.33,11594900.0,0.0,1.0
2018-06-21,0.33,0.33,0.315,0.315,0.315,16725100.0,0.0,1.0
2018-06-20,0.325,0.33,0.325,0.33,0.33,13496400.0,0.0,1.0
2018-06-19,0.32,0.335,0.315,0.325,0.325,48099800.0,0.0,1.0
2018-06-18,0.315,0.32,0.31,0.32,0.32,38633600.0,0.0,1.0
2018-06-14,0.31,0.32,0.305,0.32,0.32,52785000.0,0.0,1.0
2018-06-13,0.31,0.315,0.305,0.31,0.31,35098500.0,0.0,1.0
2018-06-12,0.31,0.315,0.305,0.315,0.315,35120000.0,0.0,1.0
2018-06-11,0.31,0.315,0.3,0.31,0.31,29744800.0,0.0,1.0
2018-06-08,0.305,0.315,0.3,0.305,0.305,28576000.0,0.0,1.0
2018-06-07,0.315,0.32,0.305,0.31,0.31,48334200.0,0.0,1.0
2018-06-06,0.315,0.32,0.315,0.32,0.32,14421800.0,0.0,1.0
2018-06-05,0.32,0.325,0.315,0.315,0.315,14223000.0,0.0,1.0
2018-06-04,0.315,0.325,0.315,0.32,0.32,13609700.0,0.0,1.0
2018-06-01,0.315,0.32,0.31,0.315,0.315,28142745.0,0.0,1.0
2018-05-31,0.32,0.32,0.31,0.315,0.315,73811600.0,0.0,1.0
2018-05-30,0.305,0.325,0.3,0.31,0.31,63118600.0,0.0,1.0
2018-05-28,0.305,0.315,0.305,0.305,0.305,7506719.0,0.0,1.0
2018-05-25,0.315,0.315,0.305,0.305,0.305,14634800.0,0.0,1.0
2018-05-24,0.305,0.315,0.3,0.31,0.31,34023200.0,0.0,1.0
2018-05-23,0.32,0.32,0.3,0.3,0.3,49798300.0,0.0,1.0
2018-05-22,0.33,0.335,0.325,0.325,0.325,12357200.0,0.0,1.0
2018-05-21,0.335,0.34,0.33,0.33,0.33,23648200.0,0.0,1.0
2018-05-18,0.34,0.345,0.335,0.335,0.335,19018200.0,0.0,1.0
2018-05-17,0.34,0.345,0.335,0.345,0.345,22645300.0,0.0,1.0
2018-05-16,0.35,0.35,0.34,0.34,0.34,26103300.0,0.0,1.0
2018-05-15,0.36,0.36,0.345,0.35,0.35,28693100.0,0.0,1.0
2018-05-14,0.365,0.37,0.36,0.36,0.36,9629100.0,0.0,1.0
2018-05-11,0.365,0.37,0.355,0.365,0.365,24077900.0,0.0,1.0
2018-05-10,0.36,0.365,0.36,0.365,0.365,7966100.0,0.0,1.0
2018-05-09,0.365,0.365,0.36,0.36,0.36,7996800.0,0.0,1.0
