date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,0.28,0.28,0.275,0.275,0.275,14032000.0,0.0,1.0
2018-07-17,0.28,0.285,0.275,0.28,0.28,10735400.0,0.0,1.0
2018-07-16,0.275,0.28,0.27,0.28,0.28,15143700.0,0.0,1.0
2018-07-13,0.275,0.28,0.27,0.28,0.28,25239300.0,0.0,1.0
2018-07-12,0.28,0.28,0.265,0.275,0.275,37082600.0,0.0,1.0
2018-07-11,0.285,0.285,0.28,0.28,0.28,5785500.0,0.0,1.0
2018-07-10,0.29,0.295,0.285,0.29,0.29,13418600.0,0.0,1.0
2018-07-09,0.29,0.295,0.285,0.29,0.29,24869400.0,0.0,1.0
2018-07-06,0.285,0.29,0.28,0.285,0.285,19088100.0,0.0,1.0
2018-07-05,0.285,0.29,0.28,0.285,0.285,12924700.0,0.0,1.0
2018-07-04,0.28,0.29,0.28,0.285,0.285,20763800.0,0.0,1.0
2018-07-03,0.28,0.29,0.28,0.285,0.285,18723600.0,0.0,1.0
2018-07-02,0.285,0.285,0.275,0.28,0.28,7688500.0,0.0,1.0
2018-06-29,0.28,0.29,0.275,0.28,0.28,22964300.0,0.0,1.0
2018-06-28,0.28,0.285,0.275,0.28,0.28,22425600.0,0.0,1.0
2018-06-27,0.285,0.285,0.275,0.28,0.28,48354400.0,0.0,1.0
2018-06-26,0.28,0.285,0.28,0.28,0.28,14347800.0,0.0,1.0
2018-06-25,0.29,0.29,0.28,0.28,0.28,16026700.0,0.0,1.0
2018-06-22,0.285,0.29,0.28,0.285,0.285,57643900.0,0.0,1.0
2018-06-21,0.295,0.295,0.285,0.285,0.285,30922800.0,0.0,1.0
2018-06-20,0.295,0.3,0.29,0.295,0.295,19783500.0,0.0,1.0
2018-06-19,0.3,0.305,0.29,0.29,0.29,36143800.0,0.0,1.0
2018-06-18,0.3,0.3,0.295,0.3,0.3,19261900.0,0.0,1.0
2018-06-14,0.305,0.305,0.295,0.295,0.295,53083500.0,0.0,1.0
2018-06-13,0.305,0.305,0.3,0.3,0.3,7841600.0,0.0,1.0
2018-06-12,0.31,0.315,0.3,0.3,0.3,18610300.0,0.0,1.0
2018-06-11,0.32,0.32,0.31,0.315,0.315,16842600.0,0.0,1.0
2018-06-08,0.305,0.34,0.3,0.315,0.315,110743700.0,0.0,1.0
2018-06-07,0.31,0.31,0.3,0.305,0.305,42965600.0,0.0,1.0
2018-06-06,0.29,0.31,0.29,0.305,0.305,109172200.0,0.0,1.0
2018-06-05,0.28,0.295,0.28,0.285,0.285,93719400.0,0.0,1.0
2018-06-04,0.275,0.28,0.27,0.28,0.28,40127800.0,0.0,1.0
2018-06-01,0.275,0.28,0.265,0.27,0.27,151254347.0,0.0,1.0
2018-05-31,0.295,0.3,0.275,0.275,0.275,567994447.0,0.0,1.0
2018-05-30,0.315,0.315,0.295,0.295,0.295,110147700.0,0.0,1.0
2018-05-28,0.33,0.33,0.315,0.32,0.32,33609649.0,0.0,1.0
