date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,7.23,7.27,7.21,7.25,7.25,934100.0,0.0,1.0
2018-07-17,7.27,7.27,7.16,7.19,7.19,1280100.0,0.0,1.0
2018-07-16,7.3,7.3,7.2,7.25,7.25,1912200.0,0.0,1.0
2018-07-13,7.3,7.34,7.26,7.28,7.28,794800.0,0.0,1.0
2018-07-12,7.32,7.34,7.27,7.3,7.3,812200.0,0.0,1.0
2018-07-11,7.29,7.34,7.25,7.34,7.34,958500.0,0.0,1.0
2018-07-10,7.2,7.32,7.2,7.3,7.3,2145960.0,0.0,1.0
2018-07-09,7.11,7.18,7.1,7.15,7.15,1240100.0,0.0,1.0
2018-07-06,7.08,7.14,7.0,7.13,7.13,1131200.0,0.0,1.0
2018-07-05,7.06,7.13,7.06,7.1,7.1,575800.0,0.0,1.0
2018-07-04,7.09,7.12,7.06,7.08,7.08,918900.0,0.0,1.0
2018-07-03,7.1,7.21,7.09,7.09,7.09,1831000.0,0.0,1.0
2018-07-02,7.16,7.18,7.12,7.13,7.13,748200.0,0.0,1.0
2018-06-29,7.18,7.2,7.12,7.15,7.15,1783400.0,0.0,1.0
2018-06-28,7.13,7.21,7.12,7.15,7.15,2268300.0,0.0,1.0
2018-06-27,7.18,7.19,7.13,7.19,7.19,1197300.0,0.0,1.0
2018-06-26,7.2,7.22,7.09,7.18,7.18,2670500.0,0.0,1.0
2018-06-25,7.2,7.26,7.17,7.25,7.25,1876100.0,0.0,1.0
2018-06-22,7.19,7.24,7.13,7.21,7.21,1183900.0,0.0,1.0
2018-06-21,7.21,7.24,7.18,7.2,7.2,1145700.0,0.0,1.0
2018-06-20,7.11,7.24,7.11,7.21,7.21,2258500.0,0.0,1.0
2018-06-19,7.15,7.19,7.06,7.06,7.06,2464704.0,0.0,1.0
2018-06-18,7.13,7.2,7.1,7.14,7.14,2408700.0,0.0,1.0
2018-06-14,7.32,7.42,7.25,7.4,7.4,3963100.0,0.0,1.0
2018-06-13,7.36,7.36,7.29,7.31,7.31,978000.0,0.0,1.0
2018-06-12,7.32,7.36,7.27,7.34,7.34,1370100.0,0.0,1.0
2018-06-11,7.31,7.35,7.3,7.31,7.31,477100.0,0.0,1.0
2018-06-08,7.35,7.37,7.31,7.32,7.32,2214900.0,0.0,1.0
2018-06-07,7.26,7.37,7.26,7.35,7.35,3350000.0,0.0,1.0
2018-06-06,7.24,7.27,7.19,7.22,7.22,1841100.0,0.0,1.0
2018-06-05,7.28,7.28,7.22,7.23,7.23,1255100.0,0.0,1.0
2018-06-04,7.29,7.32,7.27,7.31,7.31,923600.0,0.0,1.0
2018-06-01,7.29,7.3,7.25,7.27,7.27,1706800.0,0.0,1.0
2018-05-31,7.3,7.3,7.2,7.26,7.26,6926200.0,0.0,1.0
2018-05-30,7.18,7.28,7.17,7.28,7.28,1506400.0,0.0,1.0
2018-05-28,7.24,7.29,7.2,7.23,7.23,1719500.0,0.0,1.0
2018-05-25,7.24,7.3,7.24,7.26,7.26,1066400.0,0.0,1.0
2018-05-24,7.18,7.25,7.15,7.22,7.22,1473500.0,0.0,1.0
2018-05-23,7.19,7.19,7.14,7.16,7.16,1135000.0,0.0,1.0
2018-05-22,7.19,7.19,7.16,7.19,7.19,393300.0,0.0,1.0
2018-05-21,7.14,7.19,7.14,7.16,7.16,522200.0,0.0,1.0
2018-05-18,7.16,7.19,7.14,7.16,7.16,1582000.0,0.0,1.0
2018-05-17,7.19,7.19,7.13,7.17,7.17,927100.0,0.0,1.0
2018-05-16,7.17,7.23,7.12,7.15,7.15,3728400.0,0.0,1.0
2018-05-15,7.2,7.25,7.14,7.15,7.15,2761900.0,0.0,1.0
2018-05-14,7.22,7.3,7.2,7.21,7.21,4391500.0,0.0,1.0
2018-05-11,7.26,7.31,7.19,7.21,7.21,2804400.0,0.0,1.0
2018-05-10,7.35,7.4,7.23,7.26,7.26,2432600.0,0.0,1.0
2018-05-09,7.4,7.4,7.3,7.39,7.39,2414100.0,0.0,1.0
2018-05-08,7.31,7.39,7.29,7.35,7.35,1857400.0,0.0,1.0
2018-05-07,7.28,7.29,7.2,7.24,7.24,1282600.0,0.0,1.0
2018-05-04,7.38,7.38,7.27,7.3,7.3,1839300.0,0.0,1.0
2018-05-03,7.31,7.44,7.3,7.33,7.33,2805200.0,0.0,1.0
2018-05-02,7.27,7.36,7.21,7.35,7.35,2745900.0,0.0,1.0
2018-04-30,7.17,7.27,7.14,7.25,7.25,1761400.0,0.0,1.0
2018-04-27,7.12,7.18,7.09,7.15,7.15,1284900.0,0.0,1.0
2018-04-26,7.1,7.14,7.08,7.14,7.14,1332300.0,0.0,1.0
2018-04-25,7.07,7.11,7.06,7.1,7.1,1328100.0,0.0,1.0
2018-04-24,7.11,7.13,7.07,7.13,7.13,1106200.0,0.0,1.0
2018-04-23,7.02,7.15,7.02,7.13,7.13,1275600.0,0.0,1.0
2018-04-20,7.06,7.06,7.01,7.03,7.03,1176400.0,0.0,1.0
2018-04-19,7.1,7.12,7.04,7.07,7.07,2070000.0,0.0,1.0
2018-04-18,7.08,7.1,7.02,7.09,7.09,756800.0,0.0,1.0
2018-04-17,7.11,7.11,7.03,7.03,7.03,881896.0,0.0,1.0
2018-04-16,7.08,7.1,7.04,7.09,7.09,1006820.0,0.0,1.0
2018-04-13,7.07,7.11,7.04,7.06,7.06,2161500.0,0.0,1.0
2018-04-12,7.15,7.15,7.05,7.12,7.12,1482200.0,0.0,1.0
2018-04-11,7.14,7.17,7.11,7.16,7.16,1699600.0,0.0,1.0
2018-04-10,7.0,7.2,6.99,7.14,7.14,4845100.0,0.0,1.0
2018-04-09,6.91,7.0,6.87,6.9,6.9,13726100.0,0.0,1.0
2018-04-06,6.87,6.93,6.85,6.93,6.93,711600.0,0.0,1.0
2018-04-05,6.92,6.94,6.86,6.89,6.89,1100600.0,0.0,1.0
2018-04-04,6.95,6.98,6.91,6.95,6.95,1368500.0,0.0,1.0
2018-04-03,6.88,6.93,6.87,6.92,6.92,1075300.0,0.0,1.0
2018-04-02,6.92,6.93,6.85,6.88,6.88,490100.0,0.0,1.0
2018-03-29,6.88,6.95,6.86,6.89,6.89,3255700.0,0.0,1.0
2018-03-28,6.86,6.9,6.84,6.86,6.86,2154100.0,0.0,1.0
2018-03-27,6.9,6.9,6.81,6.86,6.86,2349400.0,0.0,1.0
2018-03-26,6.81,6.88,6.8,6.84,6.84,1649000.0,0.0,1.0
2018-03-23,6.88,6.92,6.83,6.89,6.89,1800800.0,0.0,1.0
2018-03-22,6.82,6.98,6.77,6.94,6.94,2700500.0,0.0,1.0
2018-03-21,6.8,6.89,6.8,6.87,6.5617,1462900.0,0.0,1.0
2018-03-20,6.88,6.92,6.87,6.91,6.4662,1533600.0,0.0,1.0
2018-03-19,6.9,6.94,6.85,6.88,6.4381,1480500.0,0.0,1.0
2018-03-16,6.94,6.94,6.85,6.85,6.41,2764100.0,0.0,1.0
2018-03-15,6.96,6.98,6.95,6.96,6.5129,1756500.0,0.0,1.0
2018-03-14,6.94,6.97,6.94,6.96,6.5129,1601800.0,0.0,1.0
2018-03-13,7.01,7.02,6.93,6.97,6.5223,1800100.0,0.0,1.0
2018-03-12,7.1,7.13,6.98,7.0,6.5504,1164500.0,0.0,1.0
2018-03-09,6.87,7.04,6.83,7.02,6.5691,2498100.0,0.0,1.0
2018-03-08,6.76,6.82,6.73,6.76,6.3258,1691000.0,0.0,1.0
2018-03-07,6.85,6.91,6.72,6.75,6.3164,2073400.0,0.0,1.0
