date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,64.5,64.87,64.44,64.61,64.61,188300.0,0.0,1.0
2018-07-17,64.64,65.0,63.89,65.0,65.0,180000.0,0.0,1.0
2018-07-16,64.9,64.9,63.94,64.67,64.67,138800.0,0.0,1.0
2018-07-13,64.69,64.9,64.42,64.9,64.9,155100.0,0.0,1.0
2018-07-12,64.5,64.68,64.31,64.47,64.47,120500.0,0.0,1.0
2018-07-11,64.19,64.8,63.87,64.79,64.79,179100.0,0.0,1.0
2018-07-10,63.6,64.92,63.6,64.51,64.51,146928.0,0.0,1.0
2018-07-09,63.78,63.78,63.1,63.3,63.3,152200.0,0.0,1.0
2018-07-06,63.26,63.65,62.71,63.6,63.6,103900.0,0.0,1.0
2018-07-05,63.21,63.53,62.87,63.45,63.45,101800.0,0.0,1.0
2018-07-04,63.45,63.73,63.13,63.3,63.3,104300.0,0.0,1.0
2018-07-03,63.74,63.74,63.1,63.2,63.2,178700.0,0.0,1.0
2018-07-02,63.4,63.6,62.96,63.2,63.2,173800.0,0.0,1.0
2018-06-29,63.0,63.47,62.65,63.1,63.1,228300.0,0.0,1.0
2018-06-28,63.2,63.45,63.01,63.3,63.3,230500.0,0.0,1.0
2018-06-27,63.0,63.02,62.66,63.0,63.0,154800.0,0.0,1.0
2018-06-26,62.78,63.05,62.49,63.01,63.01,239700.0,0.0,1.0
2018-06-25,63.2,63.22,62.3,62.59,62.59,161600.0,0.0,1.0
2018-06-22,63.17,63.27,62.61,63.23,63.23,255500.0,0.0,1.0
2018-06-21,63.15,63.48,62.54,62.74,62.74,105000.0,0.0,1.0
2018-06-20,62.0,62.6,61.99,62.54,62.54,76400.0,0.0,1.0
2018-06-19,62.61,62.77,61.51,62.0,62.0,298700.0,0.0,1.0
2018-06-18,62.63,62.82,62.35,62.5,62.5,262401.0,0.0,1.0
2018-06-14,62.22,62.8,62.2,62.74,62.74,419500.0,0.0,1.0
2018-06-13,62.62,62.84,62.2,62.2,62.2,192850.0,0.0,1.0
2018-06-12,62.59,62.95,62.3,62.55,62.55,141800.0,0.0,1.0
2018-06-11,62.57,62.64,62.4,62.59,62.59,157600.0,0.0,1.0
2018-06-08,62.39,62.67,62.15,62.41,62.41,167200.0,0.0,1.0
2018-06-07,63.29,63.37,62.31,62.69,62.69,157800.0,0.0,1.0
2018-06-06,62.7,63.26,62.48,62.7,62.7,262000.0,0.0,1.0
2018-06-05,62.47,62.55,61.63,62.14,62.14,246000.0,0.0,1.0
2018-06-04,62.39,62.9,61.71,62.19,62.19,205800.0,0.0,1.0
2018-06-01,62.55,63.9,62.17,62.28,62.28,280226.0,0.0,1.0
2018-05-31,64.87,64.87,62.22,62.44,62.44,1633800.0,0.0,1.0
2018-05-30,64.5,65.11,63.66,64.33,64.33,423200.0,0.0,1.0
2018-05-28,65.2,65.98,64.57,65.51,65.51,153400.0,0.0,1.0
2018-05-25,64.35,64.9,64.05,64.47,64.47,131700.0,0.0,1.0
2018-05-24,64.38,65.0,64.03,64.8,64.8,261410.0,0.0,1.0
2018-05-23,65.12,65.12,64.35,64.68,64.68,319000.0,0.0,1.0
2018-05-22,62.89,65.0,62.81,64.87,64.87,251400.0,0.0,1.0
2018-05-21,62.7,63.45,62.28,62.9,62.9,129500.0,0.0,1.0
2018-05-18,61.97,62.65,61.76,62.45,62.45,253900.0,0.0,1.0
2018-05-17,62.03,62.5,61.69,61.8,61.8,132500.0,0.0,1.0
2018-05-16,62.3,62.9,61.96,62.22,62.22,301330.0,0.0,1.0
2018-05-15,62.4,62.82,62.19,62.42,62.42,168300.0,0.0,1.0
2018-05-14,61.0,61.8,60.81,61.8,61.8,180400.0,0.0,1.0
2018-05-11,61.88,62.15,60.75,60.9,60.9,162700.0,0.0,1.0
2018-05-10,61.4,61.41,60.72,61.33,61.33,180300.0,0.0,1.0
2018-05-09,60.97,61.29,60.61,60.96,60.96,217300.0,0.0,1.0
2018-05-08,60.5,61.23,60.21,60.87,60.87,169500.0,0.0,1.0
2018-05-07,60.55,60.83,59.89,60.3,60.3,188800.0,0.0,1.0
2018-05-04,60.06,60.28,59.75,60.19,60.19,264100.0,0.0,1.0
2018-05-03,60.75,61.23,59.93,60.02,60.02,281200.0,0.0,1.0
2018-05-02,60.5,61.25,60.18,60.75,60.75,403700.0,0.0,1.0
2018-04-30,60.76,61.06,60.54,60.73,60.73,116500.0,0.0,1.0
2018-04-27,61.5,61.69,59.83,60.46,60.46,357900.0,0.0,1.0
2018-04-26,61.55,61.77,61.26,61.63,61.63,198300.0,0.0,1.0
2018-04-25,61.56,61.59,61.48,61.51,61.51,83200.0,0.0,1.0
2018-04-24,61.5,61.6,61.0,61.5,61.5,203000.0,0.0,1.0
2018-04-23,61.5,61.61,61.3,61.5,61.5,212200.0,0.0,1.0
2018-04-20,61.48,61.96,61.03,61.96,61.96,297500.0,0.0,1.0
2018-04-19,60.99,61.65,60.99,61.57,61.57,447400.0,0.0,1.0
2018-04-18,60.65,61.22,60.5,61.22,61.22,310704.0,0.0,1.0
