date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,38.22,38.66,38.17,38.57,38.57,125200.0,0.0,1.0
2018-07-17,38.34,38.5,38.1,38.23,38.23,136100.0,0.0,1.0
2018-07-16,37.81,38.32,37.81,38.08,38.08,144100.0,0.0,1.0
2018-07-13,38.02,38.48,37.64,38.41,38.41,130800.0,0.0,1.0
2018-07-12,37.45,38.25,36.86,37.82,37.82,232500.0,0.0,1.0
2018-07-11,37.2,37.27,37.0,37.2,37.2,168500.0,0.0,1.0
2018-07-10,36.71,36.92,36.46,36.92,36.92,114100.0,0.0,1.0
2018-07-09,36.4,36.62,36.23,36.4,36.4,85900.0,0.0,1.0
2018-07-06,36.65,36.95,36.17,36.23,36.23,210100.0,0.0,1.0
2018-07-05,36.55,37.02,36.33,37.02,37.02,130400.0,0.0,1.0
2018-07-04,36.69,36.73,36.4,36.55,36.55,99600.0,0.0,1.0
2018-07-03,36.54,36.72,36.37,36.49,36.49,246700.0,0.0,1.0
2018-07-02,36.64,36.85,36.3,36.65,36.65,93100.0,0.0,1.0
2018-06-29,36.48,36.99,36.25,36.48,36.48,259600.0,0.0,1.0
2018-06-28,36.72,36.72,36.37,36.48,36.48,261100.0,0.0,1.0
2018-06-27,36.9,36.94,36.36,36.47,36.47,165000.0,0.0,1.0
2018-06-26,36.84,37.14,36.27,36.53,36.53,282300.0,0.0,1.0
2018-06-25,36.98,37.11,36.5,36.74,36.74,131322.0,0.0,1.0
2018-06-22,37.0,37.1,36.6,37.03,37.03,227400.0,0.0,1.0
2018-06-21,37.22,37.25,36.73,36.73,36.73,160200.0,0.0,1.0
2018-06-20,36.74,37.07,36.45,36.85,36.85,232100.0,0.0,1.0
2018-06-19,37.0,37.0,36.02,36.13,36.13,208000.0,0.0,1.0
2018-06-18,36.97,36.97,36.05,36.77,36.77,278500.0,0.0,1.0
2018-06-14,36.34,37.0,36.12,37.0,37.0,434200.0,0.0,1.0
2018-06-13,36.52,36.53,35.87,36.05,36.05,174900.0,0.0,1.0
2018-06-12,36.48,36.73,36.18,36.39,36.39,300200.0,0.0,1.0
2018-06-11,36.71,36.78,36.51,36.78,36.78,78500.0,0.0,1.0
2018-06-08,36.97,36.97,36.52,36.71,36.71,111100.0,0.0,1.0
2018-06-07,36.91,37.01,36.29,36.78,36.78,342400.0,0.0,1.0
2018-06-06,36.79,36.85,36.18,36.61,36.61,260300.0,0.0,1.0
2018-06-05,36.58,36.78,36.06,36.63,36.63,189400.0,0.0,1.0
2018-06-04,35.94,36.65,35.67,36.53,36.53,159200.0,0.0,1.0
2018-06-01,35.87,36.08,35.61,35.77,35.77,172433.0,0.0,1.0
2018-05-31,37.0,37.0,35.7,35.8,35.8,735400.0,0.0,1.0
2018-05-30,36.56,37.19,36.56,36.83,36.83,444800.0,0.0,1.0
2018-05-28,36.75,36.9,36.5,36.69,36.69,122500.0,0.0,1.0
2018-05-25,37.69,37.76,36.85,36.85,36.85,195300.0,0.0,1.0
2018-05-24,37.44,37.75,37.39,37.62,37.62,213742.0,0.0,1.0
2018-05-23,36.65,37.44,36.65,37.31,37.31,194800.0,0.0,1.0
2018-05-22,36.09,36.88,36.0,36.65,36.65,279700.0,0.0,1.0
2018-05-21,36.24,36.26,36.0,36.1,36.1,171200.0,0.0,1.0
2018-05-18,36.28,36.4,36.12,36.24,36.24,198000.0,0.0,1.0
2018-05-17,37.09,37.39,36.53,36.53,36.53,226500.0,0.0,1.0
2018-05-16,37.9,37.9,37.19,37.19,37.19,211800.0,0.0,1.0
2018-05-15,37.05,37.44,37.04,37.2,37.2,197100.0,0.0,1.0
2018-05-14,36.89,37.55,36.83,37.29,37.29,244000.0,0.0,1.0
2018-05-11,37.2,37.23,36.72,36.92,36.92,158100.0,0.0,1.0
2018-05-10,37.15,37.34,36.62,36.93,36.93,201500.0,0.0,1.0
2018-05-09,36.75,37.5,36.7,37.17,37.17,432400.0,0.0,1.0
2018-05-08,35.85,36.7,35.73,36.7,36.7,221700.0,0.0,1.0
2018-05-07,36.53,36.64,35.3,35.6,35.6,253400.0,0.0,1.0
2018-05-04,37.28,37.39,36.63,36.7,36.7,214200.0,0.0,1.0
2018-05-03,37.88,37.95,36.59,37.01,37.01,248800.0,0.0,1.0
2018-05-02,37.91,38.01,37.7,37.95,37.95,227500.0,0.0,1.0
2018-04-30,37.95,38.18,37.85,38.0,38.0,247500.0,0.0,1.0
2018-04-27,38.0,38.05,37.39,37.65,37.65,160200.0,0.0,1.0
2018-04-26,38.27,38.28,37.92,38.0,38.0,179300.0,0.0,1.0
2018-04-25,38.0,38.2,37.9,38.13,38.13,151200.0,0.0,1.0
2018-04-24,38.3,38.3,37.71,38.0,38.0,248500.0,0.0,1.0
2018-04-23,38.47,38.48,37.84,38.1,38.1,194078.0,0.0,1.0
2018-04-20,38.35,38.49,38.08,38.28,38.28,140500.0,0.0,1.0
2018-04-19,38.47,38.5,38.01,38.41,38.41,185900.0,0.0,1.0
2018-04-18,38.19,38.57,37.95,38.45,38.45,187000.0,0.0,1.0
2018-04-17,38.6,38.6,37.96,37.96,37.96,272400.0,0.0,1.0
2018-04-16,39.48,39.48,38.35,38.5,38.5,133700.0,0.0,1.0
2018-04-13,39.0,39.38,38.72,39.28,39.28,158600.0,0.0,1.0
2018-04-12,38.34,38.88,38.33,38.8,38.8,131000.0,0.0,1.0
2018-04-11,38.67,38.77,38.51,38.61,38.61,121600.0,0.0,1.0
2018-04-10,38.44,38.68,38.33,38.5,38.5,206100.0,0.0,1.0
2018-04-09,38.3,38.52,38.03,38.32,38.32,306700.0,0.0,1.0
2018-04-06,38.52,38.73,38.16,38.25,38.25,91200.0,0.0,1.0
2018-04-05,39.45,39.45,38.3,38.47,38.47,218900.0,0.0,1.0
2018-04-04,38.5,39.47,38.31,38.5,38.5,485100.0,0.0,1.0
2018-04-03,38.7,38.82,38.44,38.5,38.5,278900.0,0.0,1.0
2018-04-02,38.51,38.73,38.15,38.73,38.73,81400.0,0.0,1.0
2018-03-29,38.41,38.91,37.8,38.34,38.34,245100.0,0.0,1.0
2018-03-28,38.52,38.91,38.42,38.61,38.61,585200.0,0.0,1.0
2018-03-27,38.3,38.63,38.18,38.42,38.42,470700.0,0.0,1.0
2018-03-26,38.06,38.63,38.0,38.0,38.0,139400.0,0.0,1.0
2018-03-23,38.0,38.48,38.0,38.33,38.33,133600.0,0.0,1.0
2018-03-22,38.89,38.9,38.13,38.56,38.56,177800.0,0.0,1.0
2018-03-21,39.38,39.38,38.3,38.39,38.2248,193700.0,0.0,1.0
2018-03-20,39.82,39.82,39.17,39.38,38.9865,194200.0,0.0,1.0
2018-03-19,40.14,40.17,39.49,39.74,39.3429,202800.0,0.0,1.0
2018-03-16,39.0,40.19,38.44,40.19,39.7884,398800.0,0.0,1.0
2018-03-15,39.79,39.79,38.8,39.0,38.6103,152200.0,0.0,1.0
2018-03-14,39.8,39.8,39.22,39.4,39.0063,102200.0,0.0,1.0
2018-03-13,40.12,40.12,39.44,39.69,39.2934,257900.0,0.0,1.0
2018-03-12,39.72,40.39,39.72,40.15,39.7488,128100.0,0.0,1.0
2018-03-09,39.7,39.7,39.01,39.42,39.0261,140900.0,0.0,1.0
2018-03-08,38.87,39.59,38.82,39.3,38.9073,192000.0,0.0,1.0
2018-03-07,39.39,39.47,38.4,38.6,38.2143,255600.0,0.0,1.0
