date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,32.4,32.4,32.01,32.16,32.16,143800.0,0.0,1.0
2018-07-17,32.34,32.41,32.06,32.16,32.16,119500.0,0.0,1.0
2018-07-16,32.41,32.58,32.06,32.06,32.06,120300.0,0.0,1.0
2018-07-13,32.22,32.52,32.2,32.2,32.2,62000.0,0.0,1.0
2018-07-12,31.96,32.48,31.96,32.22,32.22,146100.0,0.0,1.0
2018-07-11,32.3,32.3,31.92,32.0,32.0,197650.0,0.0,1.0
2018-07-10,32.06,32.37,32.06,32.37,32.37,347400.0,0.0,1.0
2018-07-09,32.3,32.4,31.85,32.22,32.22,281600.0,0.0,1.0
2018-07-06,32.11,32.32,31.8,32.0,32.0,593300.0,0.0,1.0
2018-07-05,31.45,31.94,31.15,31.91,31.91,234400.0,0.0,1.0
2018-07-04,30.66,31.78,30.66,31.45,31.45,206200.0,0.0,1.0
2018-07-03,30.85,31.21,30.22,30.92,30.92,200800.0,0.0,1.0
2018-07-02,31.61,31.91,30.75,30.77,30.77,198300.0,0.0,1.0
2018-06-29,31.87,31.87,31.26,31.82,31.82,304700.0,0.0,1.0
2018-06-28,31.94,32.2,31.38,31.57,31.57,232700.0,0.0,1.0
2018-06-27,32.13,32.48,31.9,31.94,31.94,174100.0,0.0,1.0
2018-06-26,31.87,32.36,31.87,32.12,32.12,149500.0,0.0,1.0
2018-06-25,32.3,32.33,32.02,32.16,32.16,161900.0,0.0,1.0
2018-06-22,32.55,32.73,32.31,32.55,32.55,259600.0,0.0,1.0
2018-06-21,32.57,33.16,32.57,32.77,32.77,247700.0,0.0,1.0
2018-06-20,32.52,33.2,32.28,33.12,33.12,268000.0,0.0,1.0
2018-06-19,32.98,33.37,32.46,32.5,32.5,194700.0,0.0,1.0
2018-06-18,33.65,33.65,32.88,33.2,33.2,199400.0,0.0,1.0
2018-06-14,33.54,33.61,33.1,33.15,33.15,357200.0,0.0,1.0
2018-06-13,34.43,34.45,33.8,33.81,33.81,338800.0,0.0,1.0
2018-06-12,34.5,34.63,34.27,34.47,34.47,150800.0,0.0,1.0
2018-06-11,34.82,34.82,34.34,34.42,34.42,69800.0,0.0,1.0
2018-06-08,34.92,34.92,34.21,34.52,34.52,185200.0,0.0,1.0
2018-06-07,34.68,35.04,34.35,35.0,35.0,380100.0,0.0,1.0
2018-06-06,35.15,35.22,34.6,34.71,34.71,165500.0,0.0,1.0
2018-06-05,34.98,35.3,34.98,35.18,35.18,206500.0,0.0,1.0
2018-06-04,34.66,35.03,34.6,34.9,34.9,184200.0,0.0,1.0
2018-06-01,34.52,34.85,34.29,34.43,34.43,220400.0,0.0,1.0
2018-05-31,34.96,35.09,34.31,34.36,34.36,701200.0,0.0,1.0
2018-05-30,34.72,34.97,34.1,34.42,34.42,485800.0,0.0,1.0
