date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,6.7,6.88,6.7,6.85,6.85,6261400.0,0.0,1.0
2018-07-17,6.66,6.74,6.64,6.68,6.68,3434800.0,0.0,1.0
2018-07-16,6.69,6.7,6.65,6.65,6.65,1542200.0,0.0,1.0
2018-07-13,6.69,6.72,6.66,6.67,6.67,2357300.0,0.0,1.0
2018-07-12,6.65,6.7,6.61,6.69,6.69,3834300.0,0.0,1.0
2018-07-11,6.72,6.74,6.63,6.72,6.72,2922100.0,0.0,1.0
2018-07-10,6.81,6.84,6.73,6.77,6.77,4660200.0,0.0,1.0
2018-07-09,6.61,6.82,6.61,6.74,6.74,5350400.0,0.0,1.0
2018-07-06,6.9,6.92,6.56,6.58,6.58,15638100.0,0.0,1.0
2018-07-05,6.95,7.0,6.92,7.0,7.0,2425700.0,0.0,1.0
2018-07-04,6.98,7.01,6.9,6.94,6.94,3044400.0,0.0,1.0
2018-07-03,7.03,7.06,6.95,7.02,7.02,4018600.0,0.0,1.0
2018-07-02,7.16,7.2,6.97,7.01,7.01,4453400.0,0.0,1.0
2018-06-29,7.16,7.2,7.08,7.15,7.15,5278800.0,0.0,1.0
2018-06-28,7.11,7.18,7.08,7.08,7.08,4529300.0,0.0,1.0
2018-06-27,7.14,7.24,7.07,7.09,7.09,5744900.0,0.0,1.0
2018-06-26,7.05,7.13,7.03,7.09,7.09,3076500.0,0.0,1.0
2018-06-25,7.12,7.2,7.08,7.15,7.15,5230100.0,0.0,1.0
2018-06-22,7.05,7.12,7.03,7.05,7.05,2781800.0,0.0,1.0
2018-06-21,7.16,7.16,7.09,7.09,7.09,2444100.0,0.0,1.0
2018-06-20,7.08,7.17,7.04,7.12,7.12,4834600.0,0.0,1.0
2018-06-19,7.12,7.18,7.05,7.05,7.05,4380000.0,0.0,1.0
2018-06-18,7.18,7.23,7.06,7.12,7.12,5675300.0,0.0,1.0
2018-06-14,7.27,7.31,7.21,7.24,7.24,6112000.0,0.0,1.0
2018-06-13,7.48,7.52,7.25,7.32,7.32,7006200.0,0.0,1.0
2018-06-12,7.52,7.54,7.47,7.48,7.48,3862400.0,0.0,1.0
2018-06-11,7.62,7.62,7.51,7.53,7.53,2498800.0,0.0,1.0
2018-06-08,7.64,7.65,7.58,7.58,7.58,2595100.0,0.0,1.0
2018-06-07,7.66,7.69,7.62,7.65,7.65,3521300.0,0.0,1.0
2018-06-06,7.72,7.74,7.62,7.62,7.62,4166100.0,0.0,1.0
2018-06-05,7.8,7.82,7.7,7.71,7.71,2430000.0,0.0,1.0
2018-06-04,7.64,7.78,7.63,7.75,7.75,2440200.0,0.0,1.0
2018-06-01,7.66,7.68,7.61,7.65,7.65,3290200.0,0.0,1.0
2018-05-31,7.83,7.86,7.71,7.71,7.71,4359900.0,0.0,1.0
2018-05-30,7.82,7.82,7.7,7.76,7.76,5819700.0,0.0,1.0
2018-05-28,8.06,8.08,7.93,7.95,7.95,5578700.0,0.0,1.0
2018-05-25,8.17,8.21,8.13,8.15,8.15,2539500.0,0.0,1.0
2018-05-24,8.11,8.2,8.03,8.18,8.18,3055589.0,0.0,1.0
2018-05-23,8.24,8.24,8.06,8.08,8.08,4284500.0,0.0,1.0
2018-05-22,8.19,8.28,8.18,8.21,8.21,2918600.0,0.0,1.0
2018-05-21,8.21,8.27,8.18,8.19,8.19,2716600.0,0.0,1.0
2018-05-18,8.23,8.24,8.16,8.19,8.19,1685600.0,0.0,1.0
