date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,11.19,11.26,11.15,11.15,11.15,5583000.0,0.0,1.0
2018-07-17,11.19,11.21,11.06,11.12,11.12,6239700.0,0.0,1.0
2018-07-16,11.3,11.31,11.12,11.14,11.14,5195400.0,0.0,1.0
2018-07-13,11.33,11.36,11.26,11.3,11.3,3301300.0,0.0,1.0
2018-07-12,11.27,11.37,11.25,11.3,11.3,3294200.0,0.0,1.0
2018-07-11,11.33,11.39,11.24,11.33,11.33,6085800.0,0.0,1.0
2018-07-10,11.41,11.57,11.4,11.56,11.56,7043200.0,0.0,1.0
2018-07-09,11.24,11.39,11.24,11.31,11.31,4802200.0,0.0,1.0
2018-07-06,11.45,11.45,11.11,11.24,11.24,7407800.0,0.0,1.0
2018-07-05,11.53,11.58,11.45,11.5,11.5,2557300.0,0.0,1.0
2018-07-04,11.41,11.54,11.36,11.52,11.52,3834700.0,0.0,1.0
2018-07-03,11.52,11.58,11.34,11.47,11.47,4633100.0,0.0,1.0
2018-07-02,11.64,11.67,11.48,11.51,11.51,3059200.0,0.0,1.0
2018-06-29,11.67,11.73,11.52,11.64,11.64,7456700.0,0.0,1.0
2018-06-28,11.49,11.68,11.48,11.61,11.61,4728700.0,0.0,1.0
2018-06-27,11.61,11.76,11.5,11.5,11.5,5606400.0,0.0,1.0
2018-06-26,11.5,11.7,11.45,11.68,11.68,6628100.0,0.0,1.0
2018-06-25,11.72,11.77,11.52,11.6,11.6,4671200.0,0.0,1.0
2018-06-22,11.83,11.84,11.73,11.75,11.75,4467100.0,0.0,1.0
2018-06-21,11.9,12.0,11.86,11.87,11.87,5118800.0,0.0,1.0
2018-06-20,11.95,12.0,11.86,11.92,11.92,5635400.0,0.0,1.0
2018-06-19,11.93,12.13,11.86,11.86,11.86,7890900.0,0.0,1.0
2018-06-18,11.85,12.05,11.84,11.98,11.98,8983200.0,0.0,1.0
2018-06-14,12.25,12.29,12.05,12.13,12.13,12000400.0,0.0,1.0
2018-06-13,12.54,12.57,12.3,12.3,12.3,6518900.0,0.0,1.0
2018-06-12,12.66,12.67,12.54,12.54,12.54,3158500.0,0.0,1.0
2018-06-11,12.7,12.73,12.61,12.63,12.63,2809300.0,0.0,1.0
2018-06-08,12.73,12.79,12.58,12.58,12.58,4681500.0,0.0,1.0
2018-06-07,12.88,12.91,12.78,12.84,12.84,7503300.0,0.0,1.0
2018-06-06,12.8,12.9,12.72,12.8,12.8,8349500.0,0.0,1.0
2018-06-05,12.8,12.91,12.8,12.88,12.88,3963896.0,0.0,1.0
2018-06-04,12.6,12.77,12.6,12.77,12.77,3569600.0,0.0,1.0
2018-06-01,12.47,12.56,12.45,12.53,12.53,5758585.0,0.0,1.0
2018-05-31,12.79,12.79,12.54,12.54,12.54,9965700.0,0.0,1.0
2018-05-30,12.61,12.65,12.51,12.6,12.6,9082500.0,0.0,1.0
2018-05-28,12.97,13.05,12.95,12.99,12.99,2476500.0,0.0,1.0
2018-05-25,13.0,13.07,12.94,12.97,12.97,2833300.0,0.0,1.0
2018-05-24,12.91,13.03,12.86,12.99,12.99,6519441.0,0.0,1.0
2018-05-23,13.02,13.02,12.76,12.78,12.78,7939674.0,0.0,1.0
2018-05-22,13.07,13.14,13.0,13.02,13.02,2739408.0,0.0,1.0
2018-05-21,13.09,13.22,13.05,13.1,13.1,5314200.0,0.0,1.0
2018-05-18,12.97,13.05,12.96,13.01,13.01,4491200.0,0.0,1.0
2018-05-17,13.24,13.29,13.16,13.2,13.01,5073100.0,0.0,1.0
2018-05-16,13.0,13.21,13.0,13.19,13.0001,5213700.0,0.0,1.0
2018-05-15,13.15,13.2,13.06,13.06,12.872,4869000.0,0.0,1.0
2018-05-14,13.14,13.2,13.09,13.16,12.9706,4071600.0,0.0,1.0
2018-05-11,13.22,13.23,13.07,13.14,12.9509,8585200.0,0.0,1.0
2018-05-10,13.08,13.2,13.07,13.13,12.941,4611200.0,0.0,1.0
2018-05-09,13.22,13.27,13.02,13.14,12.9509,5854000.0,0.0,1.0
2018-05-08,13.18,13.19,12.92,13.08,12.8917,8249600.0,0.0,1.0
2018-05-07,13.6,13.6,13.15,13.17,12.9804,13033600.0,0.0,1.0
2018-05-04,13.77,13.78,13.56,13.65,13.4535,4803300.0,0.0,1.0
2018-05-03,13.92,13.93,13.68,13.75,13.5521,4497845.0,0.0,1.0
2018-05-02,13.9,14.04,13.83,13.96,13.7591,6684500.0,0.0,1.0
2018-04-30,13.82,13.94,13.8,13.8,13.6014,11665750.0,0.0,1.0
2018-04-27,13.8,13.85,13.63,13.65,13.4535,5752100.0,0.0,1.0
2018-04-26,13.8,13.8,13.65,13.76,13.5619,5574500.0,0.0,1.0
2018-04-25,13.64,13.74,13.58,13.69,13.4929,5328200.0,0.0,1.0
2018-04-24,13.7,13.77,13.54,13.74,13.5422,6887700.0,0.0,1.0
2018-04-23,13.72,13.78,13.66,13.7,13.5028,6162000.0,0.0,1.0
2018-04-20,13.65,13.78,13.61,13.73,13.5324,5663500.0,0.0,1.0
2018-04-19,13.58,13.78,13.57,13.74,13.5422,8139000.0,0.0,1.0
2018-04-18,13.3,13.53,13.3,13.52,13.3254,11527900.0,0.0,1.0
2018-04-17,13.2,13.26,13.16,13.22,13.0297,6778200.0,0.0,1.0
2018-04-16,13.08,13.15,13.03,13.1,12.9114,4490200.0,0.0,1.0
2018-04-13,12.97,13.1,12.93,13.08,12.8917,5478500.0,0.0,1.0
2018-04-12,13.0,13.03,12.8,12.84,12.6552,5215750.0,0.0,1.0
2018-04-11,12.92,12.98,12.87,12.96,12.7735,5503000.0,0.0,1.0
2018-04-10,12.7,12.91,12.65,12.85,12.665,11444100.0,0.0,1.0
2018-04-09,12.77,12.86,12.58,12.8,12.6158,4418600.0,0.0,1.0
2018-04-06,12.47,12.77,12.4,12.76,12.5763,6959643.0,0.0,1.0
2018-04-05,12.52,12.73,12.52,12.56,12.3792,6765400.0,0.0,1.0
2018-04-04,12.76,12.76,12.26,12.29,12.1131,7409900.0,0.0,1.0
2018-04-03,12.69,12.72,12.56,12.7,12.5172,5739298.0,0.0,1.0
2018-04-02,12.87,12.87,12.76,12.77,12.5862,2411600.0,0.0,1.0
2018-03-29,12.57,12.86,12.57,12.82,12.6355,11054400.0,0.0,1.0
2018-03-28,12.84,12.84,12.6,12.61,12.4285,6401109.0,0.0,1.0
2018-03-27,12.95,12.98,12.83,12.94,12.7537,4042700.0,0.0,1.0
2018-03-26,12.8,12.88,12.62,12.8,12.6158,7158900.0,0.0,1.0
2018-03-23,12.94,12.94,12.71,12.87,12.6847,9746400.0,0.0,1.0
2018-03-22,13.48,13.48,13.23,13.26,13.0691,3388700.0,0.0,1.0
2018-03-21,13.4,13.45,13.33,13.42,13.2268,3512000.0,0.0,1.0
2018-03-20,13.11,13.37,13.09,13.37,13.1776,3935800.0,0.0,1.0
2018-03-19,13.27,13.27,13.15,13.18,12.9903,3886400.0,0.0,1.0
2018-03-16,13.4,13.41,13.3,13.3,13.1086,4568900.0,0.0,1.0
2018-03-15,13.39,13.52,13.32,13.43,13.2367,3206544.0,0.0,1.0
2018-03-14,13.5,13.58,13.42,13.53,13.3353,3327400.0,0.0,1.0
2018-03-13,13.4,13.58,13.4,13.58,13.3845,4915100.0,0.0,1.0
2018-03-12,13.45,13.5,13.39,13.44,13.2465,4632700.0,0.0,1.0
2018-03-09,13.35,13.37,13.22,13.25,13.0593,3151500.0,0.0,1.0
2018-03-08,13.25,13.32,13.24,13.31,13.1184,3399200.0,0.0,1.0
2018-03-07,13.29,13.34,13.2,13.21,13.0199,7905600.0,0.0,1.0
2018-03-06,13.28,13.4,13.24,13.4,13.2071,7701900.0,0.0,1.0
2018-03-05,13.21,13.21,12.97,13.09,12.9016,6517100.0,0.0,1.0
2018-03-02,12.99,13.14,12.99,13.06,12.872,4652800.0,0.0,1.0
2018-03-01,12.95,13.21,12.94,13.21,13.0199,6491600.0,0.0,1.0
2018-02-28,13.5,13.5,13.02,13.06,12.872,13572400.0,0.0,1.0
2018-02-27,13.5,13.61,13.31,13.33,13.1381,5868400.0,0.0,1.0
2018-02-26,13.48,13.48,13.4,13.47,13.2761,5389900.0,0.0,1.0
2018-02-23,13.28,13.39,13.28,13.37,13.1776,8015400.0,0.0,1.0
