date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,5.12,5.14,5.07,5.07,5.07,1618600.0,0.0,1.0
2018-07-17,5.04,5.14,5.01,5.08,5.08,1915300.0,0.0,1.0
2018-07-16,5.11,5.15,5.05,5.06,5.06,1209600.0,0.0,1.0
2018-07-13,5.11,5.14,5.1,5.11,5.11,1121000.0,0.0,1.0
2018-07-12,5.19,5.22,5.1,5.11,5.11,1532500.0,0.0,1.0
2018-07-11,5.1,5.21,5.09,5.16,5.16,1922100.0,0.0,1.0
2018-07-10,5.25,5.27,5.15,5.18,5.18,1448400.0,0.0,1.0
2018-07-09,5.04,5.22,5.03,5.19,5.19,1843500.0,0.0,1.0
2018-07-06,5.1,5.13,4.96,5.03,5.03,1847000.0,0.0,1.0
2018-07-05,5.01,5.07,4.99,5.07,5.07,1923100.0,0.0,1.0
2018-07-04,4.9,5.0,4.9,5.0,5.0,1262100.0,0.0,1.0
2018-07-03,4.93,4.95,4.87,4.93,4.93,2456400.0,0.0,1.0
2018-07-02,5.01,5.03,4.9,4.91,4.91,1789100.0,0.0,1.0
2018-06-29,4.96,5.0,4.93,5.0,5.0,2744900.0,0.0,1.0
2018-06-28,4.9,4.93,4.9,4.9,4.9,1877700.0,0.0,1.0
2018-06-27,4.95,4.96,4.9,4.92,4.92,1487900.0,0.0,1.0
2018-06-26,4.91,4.96,4.89,4.96,4.96,1400400.0,0.0,1.0
2018-06-25,4.95,4.96,4.89,4.9,4.9,1256400.0,0.0,1.0
2018-06-22,4.9,4.97,4.9,4.95,4.95,1175400.0,0.0,1.0
2018-06-21,4.88,4.98,4.88,4.9,4.9,1512800.0,0.0,1.0
2018-06-20,4.9,4.9,4.83,4.87,4.87,1597900.0,0.0,1.0
2018-06-19,4.96,4.97,4.88,4.89,4.89,3150500.0,0.0,1.0
2018-06-18,4.99,5.0,4.96,4.97,4.97,2921400.0,0.0,1.0
2018-06-14,5.06,5.06,4.96,5.02,5.02,4194400.0,0.0,1.0
2018-06-13,5.06,5.07,5.03,5.06,5.06,2250700.0,0.0,1.0
2018-06-12,5.05,5.07,5.02,5.03,5.03,2251600.0,0.0,1.0
2018-06-11,5.14,5.14,5.01,5.07,5.07,2375700.0,0.0,1.0
2018-06-08,5.17,5.17,5.12,5.13,5.13,994500.0,0.0,1.0
2018-06-07,5.19,5.2,5.14,5.15,5.15,1854400.0,0.0,1.0
2018-06-06,5.21,5.23,5.16,5.17,5.17,2272400.0,0.0,1.0
2018-06-05,5.25,5.27,5.22,5.22,5.22,923200.0,0.0,1.0
2018-06-04,5.25,5.28,5.21,5.24,5.24,1382200.0,0.0,1.0
2018-06-01,5.18,5.25,5.16,5.25,5.25,2006600.0,0.0,1.0
2018-05-31,5.3,5.32,5.16,5.16,5.16,4483200.0,0.0,1.0
2018-05-30,5.3,5.35,5.25,5.28,5.28,2579600.0,0.0,1.0
2018-05-28,5.37,5.39,5.35,5.35,5.35,988900.0,0.0,1.0
2018-05-25,5.43,5.44,5.34,5.34,5.34,2217000.0,0.0,1.0
2018-05-24,5.3,5.42,5.3,5.42,5.42,916305.0,0.0,1.0
2018-05-23,5.4,5.41,5.3,5.3,5.3,2309200.0,0.0,1.0
2018-05-22,5.44,5.46,5.4,5.41,5.41,810300.0,0.0,1.0
2018-05-21,5.45,5.5,5.44,5.48,5.48,860100.0,0.0,1.0
2018-05-18,5.44,5.47,5.39,5.44,5.44,567700.0,0.0,1.0
2018-05-17,5.45,5.49,5.42,5.44,5.44,1056500.0,0.0,1.0
2018-05-16,5.43,5.5,5.32,5.37,5.37,3100700.0,0.0,1.0
2018-05-15,5.55,5.6,5.51,5.56,5.56,879400.0,0.0,1.0
2018-05-14,5.58,5.59,5.52,5.54,5.54,630500.0,0.0,1.0
2018-05-11,5.54,5.58,5.5,5.57,5.57,810200.0,0.0,1.0
2018-05-10,5.55,5.56,5.48,5.5,5.5,619400.0,0.0,1.0
2018-05-09,5.54,5.6,5.51,5.57,5.57,1800900.0,0.0,1.0
2018-05-08,5.49,5.54,5.46,5.5,5.5,866700.0,0.0,1.0
2018-05-07,5.49,5.52,5.46,5.49,5.49,559300.0,0.0,1.0
2018-05-04,5.46,5.52,5.41,5.46,5.46,960900.0,0.0,1.0
2018-05-03,5.58,5.64,5.42,5.44,5.44,3696400.0,0.0,1.0
2018-05-02,5.56,5.62,5.55,5.6,5.6,2395900.0,0.0,1.0
2018-04-30,5.48,5.58,5.43,5.54,5.54,2348200.0,0.0,1.0
2018-04-27,5.45,5.49,5.44,5.47,5.47,1201100.0,0.0,1.0
2018-04-26,5.45,5.47,5.38,5.42,5.42,1924600.0,0.0,1.0
2018-04-25,5.44,5.44,5.37,5.39,5.39,1188700.0,0.0,1.0
2018-04-24,5.43,5.44,5.36,5.43,5.43,1032000.0,0.0,1.0
2018-04-23,5.37,5.5,5.37,5.43,5.43,1287900.0,0.0,1.0
2018-04-20,5.45,5.46,5.34,5.39,5.39,1404800.0,0.0,1.0
2018-04-19,5.42,5.52,5.39,5.49,5.49,1919000.0,0.0,1.0
2018-04-18,5.29,5.47,5.27,5.45,5.45,2841400.0,0.0,1.0
2018-04-17,5.22,5.3,5.19,5.27,5.27,2134900.0,0.0,1.0
2018-04-16,5.21,5.21,5.16,5.21,5.21,1272400.0,0.0,1.0
2018-04-13,5.22,5.23,5.16,5.2,5.2,959500.0,0.0,1.0
2018-04-12,5.24,5.24,5.16,5.18,5.18,1142400.0,0.0,1.0
2018-04-11,5.25,5.26,5.18,5.21,5.21,1010200.0,0.0,1.0
2018-04-10,5.18,5.27,5.15,5.22,5.22,1495500.0,0.0,1.0
2018-04-09,5.16,5.22,5.14,5.2,5.2,740400.0,0.0,1.0
2018-04-06,5.17,5.2,5.09,5.17,5.17,1919200.0,0.0,1.0
2018-04-05,5.08,5.28,5.08,5.22,5.22,1678400.0,0.0,1.0
2018-04-04,5.18,5.18,5.04,5.06,5.06,1702500.0,0.0,1.0
2018-04-03,5.09,5.2,5.09,5.15,5.15,1140200.0,0.0,1.0
2018-04-02,5.19,5.21,5.14,5.19,5.19,917300.0,0.0,1.0
2018-03-29,5.05,5.17,5.05,5.13,5.13,2595700.0,0.0,1.0
2018-03-28,5.06,5.1,5.04,5.05,5.05,1480100.0,0.0,1.0
2018-03-27,5.07,5.15,5.05,5.11,5.11,1434600.0,0.0,1.0
2018-03-26,5.08,5.13,5.05,5.08,5.08,1412900.0,0.0,1.0
2018-03-23,5.04,5.12,5.04,5.11,5.11,2340400.0,0.0,1.0
2018-03-22,5.2,5.2,5.14,5.15,5.15,798900.0,0.0,1.0
2018-03-21,5.16,5.24,5.14,5.15,5.15,704200.0,0.0,1.0
2018-03-20,5.19,5.22,5.14,5.19,5.19,970900.0,0.0,1.0
2018-03-19,5.22,5.3,5.18,5.2,5.2,1378500.0,0.0,1.0
2018-03-16,5.15,5.24,5.13,5.24,5.24,1764800.0,0.0,1.0
2018-03-15,5.11,5.2,5.11,5.14,5.14,1144300.0,0.0,1.0
2018-03-14,5.17,5.17,5.11,5.15,5.15,815000.0,0.0,1.0
2018-03-13,5.22,5.22,5.16,5.2,5.2,1104200.0,0.0,1.0
2018-03-12,5.17,5.26,5.15,5.23,5.23,1866900.0,0.0,1.0
2018-03-09,5.04,5.17,5.04,5.12,5.12,2883300.0,0.0,1.0
2018-03-08,5.02,5.07,4.99,5.03,5.03,1380400.0,0.0,1.0
2018-03-07,4.95,5.02,4.95,4.99,4.99,2125000.0,0.0,1.0
2018-03-06,5.0,5.04,4.98,4.98,4.98,1578000.0,0.0,1.0
2018-03-05,5.02,5.03,4.93,4.95,4.95,1582400.0,0.0,1.0
2018-03-02,5.1,5.1,4.98,5.0,5.0,4598300.0,0.0,1.0
2018-03-01,5.18,5.19,5.12,5.13,5.13,1840100.0,0.0,1.0
2018-02-28,5.23,5.23,5.19,5.2,5.2,2146500.0,0.0,1.0
2018-02-27,5.21,5.24,5.2,5.2,5.2,1179600.0,0.0,1.0
2018-02-26,5.19,5.22,5.19,5.2,5.2,1313100.0,0.0,1.0
2018-02-23,5.21,5.24,5.19,5.2,5.2,1490700.0,0.0,1.0
