date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,7.49,7.49,7.44,7.48,7.48,1458300.0,0.0,1.0
2018-07-17,7.4,7.5,7.4,7.45,7.45,2014100.0,0.0,1.0
2018-07-16,7.51,7.51,7.37,7.44,7.44,2641800.0,0.0,1.0
2018-07-13,7.42,7.49,7.42,7.49,7.49,1201400.0,0.0,1.0
2018-07-12,7.39,7.5,7.36,7.44,7.44,2842000.0,0.0,1.0
2018-07-11,7.3,7.42,7.26,7.39,7.39,2694000.0,0.0,1.0
2018-07-10,7.43,7.52,7.29,7.34,7.34,3477700.0,0.0,1.0
2018-07-09,7.09,7.3,7.05,7.3,7.3,3439900.0,0.0,1.0
2018-07-06,7.16,7.18,7.05,7.05,7.05,2333200.0,0.0,1.0
2018-07-05,7.12,7.16,7.09,7.12,7.12,1015900.0,0.0,1.0
2018-07-04,7.12,7.16,7.1,7.12,7.12,933600.0,0.0,1.0
2018-07-03,7.12,7.2,7.1,7.16,7.16,1410400.0,0.0,1.0
2018-07-02,7.2,7.22,7.12,7.14,7.14,1196200.0,0.0,1.0
2018-06-29,7.08,7.19,7.07,7.17,7.17,3408900.0,0.0,1.0
2018-06-28,7.05,7.13,7.05,7.08,7.08,2298800.0,0.0,1.0
2018-06-27,7.14,7.23,7.13,7.16,7.16,1708000.0,0.0,1.0
2018-06-26,7.06,7.15,7.06,7.13,7.13,1196500.0,0.0,1.0
2018-06-25,7.2,7.2,7.07,7.1,7.1,2168500.0,0.0,1.0
2018-06-22,7.2,7.21,7.14,7.17,7.17,1860900.0,0.0,1.0
2018-06-21,7.24,7.28,7.19,7.25,7.25,2442600.0,0.0,1.0
2018-06-20,7.2,7.24,7.14,7.19,7.19,1176300.0,0.0,1.0
2018-06-19,7.16,7.23,7.14,7.15,7.15,1971400.0,0.0,1.0
2018-06-18,7.18,7.27,7.14,7.19,7.19,2475700.0,0.0,1.0
2018-06-14,7.23,7.24,7.15,7.21,7.21,4286100.0,0.0,1.0
2018-06-13,7.24,7.27,7.22,7.24,7.24,1874200.0,0.0,1.0
2018-06-12,7.25,7.32,7.25,7.25,7.25,925900.0,0.0,1.0
2018-06-11,7.3,7.3,7.24,7.25,7.25,1303200.0,0.0,1.0
2018-06-08,7.25,7.29,7.23,7.25,7.25,1300900.0,0.0,1.0
2018-06-07,7.28,7.29,7.25,7.26,7.26,1532200.0,0.0,1.0
2018-06-06,7.26,7.34,7.26,7.28,7.28,1591000.0,0.0,1.0
2018-06-05,7.27,7.3,7.26,7.28,7.28,1291200.0,0.0,1.0
2018-06-04,7.26,7.29,7.23,7.26,7.26,1030900.0,0.0,1.0
2018-06-01,7.24,7.28,7.21,7.23,7.23,1910900.0,0.0,1.0
2018-05-31,7.31,7.34,7.24,7.24,7.24,2559400.0,0.0,1.0
2018-05-30,7.3,7.33,7.23,7.25,7.25,5350300.0,0.0,1.0
2018-05-28,7.4,7.46,7.36,7.37,7.37,1940200.0,0.0,1.0
2018-05-25,7.45,7.46,7.39,7.39,7.39,2166900.0,0.0,1.0
2018-05-24,7.44,7.51,7.42,7.51,7.51,1788531.0,0.0,1.0
2018-05-23,7.5,7.5,7.39,7.39,7.39,3031300.0,0.0,1.0
2018-05-22,7.5,7.51,7.46,7.48,7.48,3198700.0,0.0,1.0
2018-05-21,7.65,7.69,7.61,7.64,7.64,941200.0,0.0,1.0
2018-05-18,7.66,7.69,7.63,7.65,7.65,847700.0,0.0,1.0
2018-05-17,7.68,7.69,7.64,7.66,7.66,1157200.0,0.0,1.0
2018-05-16,7.65,7.69,7.58,7.61,7.61,2147200.0,0.0,1.0
2018-05-15,7.7,7.72,7.66,7.67,7.67,921700.0,0.0,1.0
2018-05-14,7.74,7.74,7.66,7.69,7.69,1069900.0,0.0,1.0
2018-05-11,7.75,7.75,7.7,7.71,7.71,1548200.0,0.0,1.0
2018-05-10,7.68,7.72,7.63,7.67,7.67,2671100.0,0.0,1.0
2018-05-09,7.69,7.74,7.67,7.72,7.72,2101900.0,0.0,1.0
2018-05-08,7.66,7.67,7.61,7.66,7.66,1674600.0,0.0,1.0
