date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-17,10.39,10.75,10.38,10.75,10.75,2178700.0,0.0,1.0
2018-07-16,10.43,10.49,10.38,10.38,10.38,1026100.0,0.0,1.0
2018-07-13,10.48,10.53,10.46,10.46,10.46,845000.0,0.0,1.0
2018-07-12,10.41,10.57,10.39,10.51,10.51,1584300.0,0.0,1.0
2018-07-11,10.35,10.45,10.3,10.45,10.45,1442700.0,0.0,1.0
2018-07-10,10.41,10.44,10.35,10.41,10.41,1373400.0,0.0,1.0
2018-07-09,10.26,10.38,10.22,10.33,10.33,1000600.0,0.0,1.0
2018-07-06,10.4,10.44,10.15,10.17,10.17,2124400.0,0.0,1.0
2018-07-05,10.3,10.4,10.29,10.37,10.37,1299900.0,0.0,1.0
2018-07-04,10.4,10.41,10.32,10.32,10.32,1185200.0,0.0,1.0
2018-07-03,10.57,10.57,10.3,10.4,10.4,1836200.0,0.0,1.0
2018-07-02,10.71,10.71,10.42,10.42,10.42,2836100.0,0.0,1.0
2018-06-29,10.8,10.8,10.68,10.69,10.69,2255400.0,0.0,1.0
2018-06-28,10.76,10.79,10.71,10.72,10.72,1445500.0,0.0,1.0
2018-06-27,10.97,10.97,10.8,10.82,10.82,1000900.0,0.0,1.0
2018-06-26,10.75,10.89,10.67,10.87,10.87,1296400.0,0.0,1.0
2018-06-25,11.01,11.04,10.75,10.75,10.75,1705200.0,0.0,1.0
2018-06-22,10.96,11.07,10.93,11.02,11.02,1110200.0,0.0,1.0
2018-06-21,11.01,11.04,10.97,11.01,11.01,865500.0,0.0,1.0
2018-06-20,11.05,11.18,11.0,11.07,11.07,1323600.0,0.0,1.0
2018-06-19,11.27,11.34,11.08,11.11,11.11,1453600.0,0.0,1.0
2018-06-18,11.1,11.37,11.08,11.2,11.2,2026200.0,0.0,1.0
2018-06-14,11.42,11.42,11.17,11.19,11.19,2767200.0,0.0,1.0
2018-06-13,11.56,11.59,11.43,11.49,11.49,1220300.0,0.0,1.0
2018-06-12,11.5,11.67,11.43,11.5,11.5,1375600.0,0.0,1.0
2018-06-11,11.48,11.55,11.38,11.55,11.55,828800.0,0.0,1.0
2018-06-08,11.56,11.56,11.38,11.43,11.43,997900.0,0.0,1.0
2018-06-07,11.57,11.66,11.56,11.64,11.64,1303500.0,0.0,1.0
2018-06-06,11.52,11.59,11.49,11.58,11.58,1326300.0,0.0,1.0
2018-06-05,11.49,11.57,11.48,11.55,11.55,867500.0,0.0,1.0
2018-06-04,11.41,11.48,11.35,11.48,11.48,829200.0,0.0,1.0
2018-06-01,11.35,11.47,11.3,11.42,11.42,1997123.0,0.0,1.0
2018-05-31,11.69,11.69,11.26,11.28,11.28,4048300.0,0.0,1.0
2018-05-30,11.54,11.66,11.48,11.55,11.55,1784500.0,0.0,1.0
2018-05-28,11.72,11.8,11.71,11.76,11.76,789800.0,0.0,1.0
2018-05-25,11.71,11.84,11.65,11.69,11.69,1825900.0,0.0,1.0
2018-05-24,11.56,11.75,11.55,11.69,11.69,2339657.0,0.0,1.0
2018-05-23,11.65,11.68,11.43,11.51,11.51,2128100.0,0.0,1.0
2018-05-22,11.68,11.78,11.55,11.65,11.65,1443400.0,0.0,1.0
2018-05-21,11.58,11.79,11.58,11.68,11.68,3222600.0,0.0,1.0
2018-05-18,11.33,11.58,11.27,11.56,11.56,3746500.0,0.0,1.0
2018-05-17,11.08,11.15,11.03,11.14,11.14,899800.0,0.0,1.0
2018-05-16,10.93,11.09,10.92,11.0,11.0,1817700.0,0.0,1.0
