date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,2.83,2.84,2.8,2.81,2.81,4150800.0,0.0,1.0
2018-07-17,2.76,2.84,2.76,2.83,2.83,9286200.0,0.0,1.0
2018-07-16,2.79,2.79,2.76,2.77,2.77,2453400.0,0.0,1.0
2018-07-13,2.78,2.79,2.75,2.79,2.79,3260400.0,0.0,1.0
2018-07-12,2.74,2.79,2.74,2.76,2.76,7636800.0,0.0,1.0
2018-07-11,2.75,2.75,2.71,2.75,2.75,4397200.0,0.0,1.0
2018-07-10,2.75,2.78,2.73,2.77,2.77,6407400.0,0.0,1.0
2018-07-09,2.7,2.75,2.7,2.75,2.75,4673800.0,0.0,1.0
2018-07-06,2.68,2.7,2.68,2.7,2.7,7053300.0,0.0,1.0
2018-07-05,2.61,2.67,2.59,2.67,2.67,6070300.0,0.0,1.0
2018-07-04,2.6,2.61,2.59,2.59,2.59,1943600.0,0.0,1.0
2018-07-03,2.6,2.62,2.56,2.61,2.61,5342200.0,0.0,1.0
2018-07-02,2.6,2.61,2.57,2.59,2.59,2199800.0,0.0,1.0
2018-06-29,2.65,2.65,2.59,2.6,2.6,4889300.0,0.0,1.0
2018-06-28,2.6,2.61,2.57,2.6,2.6,3165000.0,0.0,1.0
2018-06-27,2.62,2.62,2.56,2.58,2.58,3367300.0,0.0,1.0
2018-06-26,2.59,2.63,2.58,2.61,2.61,4107900.0,0.0,1.0
2018-06-25,2.67,2.67,2.59,2.6,2.6,3070600.0,0.0,1.0
2018-06-22,2.59,2.68,2.58,2.67,2.67,5319500.0,0.0,1.0
2018-06-21,2.56,2.62,2.55,2.6,2.6,3333700.0,0.0,1.0
2018-06-20,2.59,2.59,2.56,2.57,2.57,2990200.0,0.0,1.0
2018-06-19,2.62,2.65,2.58,2.59,2.59,3811100.0,0.0,1.0
2018-06-18,2.64,2.68,2.62,2.64,2.64,4239000.0,0.0,1.0
2018-06-14,2.69,2.69,2.6,2.63,2.63,7752400.0,0.0,1.0
2018-06-13,2.68,2.72,2.68,2.72,2.72,2501700.0,0.0,1.0
2018-06-12,2.7,2.72,2.69,2.69,2.69,3245000.0,0.0,1.0
2018-06-11,2.72,2.72,2.68,2.71,2.71,1912900.0,0.0,1.0
2018-06-08,2.69,2.75,2.68,2.7,2.7,4559900.0,0.0,1.0
2018-06-07,2.69,2.71,2.68,2.7,2.7,2046200.0,0.0,1.0
2018-06-06,2.71,2.72,2.66,2.7,2.7,4419800.0,0.0,1.0
2018-06-05,2.73,2.74,2.71,2.73,2.73,2747500.0,0.0,1.0
2018-06-04,2.67,2.73,2.67,2.72,2.72,3411400.0,0.0,1.0
2018-06-01,2.61,2.72,2.59,2.68,2.68,7338500.0,0.0,1.0
2018-05-31,2.7,2.7,2.63,2.63,2.63,11067900.0,0.0,1.0
2018-05-30,2.71,2.72,2.67,2.69,2.69,5672400.0,0.0,1.0
2018-05-28,2.75,2.75,2.72,2.73,2.73,1430200.0,0.0,1.0
