date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,3.41,3.41,3.32,3.33,3.33,3307000.0,0.0,1.0
2018-04-25,3.45,3.47,3.43,3.46,3.46,5545400.0,0.0,1.0
2018-04-24,3.54,3.55,3.46,3.48,3.48,7469900.0,0.0,1.0
2018-04-23,3.65,3.67,3.6,3.62,3.52,4432000.0,0.0,1.0
2018-04-20,3.67,3.68,3.64,3.65,3.5492,1684300.0,0.0,1.0
2018-04-19,3.67,3.68,3.63,3.68,3.5783,3782900.0,0.0,1.0
2018-04-18,3.61,3.67,3.59,3.66,3.5589,5547400.0,0.0,1.0
2018-04-17,3.65,3.65,3.58,3.6,3.5006,5754100.0,0.0,1.0
2018-04-16,3.67,3.69,3.62,3.62,3.52,5146500.0,0.0,1.0
2018-04-13,3.66,3.68,3.65,3.67,3.5686,2185300.0,0.0,1.0
2018-04-12,3.68,3.7,3.64,3.67,3.5686,5000200.0,0.0,1.0
2018-04-11,3.66,3.67,3.64,3.65,3.5492,4061700.0,0.0,1.0
2018-04-10,3.62,3.65,3.59,3.65,3.5492,4583800.0,0.0,1.0
2018-04-09,3.6,3.63,3.58,3.62,3.52,2528000.0,0.0,1.0
2018-04-06,3.56,3.6,3.56,3.59,3.4908,3841200.0,0.0,1.0
2018-04-05,3.55,3.6,3.54,3.6,3.5006,6511100.0,0.0,1.0
2018-04-04,3.58,3.59,3.48,3.49,3.3936,6959900.0,0.0,1.0
2018-04-03,3.53,3.56,3.51,3.56,3.4617,7231200.0,0.0,1.0
2018-04-02,3.6,3.62,3.55,3.56,3.4617,2351900.0,0.0,1.0
2018-03-29,3.5,3.59,3.49,3.59,3.4908,9208800.0,0.0,1.0
2018-03-28,3.54,3.55,3.5,3.51,3.413,2949300.0,0.0,1.0
2018-03-27,3.55,3.57,3.52,3.56,3.4617,6599100.0,0.0,1.0
2018-03-26,3.51,3.54,3.49,3.52,3.4228,5172200.0,0.0,1.0
2018-03-23,3.41,3.51,3.4,3.49,3.3936,7462700.0,0.0,1.0
2018-03-22,3.53,3.53,3.46,3.47,3.3741,3776400.0,0.0,1.0
2018-03-21,3.55,3.55,3.5,3.5,3.4033,2111700.0,0.0,1.0
2018-03-20,3.51,3.54,3.49,3.54,3.4422,2748500.0,0.0,1.0
2018-03-19,3.52,3.54,3.51,3.52,3.4228,1753100.0,0.0,1.0
2018-03-16,3.5,3.54,3.49,3.53,3.4325,4801800.0,0.0,1.0
2018-03-15,3.5,3.52,3.48,3.5,3.4033,3348200.0,0.0,1.0
2018-03-14,3.49,3.54,3.48,3.53,3.4325,8005500.0,0.0,1.0
2018-03-13,3.44,3.53,3.44,3.51,3.413,11455100.0,0.0,1.0
2018-03-12,3.41,3.44,3.4,3.43,3.3352,4111300.0,0.0,1.0
2018-03-09,3.39,3.39,3.38,3.38,3.2866,1352700.0,0.0,1.0
2018-03-08,3.36,3.4,3.36,3.38,3.2866,3125700.0,0.0,1.0
2018-03-07,3.36,3.37,3.33,3.35,3.2575,3270600.0,0.0,1.0
2018-03-06,3.36,3.4,3.35,3.39,3.2964,3556000.0,0.0,1.0
2018-03-05,3.37,3.37,3.33,3.35,3.2575,4192800.0,0.0,1.0
2018-03-02,3.35,3.39,3.34,3.36,3.2672,2621000.0,0.0,1.0
2018-03-01,3.4,3.41,3.36,3.38,3.2866,2819700.0,0.0,1.0
2018-02-28,3.44,3.44,3.4,3.41,3.3158,5398700.0,0.0,1.0
2018-02-27,3.43,3.46,3.42,3.44,3.345,4542500.0,0.0,1.0
2018-02-26,3.42,3.44,3.4,3.44,3.345,3786200.0,0.0,1.0
2018-02-23,3.41,3.43,3.38,3.39,3.2964,2927600.0,0.0,1.0
2018-02-22,3.37,3.41,3.35,3.38,3.2866,4362800.0,0.0,1.0
2018-02-21,3.36,3.41,3.35,3.38,3.2866,4214300.0,0.0,1.0
2018-02-20,3.35,3.38,3.32,3.36,3.2672,4517200.0,0.0,1.0
2018-02-19,3.33,3.38,3.3,3.35,3.2575,2521100.0,0.0,1.0
2018-02-15,3.29,3.34,3.28,3.33,3.238,2826000.0,0.0,1.0
2018-02-14,3.27,3.3,3.23,3.27,3.1797,4499100.0,0.0,1.0
2018-02-13,3.23,3.29,3.23,3.25,3.1602,4992300.0,0.0,1.0
2018-02-12,3.24,3.26,3.22,3.22,3.1311,2787900.0,0.0,1.0
2018-02-09,3.21,3.25,3.21,3.24,3.1505,4009900.0,0.0,1.0
2018-02-08,3.26,3.3,3.23,3.26,3.1699,6638300.0,0.0,1.0
2018-02-07,3.27,3.3,3.25,3.28,3.1894,8887600.0,0.0,1.0
2018-02-06,3.25,3.27,3.19,3.23,3.1408,8760400.0,0.0,1.0
2018-02-05,3.31,3.34,3.29,3.32,3.2283,4122800.0,0.0,1.0
2018-02-02,3.39,3.42,3.35,3.35,3.2575,3945200.0,0.0,1.0
2018-02-01,3.36,3.38,3.33,3.37,3.2769,3065000.0,0.0,1.0
2018-01-31,3.36,3.39,3.35,3.37,3.2769,4568300.0,0.0,1.0
2018-01-30,3.38,3.4,3.37,3.38,3.2866,3321100.0,0.0,1.0
2018-01-29,3.42,3.44,3.37,3.39,3.2964,4112600.0,0.0,1.0
2018-01-26,3.41,3.44,3.41,3.41,3.3158,1744300.0,0.0,1.0
2018-01-25,3.45,3.45,3.4,3.42,3.3255,3677600.0,0.0,1.0
2018-01-24,3.44,3.46,3.4,3.46,3.3644,5152900.0,0.0,1.0
2018-01-23,3.37,3.45,3.37,3.42,3.3255,9991600.0,0.0,1.0
2018-01-22,3.32,3.36,3.32,3.36,3.2672,14283400.0,0.0,1.0
2018-01-19,3.32,3.33,3.31,3.32,3.2283,10835200.0,0.0,1.0
2018-01-18,3.32,3.34,3.31,3.32,3.2283,10339900.0,0.0,1.0
2018-01-17,3.31,3.32,3.3,3.31,3.2186,7274000.0,0.0,1.0
2018-01-16,3.32,3.33,3.3,3.31,3.2186,6741600.0,0.0,1.0
2018-01-15,3.33,3.34,3.31,3.32,3.2283,1604400.0,0.0,1.0
2018-01-12,3.34,3.36,3.31,3.32,3.2283,5835700.0,0.0,1.0
2018-01-11,3.33,3.34,3.31,3.33,3.238,1530500.0,0.0,1.0
2018-01-10,3.34,3.34,3.3,3.32,3.2283,3278900.0,0.0,1.0
2018-01-09,3.35,3.36,3.33,3.34,3.2477,2373100.0,0.0,1.0
2018-01-08,3.36,3.36,3.32,3.35,3.2575,1977700.0,0.0,1.0
2018-01-05,3.3,3.37,3.27,3.34,3.2477,6761200.0,0.0,1.0
2018-01-04,3.3,3.31,3.27,3.3,3.2088,4140500.0,0.0,1.0
2018-01-03,3.29,3.3,3.28,3.29,3.1991,2820100.0,0.0,1.0
2018-01-02,3.26,3.3,3.26,3.27,3.1797,2974200.0,0.0,1.0
2017-12-29,3.25,3.26,3.22,3.26,3.1699,3916100.0,0.0,1.0
2017-12-28,3.21,3.26,3.21,3.23,3.1408,1822200.0,0.0,1.0
2017-12-27,3.21,3.22,3.2,3.2,3.1116,1848800.0,0.0,1.0
2017-12-26,3.23,3.23,3.2,3.22,3.1311,998900.0,0.0,1.0
2017-12-22,3.21,3.25,3.2,3.21,3.1213,2543900.0,0.0,1.0
2017-12-21,3.21,3.22,3.19,3.21,3.1213,1971500.0,0.0,1.0
2017-12-20,3.17,3.23,3.16,3.21,3.1213,3461800.0,0.0,1.0
2017-12-19,3.2,3.21,3.17,3.17,3.0824,5529000.0,0.0,1.0
2017-12-18,3.2,3.21,3.19,3.2,3.1116,3899900.0,0.0,1.0
2017-12-15,3.21,3.22,3.19,3.19,3.1019,4291600.0,0.0,1.0
2017-12-14,3.23,3.24,3.21,3.21,3.1213,2408300.0,0.0,1.0
2017-12-13,3.24,3.25,3.21,3.22,3.1311,3879600.0,0.0,1.0
2017-12-12,3.25,3.25,3.23,3.24,3.1505,3323400.0,0.0,1.0
2017-12-11,3.23,3.28,3.21,3.27,3.1797,2919100.0,0.0,1.0
2017-12-08,3.23,3.23,3.19,3.21,3.1213,4819000.0,0.0,1.0
2017-12-07,3.23,3.24,3.21,3.22,3.1311,2270700.0,0.0,1.0
2017-12-06,3.24,3.25,3.22,3.23,3.1408,3240200.0,0.0,1.0
2017-12-05,3.25,3.25,3.23,3.24,3.1505,2015200.0,0.0,1.0
2017-12-04,3.26,3.26,3.23,3.25,3.1602,2956200.0,0.0,1.0
