date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,2.62,2.65,2.61,2.62,2.62,2348600.0,0.0,1.0
2018-07-17,2.59,2.63,2.58,2.61,2.61,3275600.0,0.0,1.0
2018-07-16,2.63,2.64,2.58,2.59,2.59,5312600.0,0.0,1.0
2018-07-13,2.66,2.67,2.62,2.63,2.63,3898600.0,0.0,1.0
2018-07-12,2.66,2.67,2.65,2.65,2.65,2479100.0,0.0,1.0
2018-07-11,2.65,2.68,2.63,2.68,2.68,3179200.0,0.0,1.0
2018-07-10,2.69,2.72,2.66,2.67,2.67,3158800.0,0.0,1.0
2018-07-09,2.64,2.69,2.63,2.68,2.68,2183000.0,0.0,1.0
2018-07-06,2.66,2.66,2.61,2.62,2.62,4108900.0,0.0,1.0
2018-07-05,2.69,2.71,2.65,2.67,2.67,3423500.0,0.0,1.0
2018-07-04,2.7,2.71,2.65,2.68,2.68,4084700.0,0.0,1.0
2018-07-03,2.71,2.73,2.67,2.71,2.71,4442300.0,0.0,1.0
2018-07-02,2.75,2.76,2.68,2.72,2.72,3052200.0,0.0,1.0
2018-06-29,2.77,2.78,2.72,2.75,2.75,4645400.0,0.0,1.0
2018-06-28,2.76,2.81,2.74,2.75,2.75,4163400.0,0.0,1.0
2018-06-27,2.78,2.83,2.75,2.75,2.75,4302800.0,0.0,1.0
2018-06-26,2.79,2.79,2.75,2.76,2.76,3345500.0,0.0,1.0
2018-06-25,2.79,2.82,2.77,2.78,2.78,3452200.0,0.0,1.0
2018-06-22,2.72,2.78,2.72,2.76,2.76,1769300.0,0.0,1.0
2018-06-21,2.77,2.8,2.73,2.73,2.73,1874700.0,0.0,1.0
2018-06-20,2.76,2.82,2.72,2.79,2.79,3378900.0,0.0,1.0
2018-06-19,2.77,2.79,2.73,2.74,2.74,3776600.0,0.0,1.0
2018-06-18,2.81,2.82,2.7,2.75,2.75,4344300.0,0.0,1.0
2018-06-14,2.84,2.87,2.8,2.8,2.8,5337500.0,0.0,1.0
2018-06-13,2.92,2.93,2.82,2.85,2.85,7037500.0,0.0,1.0
2018-06-12,2.93,2.95,2.92,2.92,2.92,920500.0,0.0,1.0
2018-06-11,2.96,2.97,2.92,2.92,2.92,1616500.0,0.0,1.0
2018-06-08,2.98,2.98,2.93,2.94,2.94,1751900.0,0.0,1.0
2018-06-07,2.97,2.98,2.96,2.98,2.98,902100.0,0.0,1.0
2018-06-06,3.0,3.01,2.96,2.96,2.96,3251700.0,0.0,1.0
2018-06-05,2.97,2.99,2.95,2.99,2.99,2155100.0,0.0,1.0
2018-06-04,2.93,2.98,2.93,2.96,2.96,1396000.0,0.0,1.0
2018-06-01,2.93,2.95,2.9,2.93,2.93,2444100.0,0.0,1.0
2018-05-31,2.97,2.97,2.93,2.93,2.93,3833700.0,0.0,1.0
2018-05-30,2.95,2.96,2.92,2.94,2.94,3938300.0,0.0,1.0
2018-05-28,3.02,3.02,2.97,2.99,2.99,5399100.0,0.0,1.0
2018-05-25,3.03,3.04,3.01,3.03,3.03,1368500.0,0.0,1.0
2018-05-24,3.02,3.04,3.0,3.03,3.03,3363700.0,0.0,1.0
2018-05-23,3.06,3.06,3.0,3.0,3.0,6259500.0,0.0,1.0
2018-05-22,3.09,3.1,3.06,3.06,3.06,2548600.0,0.0,1.0
2018-05-21,3.06,3.1,3.06,3.08,3.08,2088600.0,0.0,1.0
2018-05-18,3.07,3.08,3.05,3.07,3.07,2161800.0,0.0,1.0
2018-05-17,3.07,3.09,3.07,3.07,3.07,1276100.0,0.0,1.0
2018-05-16,3.08,3.08,3.04,3.05,3.05,4073600.0,0.0,1.0
2018-05-15,3.11,3.12,3.08,3.09,3.09,2188000.0,0.0,1.0
2018-05-14,3.11,3.14,3.08,3.1,3.1,1921100.0,0.0,1.0
2018-05-11,3.1,3.12,3.08,3.1,3.1,3898300.0,0.0,1.0
2018-05-10,3.1,3.12,3.08,3.09,3.09,3491800.0,0.0,1.0
2018-05-09,3.08,3.12,3.06,3.09,3.09,6643500.0,0.0,1.0
2018-05-08,3.06,3.07,3.04,3.06,3.06,2894200.0,0.0,1.0
2018-05-07,3.06,3.07,3.04,3.05,3.05,1655100.0,0.0,1.0
2018-05-04,3.04,3.06,3.03,3.04,3.04,2649600.0,0.0,1.0
2018-05-03,3.06,3.08,3.03,3.06,3.06,3694800.0,0.0,1.0
2018-05-02,3.08,3.09,3.05,3.07,3.07,3202800.0,0.0,1.0
2018-04-30,3.07,3.1,3.06,3.07,3.07,3650000.0,0.0,1.0
2018-04-27,3.07,3.09,3.05,3.07,3.07,4615500.0,0.0,1.0
2018-04-26,3.14,3.16,3.03,3.04,3.04,11481200.0,0.0,1.0
2018-04-25,3.18,3.18,3.11,3.13,3.13,3660500.0,0.0,1.0
2018-04-24,3.22,3.23,3.19,3.21,3.19,2721900.0,0.0,1.0
2018-04-23,3.23,3.28,3.2,3.22,3.1999,4827400.0,0.0,1.0
2018-04-20,3.14,3.26,3.13,3.24,3.2198,9956200.0,0.0,1.0
2018-04-19,3.17,3.18,3.13,3.16,3.1403,3870400.0,0.0,1.0
2018-04-18,3.1,3.15,3.09,3.14,3.1204,3249600.0,0.0,1.0
2018-04-17,3.12,3.13,3.08,3.08,3.0608,2008400.0,0.0,1.0
2018-04-16,3.13,3.16,3.09,3.12,3.1006,1786300.0,0.0,1.0
2018-04-13,3.13,3.16,3.11,3.14,3.1204,2073000.0,0.0,1.0
2018-04-12,3.12,3.17,3.11,3.11,3.0906,3577100.0,0.0,1.0
2018-04-11,3.12,3.13,3.1,3.11,3.0906,3913600.0,0.0,1.0
2018-04-10,3.06,3.1,3.06,3.09,3.0707,3235200.0,0.0,1.0
2018-04-09,3.07,3.1,3.04,3.08,3.0608,2175100.0,0.0,1.0
2018-04-06,3.05,3.08,3.03,3.07,3.0509,3423400.0,0.0,1.0
2018-04-05,3.05,3.08,3.05,3.07,3.0509,3197000.0,0.0,1.0
2018-04-04,3.07,3.08,3.0,3.02,3.0012,3351500.0,0.0,1.0
2018-04-03,3.07,3.09,3.03,3.06,3.0409,4964000.0,0.0,1.0
2018-04-02,3.16,3.18,3.1,3.11,3.0906,2636300.0,0.0,1.0
2018-03-29,3.02,3.14,3.02,3.11,3.0906,9005900.0,0.0,1.0
