date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-17,1.73,1.74,1.7,1.7,1.7,3584000.0,0.0,1.0
2018-07-16,1.73,1.74,1.72,1.73,1.73,2858600.0,0.0,1.0
2018-07-13,1.72,1.74,1.71,1.73,1.73,2162000.0,0.0,1.0
2018-07-12,1.73,1.75,1.7,1.72,1.72,3194200.0,0.0,1.0
2018-07-11,1.73,1.75,1.7,1.73,1.73,2971500.0,0.0,1.0
2018-07-10,1.75,1.77,1.73,1.75,1.75,5680800.0,0.0,1.0
2018-07-09,1.7,1.75,1.69,1.74,1.74,4600600.0,0.0,1.0
2018-07-06,1.7,1.7,1.66,1.69,1.69,5722100.0,0.0,1.0
2018-07-05,1.65,1.71,1.65,1.7,1.7,5197200.0,0.0,1.0
2018-07-04,1.64,1.67,1.63,1.65,1.65,3344400.0,0.0,1.0
2018-07-03,1.66,1.67,1.62,1.64,1.64,4226600.0,0.0,1.0
2018-07-02,1.67,1.68,1.64,1.64,1.64,3202000.0,0.0,1.0
2018-06-29,1.66,1.69,1.66,1.66,1.66,2799900.0,0.0,1.0
2018-06-28,1.69,1.7,1.66,1.66,1.66,3125900.0,0.0,1.0
2018-06-27,1.74,1.75,1.67,1.69,1.69,10754500.0,0.0,1.0
2018-06-26,1.63,1.73,1.61,1.73,1.73,10849500.0,0.0,1.0
2018-06-25,1.64,1.64,1.61,1.63,1.63,7522100.0,0.0,1.0
2018-06-22,1.6,1.67,1.58,1.64,1.64,14863700.0,0.0,1.0
2018-06-21,1.69,1.69,1.6,1.61,1.61,11741300.0,0.0,1.0
2018-06-20,1.68,1.71,1.67,1.69,1.69,6440400.0,0.0,1.0
2018-06-19,1.77,1.77,1.67,1.67,1.67,13015300.0,0.0,1.0
2018-06-18,1.8,1.81,1.75,1.76,1.76,8417577.0,0.0,1.0
2018-06-14,1.81,1.83,1.8,1.82,1.82,6836200.0,0.0,1.0
2018-06-13,1.86,1.87,1.81,1.81,1.81,5543800.0,0.0,1.0
2018-06-12,1.85,1.88,1.84,1.86,1.86,5069000.0,0.0,1.0
2018-06-11,1.87,1.87,1.82,1.84,1.84,4961900.0,0.0,1.0
2018-06-08,1.89,1.89,1.85,1.86,1.86,4477600.0,0.0,1.0
2018-06-07,1.9,1.9,1.86,1.89,1.89,5645200.0,0.0,1.0
2018-06-06,1.93,1.93,1.88,1.89,1.89,11487400.0,0.0,1.0
2018-06-05,1.95,1.97,1.91,1.94,1.94,7382800.0,0.0,1.0
2018-06-04,1.93,1.97,1.93,1.97,1.97,3810800.0,0.0,1.0
2018-06-01,1.93,1.95,1.91,1.93,1.93,17017099.0,0.0,1.0
2018-05-31,2.0,2.02,1.91,1.93,1.93,91322009.0,0.0,1.0
2018-05-30,2.03,2.05,1.99,2.0,2.0,16499500.0,0.0,1.0
2018-05-28,2.08,2.11,2.08,2.1,2.1,1803100.0,0.0,1.0
2018-05-25,2.1,2.1,2.07,2.08,2.08,3566200.0,0.0,1.0
2018-05-24,2.09,2.13,2.06,2.12,2.12,3584600.0,0.0,1.0
2018-05-23,2.15,2.15,2.08,2.09,2.09,6752200.0,0.0,1.0
2018-05-22,2.17,2.17,2.14,2.15,2.15,3191300.0,0.0,1.0
2018-05-21,2.17,2.19,2.16,2.17,2.17,1286500.0,0.0,1.0
2018-05-18,2.17,2.18,2.15,2.17,2.17,3313100.0,0.0,1.0
2018-05-17,2.18,2.19,2.16,2.18,2.18,2670500.0,0.0,1.0
2018-05-16,2.12,2.22,2.12,2.16,2.16,9562100.0,0.0,1.0
2018-05-15,2.13,2.15,2.09,2.14,2.14,7867900.0,0.0,1.0
2018-05-14,2.15,2.18,2.13,2.14,2.14,4839900.0,0.0,1.0
2018-05-11,2.2,2.2,2.14,2.18,2.18,5566300.0,0.0,1.0
2018-05-10,2.22,2.24,2.18,2.19,2.19,5739400.0,0.0,1.0
2018-05-09,2.23,2.24,2.22,2.22,2.22,4920200.0,0.0,1.0
2018-05-08,2.27,2.27,2.25,2.26,2.22,1900100.0,0.0,1.0
2018-05-07,2.3,2.3,2.25,2.26,2.22,4134600.0,0.0,1.0
2018-05-04,2.29,2.29,2.27,2.29,2.2495,2759600.0,0.0,1.0
2018-05-03,2.28,2.32,2.28,2.31,2.2691,2974900.0,0.0,1.0
2018-05-02,2.27,2.31,2.27,2.28,2.2396,4176300.0,0.0,1.0
2018-04-30,2.28,2.29,2.27,2.27,2.2298,2538100.0,0.0,1.0
2018-04-27,2.28,2.29,2.26,2.28,2.2396,1352200.0,0.0,1.0
2018-04-26,2.26,2.28,2.24,2.27,2.2298,3615200.0,0.0,1.0
2018-04-25,2.27,2.27,2.24,2.25,2.2102,3371500.0,0.0,1.0
2018-04-24,2.28,2.3,2.25,2.27,2.2298,3913100.0,0.0,1.0
2018-04-23,2.3,2.33,2.29,2.31,2.2298,4129500.0,0.0,1.0
2018-04-20,2.31,2.31,2.29,2.3,2.2202,3473600.0,0.0,1.0
2018-04-19,2.34,2.34,2.28,2.32,2.2395,7887600.0,0.0,1.0
2018-04-18,2.31,2.34,2.29,2.33,2.2491,4903300.0,0.0,1.0
2018-04-17,2.31,2.32,2.27,2.3,2.2202,3610900.0,0.0,1.0
2018-04-16,2.28,2.32,2.28,2.3,2.2202,3399200.0,0.0,1.0
2018-04-13,2.29,2.29,2.27,2.28,2.2009,2639500.0,0.0,1.0
2018-04-12,2.29,2.3,2.27,2.29,2.2105,2272200.0,0.0,1.0
2018-04-11,2.29,2.31,2.28,2.29,2.2105,2244200.0,0.0,1.0
2018-04-10,2.28,2.29,2.26,2.27,2.1912,4005500.0,0.0,1.0
2018-04-09,2.33,2.33,2.26,2.28,2.2009,6102900.0,0.0,1.0
2018-04-06,2.31,2.35,2.29,2.33,2.2491,3926400.0,0.0,1.0
2018-04-05,2.3,2.34,2.27,2.31,2.2298,2817700.0,0.0,1.0
2018-04-04,2.3,2.3,2.27,2.28,2.2009,3356100.0,0.0,1.0
2018-04-03,2.3,2.34,2.3,2.3,2.2202,4854400.0,0.0,1.0
