date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,0.725,0.74,0.72,0.73,0.73,26372900.0,0.0,1.0
2018-07-17,0.73,0.73,0.72,0.725,0.725,15435100.0,0.0,1.0
2018-07-16,0.725,0.73,0.72,0.725,0.725,14251100.0,0.0,1.0
2018-07-13,0.73,0.735,0.72,0.72,0.72,13712800.0,0.0,1.0
2018-07-12,0.71,0.735,0.71,0.73,0.73,12961200.0,0.0,1.0
2018-07-11,0.725,0.73,0.72,0.725,0.725,4844700.0,0.0,1.0
2018-07-10,0.74,0.74,0.71,0.73,0.73,27321800.0,0.0,1.0
2018-07-09,0.72,0.735,0.715,0.735,0.735,21387700.0,0.0,1.0
2018-07-06,0.7,0.705,0.695,0.7,0.7,18898600.0,0.0,1.0
2018-07-05,0.685,0.7,0.68,0.7,0.7,26730300.0,0.0,1.0
2018-07-04,0.695,0.695,0.675,0.68,0.68,22986200.0,0.0,1.0
2018-07-03,0.7,0.71,0.695,0.7,0.7,17944400.0,0.0,1.0
2018-07-02,0.72,0.72,0.69,0.7,0.7,39926400.0,0.0,1.0
2018-06-29,0.73,0.735,0.715,0.72,0.72,18730200.0,0.0,1.0
2018-06-28,0.73,0.74,0.725,0.73,0.73,14805200.0,0.0,1.0
2018-06-27,0.745,0.75,0.735,0.735,0.735,14113300.0,0.0,1.0
2018-06-26,0.75,0.75,0.74,0.745,0.745,19505000.0,0.0,1.0
2018-06-25,0.76,0.765,0.75,0.75,0.75,9462700.0,0.0,1.0
2018-06-22,0.77,0.77,0.76,0.765,0.765,20198600.0,0.0,1.0
2018-06-21,0.79,0.795,0.77,0.77,0.77,12214239.0,0.0,1.0
2018-06-20,0.785,0.795,0.78,0.795,0.795,7981700.0,0.0,1.0
2018-06-19,0.78,0.795,0.77,0.79,0.79,19148100.0,0.0,1.0
2018-06-18,0.805,0.805,0.78,0.79,0.79,14761500.0,0.0,1.0
2018-06-14,0.785,0.815,0.775,0.815,0.815,20302100.0,0.0,1.0
2018-06-13,0.795,0.8,0.775,0.78,0.78,14349600.0,0.0,1.0
2018-06-12,0.795,0.8,0.785,0.8,0.8,11285800.0,0.0,1.0
2018-06-11,0.775,0.805,0.775,0.795,0.795,27537244.0,0.0,1.0
2018-06-08,0.78,0.78,0.77,0.77,0.77,26683900.0,0.0,1.0
2018-06-07,0.78,0.785,0.77,0.78,0.78,21416000.0,0.0,1.0
2018-06-06,0.77,0.78,0.77,0.78,0.78,22388477.0,0.0,1.0
2018-06-05,0.77,0.78,0.765,0.775,0.775,22327400.0,0.0,1.0
2018-06-04,0.77,0.775,0.765,0.775,0.775,23056500.0,0.0,1.0
2018-06-01,0.765,0.775,0.76,0.765,0.765,19585800.0,0.0,1.0
2018-05-31,0.76,0.775,0.76,0.765,0.765,26568600.0,0.0,1.0
2018-05-30,0.76,0.76,0.75,0.755,0.755,13824700.0,0.0,1.0
2018-05-28,0.77,0.775,0.755,0.76,0.76,28346900.0,0.0,1.0
2018-05-25,0.775,0.78,0.77,0.77,0.77,13074400.0,0.0,1.0
2018-05-24,0.78,0.785,0.78,0.78,0.63,9957300.0,0.0,1.0
2018-05-23,0.795,0.795,0.78,0.78,0.63,18103400.0,0.0,1.0
2018-05-22,0.795,0.795,0.79,0.79,0.6381,7558700.0,0.0,1.0
2018-05-21,0.795,0.8,0.79,0.79,0.6381,9615100.0,0.0,1.0
2018-05-18,0.795,0.8,0.79,0.79,0.6381,7843600.0,0.0,1.0
2018-05-17,0.795,0.805,0.795,0.795,0.6421,20983400.0,0.0,1.0
2018-05-16,0.795,0.81,0.79,0.795,0.6421,34798500.0,0.0,1.0
2018-05-15,0.805,0.81,0.8,0.8,0.6462,19230300.0,0.0,1.0
2018-05-14,0.81,0.815,0.8,0.805,0.6502,21396100.0,0.0,1.0
2018-05-11,0.805,0.82,0.805,0.81,0.6542,14278200.0,0.0,1.0
2018-05-10,0.825,0.825,0.805,0.81,0.6542,35849100.0,0.0,1.0
2018-05-09,0.835,0.835,0.825,0.83,0.6704,12541100.0,0.0,1.0
2018-05-08,0.83,0.84,0.825,0.835,0.6744,12788100.0,0.0,1.0
2018-05-07,0.83,0.835,0.825,0.83,0.6704,6270000.0,0.0,1.0
2018-05-04,0.84,0.845,0.82,0.83,0.6704,22642500.0,0.0,1.0
2018-05-03,0.85,0.85,0.84,0.84,0.6785,7944000.0,0.0,1.0
2018-05-02,0.86,0.86,0.84,0.85,0.6865,18287400.0,0.0,1.0
2018-04-30,0.86,0.875,0.85,0.855,0.6906,22944100.0,0.0,1.0
2018-04-27,0.855,0.86,0.85,0.86,0.6946,6348000.0,0.0,1.0
2018-04-26,0.85,0.86,0.845,0.85,0.6865,11804800.0,0.0,1.0
2018-04-25,0.865,0.87,0.84,0.845,0.6825,33390700.0,0.0,1.0
2018-04-24,0.81,0.88,0.81,0.875,0.7067,89313200.0,0.0,1.0
2018-04-23,0.8,0.805,0.795,0.805,0.6502,6980000.0,0.0,1.0
2018-04-20,0.8,0.805,0.795,0.8,0.6462,4359400.0,0.0,1.0
2018-04-19,0.8,0.805,0.795,0.8,0.6462,7277400.0,0.0,1.0
2018-04-18,0.8,0.805,0.795,0.8,0.6462,7850200.0,0.0,1.0
2018-04-17,0.795,0.805,0.795,0.8,0.6462,6302000.0,0.0,1.0
2018-04-16,0.8,0.805,0.795,0.8,0.6462,5226600.0,0.0,1.0
2018-04-13,0.805,0.81,0.8,0.8,0.6462,4549100.0,0.0,1.0
2018-04-12,0.8,0.81,0.8,0.805,0.6502,5903900.0,0.0,1.0
2018-04-11,0.8,0.805,0.795,0.8,0.6462,11315000.0,0.0,1.0
2018-04-10,0.8,0.8,0.795,0.795,0.6421,4953800.0,0.0,1.0
2018-04-09,0.8,0.8,0.79,0.8,0.6462,4640600.0,0.0,1.0
2018-04-06,0.8,0.805,0.795,0.8,0.6462,9612600.0,0.0,1.0
2018-04-05,0.79,0.805,0.785,0.8,0.6462,8360600.0,0.0,1.0
2018-04-04,0.8,0.805,0.78,0.78,0.63,13272500.0,0.0,1.0
2018-04-03,0.785,0.805,0.78,0.8,0.6462,23809950.0,0.0,1.0
2018-04-02,0.78,0.79,0.775,0.785,0.634,25525200.0,0.0,1.0
2018-03-29,0.79,0.795,0.78,0.78,0.63,22346100.0,0.0,1.0
2018-03-28,0.8,0.805,0.79,0.79,0.6381,22217700.0,0.0,1.0
2018-03-27,0.8,0.805,0.8,0.8,0.6462,6775100.0,0.0,1.0
2018-03-26,0.805,0.805,0.8,0.8,0.6462,4722100.0,0.0,1.0
2018-03-23,0.8,0.81,0.8,0.805,0.6502,17920200.0,0.0,1.0
2018-03-22,0.81,0.81,0.8,0.81,0.6542,9671400.0,0.0,1.0
2018-03-21,0.815,0.82,0.805,0.805,0.6502,28127200.0,0.0,1.0
2018-03-20,0.81,0.815,0.81,0.81,0.6542,8730900.0,0.0,1.0
