date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,26.22,26.24,25.73,25.89,25.89,2889100.0,0.0,1.0
2018-07-17,26.08,26.11,25.92,25.92,25.92,2649800.0,0.0,1.0
2018-07-16,26.59,26.66,26.04,26.04,26.04,2067800.0,0.0,1.0
2018-07-13,26.62,26.75,26.53,26.55,26.55,1589100.0,0.0,1.0
2018-07-12,26.65,26.9,26.6,26.68,26.68,2021200.0,0.0,1.0
2018-07-11,26.33,26.71,26.33,26.6,26.6,2619900.0,0.0,1.0
2018-07-10,26.61,26.99,26.61,26.99,26.99,3340500.0,0.0,1.0
2018-07-09,26.05,26.55,26.05,26.51,26.51,2709700.0,0.0,1.0
2018-07-06,26.8,26.8,26.1,26.26,26.26,4265400.0,0.0,1.0
2018-07-05,27.08,27.2,26.96,27.09,27.09,1772200.0,0.0,1.0
2018-07-04,26.8,27.2,26.76,27.15,27.15,2788700.0,0.0,1.0
2018-07-03,26.73,26.82,26.34,26.73,26.73,2127400.0,0.0,1.0
2018-07-02,26.76,27.03,26.52,26.63,26.63,1742000.0,0.0,1.0
2018-06-29,26.88,27.09,26.59,26.76,26.76,4653400.0,0.0,1.0
2018-06-28,26.27,26.74,26.26,26.65,26.65,2368000.0,0.0,1.0
2018-06-27,26.49,26.79,26.3,26.36,26.36,2464100.0,0.0,1.0
2018-06-26,26.04,26.66,26.03,26.6,26.6,2547500.0,0.0,1.0
2018-06-25,26.22,26.45,26.07,26.22,26.22,2171700.0,0.0,1.0
2018-06-22,26.53,26.53,26.12,26.31,26.31,2570600.0,0.0,1.0
2018-06-21,26.6,26.68,26.51,26.53,26.53,1322900.0,0.0,1.0
2018-06-20,26.68,26.98,26.55,26.72,26.72,3908500.0,0.0,1.0
2018-06-19,26.65,26.88,26.39,26.6,26.6,5988550.0,0.0,1.0
2018-06-18,26.19,26.57,26.19,26.43,26.43,4463300.0,0.0,1.0
2018-06-14,27.0,27.4,26.77,26.95,26.95,6396400.0,0.0,1.0
2018-06-13,27.65,27.76,27.09,27.1,27.1,5692400.0,0.0,1.0
2018-06-12,28.0,28.1,27.83,27.86,27.86,2416600.0,0.0,1.0
2018-06-11,28.05,28.25,27.91,28.0,28.0,2336900.0,0.0,1.0
2018-06-08,28.38,28.55,28.02,28.02,28.02,2999472.0,0.0,1.0
2018-06-07,28.6,28.73,28.44,28.56,28.56,2044300.0,0.0,1.0
2018-06-06,28.67,28.75,28.28,28.34,28.34,1982700.0,0.0,1.0
2018-06-05,28.62,28.75,28.55,28.58,28.58,1766300.0,0.0,1.0
2018-06-04,28.26,28.59,28.23,28.59,28.59,1728800.0,0.0,1.0
2018-06-01,28.08,28.21,28.07,28.1,28.1,2156743.0,0.0,1.0
2018-05-31,28.5,28.57,28.14,28.14,28.14,5688000.0,0.0,1.0
2018-05-30,28.06,28.55,28.06,28.36,28.36,5184300.0,0.0,1.0
2018-05-28,29.34,29.42,29.29,29.29,29.29,1152700.0,0.0,1.0
2018-05-25,29.3,29.65,29.21,29.33,29.33,1802100.0,0.0,1.0
2018-05-24,29.2,29.63,29.2,29.49,29.49,2226700.0,0.0,1.0
2018-05-23,29.37,29.5,29.2,29.23,29.23,2677300.0,0.0,1.0
2018-05-22,29.45,29.9,29.45,29.65,29.65,1385700.0,0.0,1.0
2018-05-21,29.7,29.95,29.57,29.61,29.61,2108100.0,0.0,1.0
2018-05-18,29.4,29.62,29.38,29.57,29.57,1523100.0,0.0,1.0
2018-05-17,29.69,29.75,29.46,29.54,29.54,1583500.0,0.0,1.0
2018-05-16,29.51,29.65,29.35,29.49,29.49,1489500.0,0.0,1.0
2018-05-15,29.22,29.6,29.22,29.46,29.46,1729500.0,0.0,1.0
2018-05-14,29.69,29.8,29.46,29.52,29.52,1223313.0,0.0,1.0
2018-05-11,29.3,29.79,29.29,29.66,29.66,2741600.0,0.0,1.0
2018-05-10,29.13,29.2,28.65,29.0,29.0,2701200.0,0.0,1.0
2018-05-09,29.43,29.48,28.88,29.28,29.28,2727600.0,0.0,1.0
2018-05-08,29.31,29.45,29.26,29.34,29.34,1705900.0,0.0,1.0
2018-05-07,29.08,29.32,28.99,29.29,29.29,2171100.0,0.0,1.0
2018-05-04,29.3,29.35,28.98,29.07,29.07,3971700.0,0.0,1.0
2018-05-03,29.7,29.72,29.35,29.58,29.58,3795718.0,0.0,1.0
2018-05-02,30.13,30.27,29.8,29.99,29.99,4593200.0,0.0,1.0
2018-04-30,29.91,30.37,29.79,30.14,30.14,5264400.0,0.0,1.0
2018-04-27,29.58,29.65,29.32,29.44,29.44,2941300.0,0.0,1.0
2018-04-26,29.59,29.59,29.34,29.39,29.39,3678500.0,0.0,1.0
2018-04-25,29.6,29.85,29.6,29.85,29.4,2206900.0,0.0,1.0
2018-04-24,29.7,29.79,29.51,29.69,29.2424,2534900.0,0.0,1.0
2018-04-23,29.51,29.76,29.45,29.63,29.1833,3282366.0,0.0,1.0
2018-04-20,29.87,29.87,29.53,29.69,29.2424,3393001.0,0.0,1.0
2018-04-19,29.45,29.9,29.43,29.78,29.3311,3279100.0,0.0,1.0
2018-04-18,28.8,29.25,28.8,29.23,28.7893,4499700.0,0.0,1.0
2018-04-17,28.39,28.52,28.28,28.39,27.962,1429384.0,0.0,1.0
2018-04-16,28.34,28.4,28.11,28.36,27.9325,1170500.0,0.0,1.0
2018-04-13,28.15,28.32,28.12,28.24,27.8143,2935000.0,0.0,1.0
2018-04-12,28.16,28.2,27.87,27.93,27.5089,3294000.0,0.0,1.0
2018-04-11,28.05,28.1,27.85,27.98,27.5582,2819200.0,0.0,1.0
2018-04-10,27.74,28.03,27.58,27.92,27.4991,3927300.0,0.0,1.0
2018-04-09,27.27,27.68,27.08,27.65,27.2332,3192500.0,0.0,1.0
2018-04-06,26.77,27.5,26.7,27.37,26.9574,4197400.0,0.0,1.0
2018-04-05,26.71,27.14,26.67,26.97,26.5634,3589300.0,0.0,1.0
2018-04-04,27.05,27.07,26.21,26.28,25.8838,3671200.0,0.0,1.0
2018-04-03,27.0,27.08,26.85,26.96,26.5536,4069902.0,0.0,1.0
2018-04-02,27.5,27.52,27.31,27.4,26.9869,1639200.0,0.0,1.0
2018-03-29,27.39,27.66,27.23,27.5,27.0854,6276900.0,0.0,1.0
2018-03-28,27.44,27.47,27.09,27.09,26.6816,3261865.0,0.0,1.0
2018-03-27,27.67,27.69,27.45,27.61,27.1938,2842100.0,0.0,1.0
2018-03-26,27.35,27.59,27.06,27.4,26.9869,2554700.0,0.0,1.0
2018-03-23,27.51,27.57,27.2,27.4,26.9869,3760200.0,0.0,1.0
2018-03-22,28.68,28.76,28.09,28.16,27.7355,2087100.0,0.0,1.0
2018-03-21,28.44,28.7,28.32,28.58,28.1491,2021900.0,0.0,1.0
2018-03-20,27.98,28.37,27.95,28.3,27.8734,2103700.0,0.0,1.0
2018-03-19,28.2,28.29,28.06,28.1,27.6764,2423100.0,0.0,1.0
2018-03-16,28.5,28.54,28.15,28.15,27.7256,3776200.0,0.0,1.0
2018-03-15,28.55,28.85,28.48,28.58,28.1491,2031461.0,0.0,1.0
2018-03-14,28.8,28.95,28.66,28.82,28.3855,2226500.0,0.0,1.0
2018-03-13,28.8,28.99,28.63,28.99,28.553,3612100.0,0.0,1.0
2018-03-12,28.3,28.82,28.3,28.77,28.3363,3006400.0,0.0,1.0
2018-03-09,28.17,28.23,27.93,28.04,27.6173,2297600.0,0.0,1.0
2018-03-08,27.62,28.07,27.62,28.0,27.5779,2003800.0,0.0,1.0
2018-03-07,27.75,27.98,27.6,27.65,27.2332,2592500.0,0.0,1.0
2018-03-06,27.91,28.24,27.9,28.24,27.8143,2728500.0,0.0,1.0
2018-03-05,27.85,27.9,27.42,27.61,27.1938,2397600.0,0.0,1.0
2018-03-02,27.76,27.89,27.63,27.75,27.3317,2145700.0,0.0,1.0
2018-03-01,27.6,28.04,27.6,28.04,27.6173,2484100.0,0.0,1.0
2018-02-28,28.5,28.56,27.82,27.89,27.4695,4854018.0,0.0,1.0
2018-02-27,28.7,28.8,28.38,28.38,27.9522,6097500.0,0.0,1.0
2018-02-26,28.12,28.55,28.12,28.46,28.031,2613500.0,0.0,1.0
2018-02-23,27.76,28.15,27.74,28.07,27.6468,2747700.0,0.0,1.0
