date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,6.88,6.93,6.8,6.87,6.87,2590000.0,0.0,1.0
2018-07-17,6.83,6.86,6.8,6.85,6.85,2817600.0,0.0,1.0
2018-07-16,6.85,6.91,6.77,6.79,6.79,3019400.0,0.0,1.0
2018-07-13,6.74,6.81,6.74,6.79,6.79,1815600.0,0.0,1.0
2018-07-12,6.65,6.73,6.63,6.71,6.71,2968300.0,0.0,1.0
2018-07-11,6.71,6.75,6.6,6.63,6.63,4610000.0,0.0,1.0
2018-07-10,6.79,6.81,6.69,6.72,6.72,5380600.0,0.0,1.0
2018-07-09,6.6,6.91,6.57,6.71,6.71,5085600.0,0.0,1.0
2018-07-06,6.98,7.02,6.5,6.7,6.7,22997000.0,0.0,1.0
2018-07-05,7.55,8.1,7.54,7.75,7.75,2525400.0,0.0,1.0
2018-07-04,7.5,7.54,7.47,7.51,7.51,892700.0,0.0,1.0
2018-07-03,7.5,7.54,7.4,7.5,7.5,1668400.0,0.0,1.0
2018-07-02,7.62,7.62,7.48,7.5,7.5,1288100.0,0.0,1.0
2018-06-29,7.63,7.68,7.52,7.62,7.62,2508300.0,0.0,1.0
2018-06-28,7.54,7.59,7.51,7.56,7.56,1769400.0,0.0,1.0
2018-06-27,7.53,7.67,7.5,7.55,7.55,1406200.0,0.0,1.0
2018-06-26,7.45,7.55,7.4,7.53,7.53,1268000.0,0.0,1.0
2018-06-25,7.54,7.58,7.45,7.45,7.45,1114500.0,0.0,1.0
2018-06-22,7.54,7.59,7.5,7.56,7.56,1061300.0,0.0,1.0
2018-06-21,7.54,7.64,7.53,7.55,7.55,1820300.0,0.0,1.0
2018-06-20,7.53,7.71,7.53,7.57,7.57,2019300.0,0.0,1.0
2018-06-19,7.6,7.64,7.5,7.5,7.5,1518700.0,0.0,1.0
2018-06-18,7.62,7.67,7.52,7.62,7.62,2189400.0,0.0,1.0
2018-06-14,7.82,7.88,7.67,7.67,7.67,3244600.0,0.0,1.0
2018-06-13,7.96,8.02,7.9,7.92,7.92,1557200.0,0.0,1.0
2018-06-12,8.04,8.1,7.95,8.0,8.0,1337400.0,0.0,1.0
2018-06-11,8.18,8.18,8.02,8.04,8.04,1261800.0,0.0,1.0
2018-06-08,8.22,8.23,8.09,8.13,8.13,1150600.0,0.0,1.0
2018-06-07,8.2,8.26,8.16,8.21,8.21,1216900.0,0.0,1.0
2018-06-06,8.19,8.25,8.18,8.2,8.2,1612300.0,0.0,1.0
2018-06-05,8.22,8.25,8.17,8.23,8.23,1125900.0,0.0,1.0
2018-06-04,8.18,8.18,8.12,8.17,8.17,761700.0,0.0,1.0
2018-06-01,8.08,8.14,8.0,8.1,8.1,1496400.0,0.0,1.0
2018-05-31,8.27,8.27,8.12,8.12,8.12,2099900.0,0.0,1.0
2018-05-30,8.33,8.39,8.18,8.21,8.21,3380000.0,0.0,1.0
2018-05-28,8.43,8.45,8.33,8.37,8.37,570200.0,0.0,1.0
2018-05-25,8.39,8.45,8.33,8.39,8.39,1221900.0,0.0,1.0
2018-05-24,8.35,8.4,8.25,8.39,8.39,1617400.0,0.0,1.0
2018-05-23,8.38,8.39,8.28,8.29,8.29,1789000.0,0.0,1.0
2018-05-22,8.39,8.44,8.35,8.38,8.38,653200.0,0.0,1.0
2018-05-21,8.37,8.46,8.37,8.4,8.4,522500.0,0.0,1.0
2018-05-18,8.37,8.47,8.34,8.37,8.37,1402300.0,0.0,1.0
2018-05-17,8.41,8.44,8.35,8.37,8.37,918472.0,0.0,1.0
2018-05-16,8.55,8.61,8.31,8.35,8.35,3051600.0,0.0,1.0
2018-05-15,8.59,8.65,8.59,8.6,8.6,1284100.0,0.0,1.0
2018-05-14,8.75,8.75,8.59,8.61,8.61,1135700.0,0.0,1.0
2018-05-11,8.66,8.74,8.58,8.72,8.72,1363300.0,0.0,1.0
2018-05-10,8.6,8.67,8.6,8.6,8.6,972200.0,0.0,1.0
2018-05-09,8.66,8.66,8.57,8.58,8.58,1076100.0,0.0,1.0
2018-05-08,8.52,8.65,8.52,8.58,8.58,1013300.0,0.0,1.0
2018-05-07,8.65,8.67,8.49,8.56,8.56,955000.0,0.0,1.0
2018-05-04,8.62,8.69,8.57,8.6,8.6,771100.0,0.0,1.0
2018-05-03,8.65,8.74,8.6,8.64,8.64,1232400.0,0.0,1.0
2018-05-02,8.66,8.77,8.61,8.67,8.67,1479367.0,0.0,1.0
2018-04-30,8.8,8.89,8.79,8.81,8.635,1832400.0,0.0,1.0
2018-04-27,8.77,8.8,8.72,8.75,8.5762,886600.0,0.0,1.0
2018-04-26,8.66,8.78,8.66,8.7,8.5272,823000.0,0.0,1.0
2018-04-25,8.6,8.71,8.6,8.7,8.5272,638900.0,0.0,1.0
2018-04-24,8.66,8.72,8.62,8.66,8.488,901900.0,0.0,1.0
2018-04-23,8.8,8.83,8.66,8.72,8.5468,836600.0,0.0,1.0
2018-04-20,8.8,8.91,8.76,8.82,8.6448,690900.0,0.0,1.0
2018-04-19,8.83,8.98,8.81,8.88,8.7036,1530600.0,0.0,1.0
2018-04-18,8.7,8.8,8.64,8.79,8.6154,1280900.0,0.0,1.0
2018-04-17,8.69,8.72,8.62,8.66,8.488,756300.0,0.0,1.0
2018-04-16,8.8,8.84,8.62,8.67,8.4978,876000.0,0.0,1.0
2018-04-13,8.71,8.82,8.65,8.79,8.6154,1533300.0,0.0,1.0
2018-04-12,8.75,8.75,8.6,8.64,8.4684,765500.0,0.0,1.0
2018-04-11,8.68,8.77,8.61,8.7,8.5272,1819900.0,0.0,1.0
2018-04-10,8.59,8.7,8.55,8.64,8.4684,1172200.0,0.0,1.0
2018-04-09,8.62,8.68,8.54,8.65,8.4782,2140100.0,0.0,1.0
2018-04-06,8.49,8.69,8.46,8.62,8.4488,2272200.0,0.0,1.0
2018-04-05,8.48,8.59,8.46,8.53,8.3606,1385100.0,0.0,1.0
2018-04-04,8.56,8.63,8.28,8.32,8.1547,3160100.0,0.0,1.0
2018-04-03,8.48,8.73,8.48,8.63,8.4586,2344200.0,0.0,1.0
2018-04-02,8.64,8.66,8.57,8.64,8.4684,797500.0,0.0,1.0
2018-03-29,8.48,8.67,8.43,8.55,8.3802,3042300.0,0.0,1.0
2018-03-28,8.49,8.54,8.4,8.42,8.2527,1707900.0,0.0,1.0
2018-03-27,8.54,8.57,8.46,8.54,8.3704,1666200.0,0.0,1.0
2018-03-26,8.42,8.49,8.32,8.45,8.2822,2237800.0,0.0,1.0
2018-03-23,8.53,8.55,8.37,8.48,8.3116,2163000.0,0.0,1.0
2018-03-22,8.75,8.8,8.65,8.66,8.488,924200.0,0.0,1.0
2018-03-21,8.67,8.72,8.62,8.64,8.4684,719700.0,0.0,1.0
2018-03-20,8.69,8.71,8.55,8.65,8.4782,1281100.0,0.0,1.0
2018-03-19,8.74,8.76,8.66,8.69,8.5174,1280400.0,0.0,1.0
2018-03-16,8.79,8.84,8.75,8.78,8.6056,1599600.0,0.0,1.0
2018-03-15,8.76,8.84,8.72,8.79,8.6154,935300.0,0.0,1.0
2018-03-14,8.81,8.86,8.77,8.8,8.6252,969100.0,0.0,1.0
2018-03-13,8.74,8.82,8.74,8.81,8.635,1077700.0,0.0,1.0
2018-03-12,8.81,8.86,8.75,8.78,8.6056,1838100.0,0.0,1.0
2018-03-09,8.68,8.82,8.68,8.75,8.5762,2268753.0,0.0,1.0
2018-03-08,8.59,8.63,8.53,8.61,8.439,1850300.0,0.0,1.0
2018-03-07,8.41,8.49,8.38,8.45,8.2822,1814600.0,0.0,1.0
2018-03-06,8.46,8.56,8.46,8.53,8.3606,1619500.0,0.0,1.0
2018-03-05,8.48,8.56,8.36,8.38,8.2135,1304200.0,0.0,1.0
2018-03-02,8.44,8.51,8.42,8.48,8.3116,1078600.0,0.0,1.0
2018-03-01,8.45,8.54,8.4,8.54,8.3704,1484100.0,0.0,1.0
2018-02-28,8.5,8.55,8.43,8.52,8.3508,3918800.0,0.0,1.0
2018-02-27,8.54,8.61,8.5,8.52,8.3508,1410500.0,0.0,1.0
2018-02-26,8.45,8.52,8.37,8.48,8.3116,1171800.0,0.0,1.0
2018-02-23,8.38,8.43,8.31,8.38,8.2135,867600.0,0.0,1.0
