date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,17.08,17.17,16.67,16.89,16.89,2935800.0,0.0,1.0
2018-07-17,16.55,17.13,16.46,17.03,17.03,4389400.0,0.0,1.0
2018-07-16,16.53,16.71,16.07,16.45,16.45,2646800.0,0.0,1.0
2018-07-13,16.36,16.53,16.35,16.41,16.41,1913500.0,0.0,1.0
2018-07-12,16.37,16.43,16.15,16.26,16.26,2949100.0,0.0,1.0
2018-07-11,17.1,17.1,16.63,16.67,16.67,2328200.0,0.0,1.0
2018-07-10,17.03,17.47,17.03,17.37,17.37,1955400.0,0.0,1.0
2018-07-09,16.65,16.9,16.55,16.9,16.9,1442900.0,0.0,1.0
2018-07-06,16.96,16.96,16.31,16.5,16.5,2999900.0,0.0,1.0
2018-07-05,17.46,17.5,16.88,17.17,17.17,2953000.0,0.0,1.0
2018-07-04,17.31,17.6,17.3,17.5,17.5,1275700.0,0.0,1.0
2018-07-03,17.58,17.65,17.26,17.52,17.52,2282100.0,0.0,1.0
2018-07-02,17.85,17.96,17.38,17.66,17.66,1368800.0,0.0,1.0
2018-06-29,17.72,17.99,17.53,17.84,17.84,2914300.0,0.0,1.0
2018-06-28,17.06,17.86,17.06,17.68,17.68,2693700.0,0.0,1.0
2018-06-27,17.63,17.88,17.39,17.47,17.47,1873700.0,0.0,1.0
2018-06-26,17.42,17.74,17.11,17.65,17.65,2532300.0,0.0,1.0
2018-06-25,17.84,18.12,17.45,17.69,17.69,2838800.0,0.0,1.0
2018-06-22,17.9,18.24,17.66,18.06,18.06,3660300.0,0.0,1.0
2018-06-21,18.21,18.46,17.76,18.09,18.09,3366700.0,0.0,1.0
2018-06-20,18.48,18.48,17.47,18.21,18.21,5215200.0,0.0,1.0
2018-06-19,19.16,19.16,18.11,18.49,18.49,4880900.0,0.0,1.0
2018-06-18,20.28,20.65,19.24,19.45,19.45,3353800.0,0.0,1.0
2018-06-14,20.55,20.6,20.11,20.11,20.11,3322400.0,0.0,1.0
2018-06-13,20.5,20.82,20.42,20.58,20.58,2128100.0,0.0,1.0
2018-06-12,20.54,20.95,20.42,20.75,20.75,1747800.0,0.0,1.0
2018-06-11,21.26,21.37,20.5,20.59,20.59,2690400.0,0.0,1.0
2018-06-08,21.52,21.7,21.09,21.13,21.13,1949900.0,0.0,1.0
2018-06-07,21.95,21.98,21.32,21.4,21.4,3358760.0,0.0,1.0
2018-06-06,21.68,21.85,21.51,21.85,21.85,3835600.0,0.0,1.0
2018-06-05,21.86,21.86,21.25,21.63,21.63,2918700.0,0.0,1.0
2018-06-04,21.4,21.8,21.36,21.66,21.66,1822300.0,0.0,1.0
2018-06-01,20.88,21.2,20.82,21.14,21.14,4056183.0,0.0,1.0
2018-05-31,20.83,21.36,20.44,21.1,21.1,33503300.0,0.0,1.0
2018-05-30,20.73,20.92,20.3,20.65,20.65,4232800.0,0.0,1.0
2018-05-28,20.72,21.19,20.68,21.1,21.1,1831600.0,0.0,1.0
2018-05-25,20.68,21.24,20.51,20.58,20.58,3065000.0,0.0,1.0
2018-05-24,21.18,21.32,20.34,20.55,20.55,3435400.0,0.0,1.0
2018-05-23,21.25,21.45,21.0,21.04,21.04,1266400.0,0.0,1.0
2018-05-22,21.88,22.05,21.12,21.17,21.17,1864000.0,0.0,1.0
2018-05-21,21.45,22.09,21.45,21.76,21.76,2595800.0,0.0,1.0
2018-05-18,20.84,21.45,20.69,21.2,21.2,2760400.0,0.0,1.0
2018-05-17,20.64,20.93,20.48,20.74,20.74,2313300.0,0.0,1.0
2018-05-16,21.9,22.29,21.1,21.22,20.62,2676200.0,0.0,1.0
2018-05-15,22.6,22.94,22.13,22.18,21.5529,3946900.0,0.0,1.0
2018-05-14,21.6,22.45,21.31,22.27,21.6403,3013700.0,0.0,1.0
2018-05-11,21.44,21.81,21.43,21.52,20.9115,1888200.0,0.0,1.0
2018-05-10,21.72,21.78,20.78,21.72,21.1059,2654100.0,0.0,1.0
2018-05-09,21.7,22.29,21.59,21.6,20.9893,2950600.0,0.0,1.0
2018-05-08,21.1,21.6,20.66,21.5,20.8921,4381900.0,0.0,1.0
2018-05-07,19.76,21.0,19.76,20.65,20.0661,3243000.0,0.0,1.0
2018-05-04,19.75,19.85,18.93,19.6,19.0458,3889000.0,0.0,1.0
2018-05-03,19.13,20.1,18.5,19.75,19.1916,5704600.0,0.0,1.0
2018-05-02,20.93,20.94,19.2,19.42,18.8709,7484600.0,0.0,1.0
2018-04-30,21.15,21.4,20.63,20.95,20.3576,3309100.0,0.0,1.0
2018-04-27,22.4,22.93,21.23,21.4,20.7949,5599800.0,0.0,1.0
2018-04-26,22.87,23.1,19.84,22.22,21.5917,9242600.0,0.0,1.0
2018-04-25,22.25,23.85,21.63,22.57,21.9318,4284500.0,0.0,1.0
2018-04-24,25.39,25.39,23.07,23.4,22.7384,4537800.0,0.0,1.0
2018-04-23,25.55,25.97,25.54,25.57,24.847,2576200.0,0.0,1.0
2018-04-20,27.0,27.35,24.86,25.29,24.5749,8738100.0,0.0,1.0
2018-04-19,29.14,29.14,28.6,28.82,28.0051,899500.0,0.0,1.0
2018-04-18,28.66,29.14,28.66,28.79,27.976,1435800.0,0.0,1.0
2018-04-17,29.25,29.28,28.62,28.66,27.8496,1105000.0,0.0,1.0
2018-04-16,29.6,29.61,28.83,29.04,28.2189,1194500.0,0.0,1.0
2018-04-13,29.01,29.65,29.01,29.51,28.6756,1730400.0,0.0,1.0
2018-04-12,29.0,29.44,28.75,28.82,28.0051,1327800.0,0.0,1.0
2018-04-11,28.95,29.3,28.7,28.96,28.1411,2033400.0,0.0,1.0
2018-04-10,28.22,28.78,28.22,28.69,27.8788,1527300.0,0.0,1.0
2018-04-09,27.55,28.44,27.54,28.1,27.3055,1716900.0,0.0,1.0
2018-04-06,27.38,27.88,26.94,27.67,26.8876,1341400.0,0.0,1.0
2018-04-05,27.5,28.0,27.41,27.73,26.9459,1380900.0,0.0,1.0
2018-04-04,28.08,28.19,26.6,26.6,25.8479,3142300.0,0.0,1.0
2018-04-03,27.85,27.96,27.49,27.87,27.082,2109900.0,0.0,1.0
2018-04-02,28.38,28.5,28.0,28.14,27.3443,545200.0,0.0,1.0
2018-03-29,27.6,28.23,27.58,28.11,27.3152,1567900.0,0.0,1.0
2018-03-28,28.15,28.28,27.62,27.79,27.0042,1534500.0,0.0,1.0
2018-03-27,28.15,28.55,28.15,28.43,27.6261,1654500.0,0.0,1.0
2018-03-26,27.34,28.15,27.31,27.85,27.0625,1292100.0,0.0,1.0
2018-03-23,27.85,27.98,26.96,27.63,26.8488,2615700.0,0.0,1.0
2018-03-22,28.82,29.36,28.42,28.65,27.8399,1419200.0,0.0,1.0
2018-03-21,28.79,28.95,28.61,28.84,28.0245,1237400.0,0.0,1.0
2018-03-20,28.17,28.64,28.1,28.54,27.733,1091800.0,0.0,1.0
2018-03-19,28.81,28.85,28.45,28.73,27.9177,1240000.0,0.0,1.0
2018-03-16,28.18,28.88,28.13,28.82,28.0051,2593500.0,0.0,1.0
2018-03-15,27.84,28.17,27.84,28.0,27.2083,1135900.0,0.0,1.0
2018-03-14,28.2,28.38,27.25,28.23,27.4318,1049300.0,0.0,1.0
2018-03-13,27.99,28.5,27.99,28.48,27.6747,1498600.0,0.0,1.0
2018-03-12,27.4,28.05,27.38,27.97,27.1791,1904400.0,0.0,1.0
2018-03-09,27.08,27.38,26.9,27.29,26.5184,1437500.0,0.0,1.0
2018-03-08,27.15,27.24,26.89,26.97,26.2074,1320100.0,0.0,1.0
2018-03-07,26.89,27.27,26.89,27.09,26.324,1686500.0,0.0,1.0
2018-03-06,27.01,27.31,26.99,27.07,26.3046,2418700.0,0.0,1.0
