date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-17,3.01,3.02,2.97,3.0,3.0,4311600.0,0.0,1.0
2018-07-16,3.01,3.03,3.0,3.01,3.01,3193300.0,0.0,1.0
2018-07-13,3.03,3.04,3.0,3.0,3.0,6317000.0,0.0,1.0
2018-07-12,3.02,3.06,3.02,3.02,3.02,3441900.0,0.0,1.0
2018-07-11,3.03,3.07,3.02,3.04,3.04,2240600.0,0.0,1.0
2018-07-10,3.07,3.09,3.05,3.07,3.07,7023200.0,0.0,1.0
2018-07-09,3.04,3.07,3.03,3.07,3.07,3363400.0,0.0,1.0
2018-07-06,3.04,3.04,3.0,3.03,3.03,3392800.0,0.0,1.0
2018-07-05,3.02,3.05,3.01,3.02,3.02,3589100.0,0.0,1.0
2018-07-04,3.05,3.06,3.03,3.04,3.04,3847300.0,0.0,1.0
2018-07-03,3.04,3.09,3.02,3.07,3.07,8046900.0,0.0,1.0
2018-07-02,3.06,3.07,3.0,3.04,3.04,5108000.0,0.0,1.0
2018-06-29,3.05,3.09,3.04,3.06,3.06,7169100.0,0.0,1.0
2018-06-28,3.06,3.07,3.02,3.04,3.04,6906200.0,0.0,1.0
2018-06-27,3.07,3.1,3.05,3.07,3.07,5828100.0,0.0,1.0
2018-06-26,3.06,3.1,3.05,3.06,3.06,3803800.0,0.0,1.0
2018-06-25,3.11,3.13,3.05,3.07,3.07,7677600.0,0.0,1.0
2018-06-22,3.05,3.14,3.05,3.14,3.14,9072000.0,0.0,1.0
2018-06-21,3.11,3.11,3.05,3.07,3.07,14807900.0,0.0,1.0
2018-06-20,3.15,3.15,3.09,3.12,3.12,12397700.0,0.0,1.0
2018-06-19,3.25,3.26,3.13,3.17,3.17,15089400.0,0.0,1.0
2018-06-18,3.28,3.29,3.24,3.28,3.28,7111100.0,0.0,1.0
2018-06-14,3.23,3.28,3.22,3.28,3.28,11355400.0,0.0,1.0
2018-06-13,3.24,3.26,3.22,3.26,3.26,3954600.0,0.0,1.0
2018-06-12,3.25,3.26,3.22,3.26,3.26,3357300.0,0.0,1.0
2018-06-11,3.26,3.26,3.23,3.26,3.26,2869400.0,0.0,1.0
2018-06-08,3.26,3.27,3.22,3.24,3.24,2984000.0,0.0,1.0
2018-06-07,3.27,3.29,3.25,3.27,3.27,3930700.0,0.0,1.0
2018-06-06,3.28,3.31,3.23,3.28,3.28,9579700.0,0.0,1.0
2018-06-05,3.29,3.3,3.25,3.29,3.29,5156600.0,0.0,1.0
2018-06-04,3.24,3.28,3.24,3.28,3.28,4885700.0,0.0,1.0
2018-06-01,3.27,3.27,3.22,3.25,3.25,5236552.0,0.0,1.0
2018-05-31,3.26,3.26,3.19,3.24,3.24,32650600.0,0.0,1.0
2018-05-30,3.23,3.25,3.2,3.23,3.23,6994500.0,0.0,1.0
2018-05-28,3.24,3.27,3.23,3.25,3.25,4055300.0,0.0,1.0
2018-05-25,3.25,3.27,3.24,3.26,3.26,4341700.0,0.0,1.0
2018-05-24,3.23,3.26,3.21,3.24,3.24,5104401.0,0.0,1.0
2018-05-23,3.24,3.24,3.18,3.21,3.21,7490400.0,0.0,1.0
2018-05-22,3.24,3.25,3.22,3.23,3.23,3004000.0,0.0,1.0
2018-05-21,3.25,3.26,3.23,3.25,3.25,4485600.0,0.0,1.0
2018-05-18,3.2,3.24,3.17,3.23,3.23,6593500.0,0.0,1.0
2018-05-17,3.18,3.2,3.16,3.2,3.2,4532700.0,0.0,1.0
2018-05-16,3.17,3.18,3.15,3.16,3.16,7026700.0,0.0,1.0
2018-05-15,3.19,3.21,3.17,3.18,3.18,9717500.0,0.0,1.0
2018-05-14,3.16,3.19,3.15,3.17,3.17,4704000.0,0.0,1.0
2018-05-11,3.11,3.18,3.09,3.16,3.16,14173000.0,0.0,1.0
2018-05-10,3.24,3.24,3.2,3.21,3.21,11259600.0,0.0,1.0
2018-05-09,3.26,3.28,3.23,3.25,3.25,6877900.0,0.0,1.0
2018-05-08,3.22,3.27,3.22,3.26,3.26,6732700.0,0.0,1.0
2018-05-07,3.2,3.21,3.18,3.2,3.2,2182600.0,0.0,1.0
2018-05-04,3.2,3.22,3.17,3.2,3.2,2485000.0,0.0,1.0
2018-05-03,3.22,3.23,3.17,3.18,3.18,3274700.0,0.0,1.0
2018-05-02,3.26,3.28,3.23,3.28,3.21,4924400.0,0.0,1.0
2018-04-30,3.27,3.29,3.26,3.26,3.1904,5203400.0,0.0,1.0
2018-04-27,3.24,3.28,3.24,3.26,3.1904,6123000.0,0.0,1.0
2018-04-26,3.23,3.25,3.22,3.23,3.1611,2430700.0,0.0,1.0
2018-04-25,3.2,3.23,3.2,3.23,3.1611,2208000.0,0.0,1.0
2018-04-24,3.22,3.23,3.2,3.22,3.1513,1990400.0,0.0,1.0
2018-04-23,3.22,3.23,3.2,3.22,3.1513,3219000.0,0.0,1.0
2018-04-20,3.22,3.23,3.18,3.21,3.1415,2700700.0,0.0,1.0
2018-04-19,3.18,3.23,3.17,3.21,3.1415,4968200.0,0.0,1.0
2018-04-18,3.18,3.19,3.16,3.18,3.1121,4428000.0,0.0,1.0
2018-04-17,3.18,3.18,3.15,3.15,3.0828,3340900.0,0.0,1.0
2018-04-16,3.18,3.18,3.15,3.18,3.1121,2433900.0,0.0,1.0
2018-04-13,3.17,3.18,3.16,3.17,3.1023,2148300.0,0.0,1.0
2018-04-12,3.18,3.18,3.13,3.16,3.0926,3049400.0,0.0,1.0
2018-04-11,3.17,3.19,3.14,3.18,3.1121,5971800.0,0.0,1.0
2018-04-10,3.13,3.16,3.12,3.16,3.0926,4055800.0,0.0,1.0
2018-04-09,3.15,3.18,3.12,3.15,3.0828,3002600.0,0.0,1.0
2018-04-06,3.09,3.18,3.07,3.16,3.0926,9407600.0,0.0,1.0
2018-04-05,3.12,3.14,3.1,3.1,3.0338,5108700.0,0.0,1.0
