date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-18,0.855,0.87,0.84,0.85,0.85,31248300.0,0.0,1.0
2018-07-17,0.88,0.885,0.85,0.85,0.85,38779700.0,0.0,1.0
2018-07-16,0.89,0.895,0.88,0.88,0.88,10863800.0,0.0,1.0
2018-07-13,0.89,0.895,0.885,0.885,0.885,10005700.0,0.0,1.0
2018-07-12,0.895,0.905,0.88,0.885,0.885,31502600.0,0.0,1.0
2018-07-11,0.9,0.91,0.885,0.895,0.895,32394300.0,0.0,1.0
2018-07-10,0.89,0.925,0.89,0.91,0.91,54112600.0,0.0,1.0
2018-07-09,0.86,0.89,0.855,0.88,0.88,31244100.0,0.0,1.0
2018-07-06,0.875,0.875,0.85,0.85,0.85,37297500.0,0.0,1.0
2018-07-05,0.885,0.895,0.875,0.875,0.875,18053900.0,0.0,1.0
2018-07-04,0.89,0.895,0.885,0.885,0.885,10667100.0,0.0,1.0
2018-07-03,0.885,0.895,0.87,0.89,0.89,24931100.0,0.0,1.0
2018-07-02,0.905,0.91,0.885,0.885,0.885,16658700.0,0.0,1.0
2018-06-29,0.9,0.915,0.9,0.905,0.905,17744200.0,0.0,1.0
2018-06-28,0.915,0.925,0.89,0.9,0.9,39550900.0,0.0,1.0
2018-06-27,0.93,0.94,0.91,0.925,0.925,33188100.0,0.0,1.0
2018-06-26,0.925,0.945,0.92,0.935,0.935,22216200.0,0.0,1.0
2018-06-25,0.955,0.96,0.925,0.925,0.925,32354600.0,0.0,1.0
2018-06-22,0.945,0.97,0.935,0.955,0.955,34382800.0,0.0,1.0
2018-06-21,0.945,0.955,0.935,0.945,0.945,27221900.0,0.0,1.0
2018-06-20,0.93,0.965,0.915,0.94,0.94,34482000.0,0.0,1.0
2018-06-19,0.93,0.94,0.92,0.92,0.92,21602200.0,0.0,1.0
2018-06-18,0.95,0.955,0.92,0.935,0.935,35076600.0,0.0,1.0
2018-06-14,0.965,0.97,0.95,0.965,0.965,34610100.0,0.0,1.0
2018-06-13,0.985,0.995,0.97,0.97,0.97,25634000.0,0.0,1.0
2018-06-12,0.995,1.01,0.98,0.985,0.985,21377500.0,0.0,1.0
2018-06-11,1.0,1.01,0.965,0.995,0.995,28065800.0,0.0,1.0
2018-06-08,1.04,1.04,1.0,1.01,1.01,23886200.0,0.0,1.0
2018-06-07,1.04,1.05,1.02,1.04,1.04,22492900.0,0.0,1.0
2018-06-06,1.02,1.03,1.01,1.03,1.03,23438200.0,0.0,1.0
2018-06-05,1.04,1.05,1.0,1.02,1.02,30971600.0,0.0,1.0
2018-06-04,1.04,1.04,1.0,1.01,1.01,19816600.0,0.0,1.0
2018-06-01,0.96,1.03,0.955,1.03,1.03,50113297.0,0.0,1.0
2018-05-31,0.955,0.99,0.955,0.965,0.965,66779800.0,0.0,1.0
2018-05-30,0.935,0.935,0.9,0.925,0.925,63097100.0,0.0,1.0
2018-05-28,0.975,0.975,0.93,0.95,0.95,34253602.0,0.0,1.0
2018-05-25,1.08,1.08,0.98,0.98,0.98,61563500.0,0.0,1.0
2018-05-24,1.04,1.09,1.03,1.08,1.08,33016900.0,0.0,1.0
2018-05-23,1.05,1.05,1.0,1.03,1.03,25132600.0,0.0,1.0
2018-05-22,1.03,1.06,1.02,1.05,1.05,18571200.0,0.0,1.0
2018-05-21,1.07,1.07,1.01,1.03,1.03,27995000.0,0.0,1.0
2018-05-18,1.08,1.08,1.06,1.06,1.06,16549100.0,0.0,1.0
2018-05-17,1.14,1.15,1.11,1.11,1.065,21452200.0,0.0,1.0
2018-05-16,1.15,1.16,1.12,1.13,1.0842,23027500.0,0.0,1.0
2018-05-15,1.17,1.18,1.16,1.16,1.113,11355700.0,0.0,1.0
2018-05-14,1.19,1.2,1.17,1.17,1.1226,15870600.0,0.0,1.0
2018-05-11,1.2,1.21,1.18,1.19,1.1418,14579500.0,0.0,1.0
2018-05-10,1.19,1.21,1.19,1.19,1.1418,7576000.0,0.0,1.0
2018-05-09,1.2,1.22,1.19,1.19,1.1418,14782600.0,0.0,1.0
2018-05-08,1.19,1.22,1.19,1.21,1.1609,11410100.0,0.0,1.0
2018-05-07,1.21,1.22,1.18,1.18,1.1322,10243900.0,0.0,1.0
2018-05-04,1.22,1.23,1.18,1.19,1.1418,16211700.0,0.0,1.0
2018-05-03,1.23,1.24,1.2,1.22,1.1705,14467800.0,0.0,1.0
2018-05-02,1.18,1.24,1.17,1.23,1.1801,16992800.0,0.0,1.0
2018-04-30,1.15,1.18,1.14,1.17,1.1226,17247800.0,0.0,1.0
2018-04-27,1.19,1.19,1.15,1.16,1.113,10967300.0,0.0,1.0
2018-04-26,1.18,1.19,1.16,1.18,1.1322,9301700.0,0.0,1.0
2018-04-25,1.19,1.2,1.16,1.17,1.1226,18727400.0,0.0,1.0
2018-04-24,1.2,1.22,1.19,1.21,1.1609,6449800.0,0.0,1.0
2018-04-23,1.21,1.23,1.19,1.19,1.1418,11436100.0,0.0,1.0
2018-04-20,1.23,1.26,1.21,1.21,1.1609,15738400.0,0.0,1.0
2018-04-19,1.22,1.25,1.21,1.24,1.1897,10688400.0,0.0,1.0
2018-04-18,1.22,1.23,1.2,1.22,1.1705,13967400.0,0.0,1.0
2018-04-17,1.21,1.22,1.19,1.2,1.1514,11639600.0,0.0,1.0
2018-04-16,1.21,1.21,1.18,1.19,1.1418,8076600.0,0.0,1.0
2018-04-13,1.22,1.22,1.19,1.21,1.1609,13354400.0,0.0,1.0
2018-04-12,1.21,1.23,1.2,1.21,1.1609,9426000.0,0.0,1.0
2018-04-11,1.23,1.24,1.19,1.2,1.1514,18915200.0,0.0,1.0
2018-04-10,1.18,1.23,1.17,1.21,1.1609,18011300.0,0.0,1.0
2018-04-09,1.14,1.19,1.14,1.19,1.1418,13093300.0,0.0,1.0
2018-04-06,1.14,1.17,1.13,1.16,1.113,13539000.0,0.0,1.0
2018-04-05,1.15,1.17,1.14,1.15,1.1034,14292600.0,0.0,1.0
2018-04-04,1.17,1.18,1.11,1.13,1.0842,24617200.0,0.0,1.0
2018-04-03,1.19,1.19,1.16,1.18,1.1322,15390000.0,0.0,1.0
2018-04-02,1.23,1.23,1.19,1.21,1.1609,6808600.0,0.0,1.0
2018-03-29,1.2,1.23,1.19,1.21,1.1609,23622500.0,0.0,1.0
2018-03-28,1.24,1.24,1.19,1.2,1.1514,20045900.0,0.0,1.0
2018-03-27,1.25,1.27,1.24,1.25,1.1993,14605500.0,0.0,1.0
2018-03-26,1.21,1.26,1.21,1.24,1.1897,16258600.0,0.0,1.0
2018-03-23,1.24,1.25,1.2,1.22,1.1705,17542900.0,0.0,1.0
2018-03-22,1.31,1.32,1.25,1.27,1.2185,26357100.0,0.0,1.0
2018-03-21,1.29,1.32,1.29,1.3,1.2473,21030900.0,0.0,1.0
2018-03-20,1.3,1.3,1.27,1.28,1.2281,24439500.0,0.0,1.0
2018-03-19,1.33,1.34,1.3,1.3,1.2473,16380300.0,0.0,1.0
2018-03-16,1.32,1.34,1.3,1.34,1.2857,22373100.0,0.0,1.0
2018-03-15,1.33,1.34,1.29,1.3,1.2473,25854100.0,0.0,1.0
2018-03-14,1.31,1.36,1.29,1.34,1.2857,26135900.0,0.0,1.0
2018-03-13,1.34,1.34,1.31,1.32,1.2665,19272100.0,0.0,1.0
2018-03-12,1.37,1.38,1.34,1.34,1.2857,17917200.0,0.0,1.0
2018-03-09,1.34,1.37,1.33,1.34,1.2857,15730600.0,0.0,1.0
2018-03-08,1.33,1.37,1.32,1.34,1.2857,22518300.0,0.0,1.0
2018-03-07,1.33,1.37,1.31,1.33,1.2761,23878000.0,0.0,1.0
2018-03-06,1.36,1.37,1.31,1.34,1.2857,19066200.0,0.0,1.0
2018-03-05,1.4,1.41,1.32,1.33,1.2761,24578800.0,0.0,1.0
2018-03-02,1.41,1.43,1.39,1.41,1.3528,17715800.0,0.0,1.0
2018-03-01,1.49,1.5,1.43,1.45,1.3912,26267013.0,0.0,1.0
2018-02-28,1.51,1.51,1.47,1.51,1.4488,30049800.0,0.0,1.0
2018-02-27,1.49,1.54,1.47,1.52,1.4584,20657800.0,0.0,1.0
2018-02-26,1.49,1.5,1.46,1.48,1.42,9606700.0,0.0,1.0
2018-02-23,1.46,1.5,1.45,1.47,1.4104,10549100.0,0.0,1.0
